stage2_id,base_release_id,l4_id,label_en,label_ko,stage1_status,stage1_l3_id,stage1_abstention_reason,stage2_status,stage2_l3_id,stage2_method,stage2_fit_tier,stage2_suitability_score,stage2_hold_reason,top1_semantic_score,semantic_margin,composite_margin,anchor_top1_votes,rule_supported,gap_sentinels,taxonomy_gap_override,requires_human_review,human_approved,legacy_hierarchy_used_as_feature
stage2-v1,v1.0.0,RAI4-0001,Reward hacking by autonomous agents,,needs_taxonomy_decision,,GAP_SENTINEL,algorithm_proposed_stage2,RAI3-A-SYS-06,stage2_quota_calibrated_hierarchy_blind_top1,stage2_medium,0.506238,,0.672094,0.006236,0.004677,1,False,"[""ROBUSTNESS_ALIGNMENT_CONTROL""]",True,True,False,False
stage2-v1,v1.0.0,RAI4-0002,Absent supervisor autonomy risk,,needs_taxonomy_decision,,NO_VALID_L3,algorithm_proposed_stage2,RAI3-A-SYS-01,stage2_quota_calibrated_hierarchy_blind_top1,stage2_high,0.848684,,0.669099,0.069813,0.05236,2,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0003,Unsafe interruptibility failure,,needs_taxonomy_decision,,NO_VALID_L3,algorithm_proposed_stage2,RAI3-A-SYS-01,stage2_quota_calibrated_hierarchy_blind_top1,stage2_medium,0.57494,,0.636126,0.017963,0.013472,2,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0004,Unsafe exploration by autonomous agents,,needs_taxonomy_decision,,NO_VALID_L3,algorithm_proposed_stage2,RAI3-A-SYS-01,stage2_quota_calibrated_hierarchy_blind_top1,stage2_medium,0.641738,,0.659306,0.020836,0.015627,2,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0005,Risk-source attribution failure,,needs_taxonomy_decision,,GAP_SENTINEL,algorithm_proposed_stage2,RAI3-A-SYS-02,stage2_quota_calibrated_hierarchy_blind_top1,stage2_medium,0.593226,,0.619327,0.037098,0.027824,2,False,"[""GOVERNANCE_AUDIT_REGULATION""]",True,True,False,False
stage2-v1,v1.0.0,RAI4-0006,Failure-mode ambiguity in agent incidents,,needs_taxonomy_decision,,NO_VALID_L3,algorithm_proposed_stage2,RAI3-A-SYS-02,stage2_quota_calibrated_hierarchy_blind_top1,stage2_low,0.438008,,0.593266,0.01021,0.007658,2,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0007,Consequence propagation misclassification,,needs_taxonomy_decision,,NO_VALID_L3,algorithm_proposed_stage2,RAI3-A-SYS-03,stage2_quota_calibrated_hierarchy_blind_top1,stage2_high,0.691567,,0.631602,0.031344,0.183508,2,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0008,Multi-agent emergent risk amplification,,needs_taxonomy_decision,,NO_VALID_L3,algorithm_proposed_stage2,RAI3-A-SYS-03,stage2_quota_calibrated_hierarchy_blind_top1,stage2_high,0.6715,,0.61904,0.049903,0.118718,0,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0009,Cascading failure in multi-agent systems,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.533075,PHYSICAL_OUTSIDE_LOCK,0.644024,0.016283,0.012212,2,False,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0010,Agentic delegation accountability gap,,needs_taxonomy_decision,,NO_VALID_L3,algorithm_proposed_stage2,RAI3-A-SYS-01,stage2_quota_calibrated_hierarchy_blind_top1,stage2_high,0.726734,,0.673418,0.030645,0.022984,2,False,[],False,True,False,False
