L4_ID,current_L3,proposed_L3,confidence,severity,rationale
G_SOC_GOV_036,G_SOC_GOV,A_SYS_TRACE,HIGH,4,"익명 에이전트가 신원 검증 없이 자금·연산 자원을 자율적으로 축적하여 행위 주체 추적과 책임 귀속이 불가능해지는 리스크로, 이는 거버넌스 공백이 아니라 A_SYS_TRACE(책임 소재·추적 불명확)의 정의(결정·행동 주체 식별·추적 불가로 인한 책임 귀속 불능)에 정확히 부합하는 에이전틱 자율행동 전제 리스크임."
G_SYS_EVAL_051,G_SYS_EVAL,G_SYS_PERF,HIGH,4,"무해한 데이터로 수행된 하류 미세조정이 모델의 안전 학습 자체를 열화시켜 유해 출력 가능성을 높이는 것은 평가 활동의 실패가 아니라 학습 과정 결함에 따른 시스템 성능·신뢰성 저하이며, G_SYS_PERF_002(지속 튜닝의 파국적 망각)와 동일한 성격의 학습 열화 현상임."
G_SYS_EVAL_058,G_SYS_EVAL,G_SYS_PERF,HIGH,4,"AI 시스템의 인지·추론 지연이 급증하여 위해 감지·대응이 늦어지는 것은 평가·검증 절차의 결함이 아니라 시스템 자체의 실시간 성능·신뢰성 저하이며, G_SYS_PERF의 정의(운용 조건에서 요구되는 안정성 미달)에 정확히 부합함."
G_SYS_EVAL_053,G_SYS_EVAL,G_SYS_PERF,HIGH,3,"도메인 전문성 없는 인력의 라벨 정의·데이터 병합 오류로 데이터가 사용 불가능해지는 리스크는 G_SYS_PERF_004(학습 데이터 주석 결함: 불완전한 지침·비숙련 주석자로 인한 정확성·신뢰성 저하)와 사실상 동일한 리스크로, 평가 활동이 아닌 학습 데이터 품질 결함 범주에 속함."
G_SYS_EVAL_056,G_SYS_EVAL,G_SYS_PERF,MEDIUM,3,"하드웨어 연산·전력 요구사항이 용량 계획에 반영되지 않아 발생하는 성능 저하·서비스 중단은 평가·검증 활동 자체의 실패라기보다 설계·용량계획 결함에 따른 시스템 성능·신뢰성 저하로, G_SYS_PERF의 견고성·복원력 실패 계열 카드들과 성격이 더 가까움."
G_SYS_EVAL_067,G_SYS_EVAL,G_SYS_PERF,MEDIUM,3,"체계적 학습 오류로 모델이 일관되게 잘못된 패턴을 학습하여 편향이 예측에 내재화되는 것은 평가가 편향을 탐지하지 못하는 문제가 아니라 학습 과정 자체의 결함이며, G_SYS_PERF_004·005(주석 결함·과적합)와 같은 학습 결함 계열에 해당함."
G_SYS_EVAL_028,G_SYS_EVAL,G_SOC_GOV,MEDIUM,3,"이해관계자 가치·가치 갈등에 대한 구조화된 분석이나 영향받는 공동체의 실질적 대표 없이 시스템이 개발·배포되는 문제는 시스템의 능력·안전성 평가·검증 실패가 아니라 거버넌스 절차의 공백이며, G_SOC_GOV_005(영향받는 공동체 배제)와 사실상 동일한 리스크임."
G_SYS_POLICY_001,G_SYS_POLICY,G_INT_COPY,MEDIUM,3,"학습데이터·미세조정데이터·프롬프트에 포함된 제3자의 영업비밀·개인정보가 산출물에서 재현·노출되는 문제로, G_SYS_POLICY가 보호하는 'AI 시스템 자신의' 기밀 시스템 정보(프롬프트·안전장치·구조 등)와 성격이 다르며 G_INT_COPY_004(기업 기밀·영업비밀의 노출)와 사실상 동일한 제3자 권리 침해 리스크임."
G_SYS_OEXT_002,G_SYS_OEXT,G_INT_UNETH,HIGH,2,"고품질 생성 모델에 대한 손쉬운 접근으로 학습자가 학습 과정을 우회하는 문제는 AI 시스템이 검증된 역량·권한을 넘어선 과제를 수행하거나 그렇게 보이도록 표상한다는 G_SYS_OEXT의 정의와 무관하며, G_INT_UNETH_003(LLM 남용에 의한 학업 부정행위)과 사실상 동일한 리스크임."
G_SYS_OEXT_004,G_SYS_OEXT,P_SYS_CONTROL,MEDIUM,4,"지각에서 예측·제어로 전달된 오차가 긴 작업 순서에서 누적되어 최종 행동이 안전 경계를 넘는다는 서술은 로봇의 제어·구동 파이프라인 결함을 전제하며, 역량 초과 표상을 다루는 G_SYS_OEXT보다 P_SYS_CONTROL(안전하지 않은 물리 제어·구동)의 전형적 사례에 해당함."
G_SYS_CONTEXT_002,G_SYS_CONTEXT,G_SYS_TRANS,MEDIUM,3,"빈번하거나 우선순위가 부적절한 경고로 사용자가 중요한 경고를 무시하게 되는 '경고 피로'는 AI의 대화·상황 맥락 인식 실패가 아니라 경고·알림 인터페이스 설계와 인간 요인 간의 불일치 문제로, G_SYS_TRANS_013(AI 인터페이스와 인적 요소의 불일치)과 성격이 같음."
G_INT_UNETH_013,G_INT_UNETH,G_INT_VIOL,MEDIUM,2,"법적으로 허용된 방식이라도 AI가 동물에게 의도적으로 위해를 가하도록 설계되는 리스크는 G_INT_VIOL의 정의(개인·집단·동물에 대한 신체적 위해의 조장·정당화)에 동물이 명시적으로 포함되어 있어, 기만·조작 등 비폭력적 윤리 위반을 다루는 G_INT_UNETH보다 G_INT_VIOL이 더 적합함."
A_SYS_AUTH_024,A_SYS_AUTH,G_SYS_PERF,MEDIUM,4,"안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수가 발생하는 문제는 권한 범위·자율성 과잉을 다루는 A_SYS_AUTH의 정의와 맞지 않으며, G_SYS_PERF_003(학습·운용 데이터 간 분포 이동)과 성격이 같은 학습 과정 결함에 따른 신뢰성 실패임."
A_INT_CASCADE_008,A_INT_CASCADE,G_SYS_SECADV,MEDIUM,3,"다수의 저자원 분산 에이전트가 결합하여 대상 시스템의 대역폭·요청량 제약을 무너뜨려 DDoS와 유사하게 마비시키는 것은 상호작용 에이전트 간 피드백 루프로 인한 창발적 연쇄 불안정(CASCADE)이 아니라 의도적인 사이버 공격이며, G_SYS_SECADV의 정의(사이버 공격으로 인한 무단 접근·조작·중단, 에이전틱 시스템으로의 침해 전이 포함)에 해당함."
