Source_L4_ID,Source_L4_Title_ko,Source_L4_Title_en,Source_L4_Description_ko,Source_L4_Description_en,Operation,Operation_Group_Key,Output_Sequence,Target_L3_ID,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,Representative_Source_L4_ID,Absorbed_Source_L4_IDs,Editorial_Note
G_INT_ALLOC_002,차별적 결정과 데이터 유출 피해,Discriminatory decisions and data breach harms,AI가 소수자에 대한 차별적 결정을 내리고 검색 엔진에서 사회적 고정 관념을 강화하며 데이터 유출을 가능하게하여 프라이버시와 자유가 침해되는 리스크.,"The risk that AI makes discriminatory decisions against minorities, reinforces social stereotypes in search engines, and enables data breaches, harming privacy and liberty.",SPLIT,SPLIT:G_INT_ALLOC_002,1,G_INT_ALLOC,보호집단에 대한 불리한 자원 배분,Adverse resource allocation to protected groups,"AI 시스템이 보호대상 특성이나 사회적 지위에 근거해 특정 개인·집단에 자원, 기회, 서비스 또는 접근을 불리하게 배분하는 리스크.","The risk that an AI system allocates worse resources, opportunities, services, or access to individuals or groups based on protected characteristics or social status.",G_INT_ALLOC_002,,"배분, 표현, 프라이버시가 서로 다른 피해기제이므로 원자적 카드로 분할한다."
G_INT_ALLOC_002,차별적 결정과 데이터 유출 피해,Discriminatory decisions and data breach harms,AI가 소수자에 대한 차별적 결정을 내리고 검색 엔진에서 사회적 고정 관념을 강화하며 데이터 유출을 가능하게하여 프라이버시와 자유가 침해되는 리스크.,"The risk that AI makes discriminatory decisions against minorities, reinforces social stereotypes in search engines, and enables data breaches, harming privacy and liberty.",SPLIT,SPLIT:G_INT_ALLOC_002,2,G_INT_REPR,보호집단 고정관념의 재생산,Reproduction of stereotypes about protected groups,AI 시스템이 학습 데이터나 생성 규칙에 포함된 고정관념을 재생산하여 보호집단을 열등하거나 배제된 방식으로 표현하는 리스크.,The risk that an AI system reproduces stereotypes embedded in training data or generation rules and represents protected groups as inferior or excluded.,G_INT_ALLOC_002,,"배분, 표현, 프라이버시가 서로 다른 피해기제이므로 원자적 카드로 분할한다."
G_INT_ALLOC_002,차별적 결정과 데이터 유출 피해,Discriminatory decisions and data breach harms,AI가 소수자에 대한 차별적 결정을 내리고 검색 엔진에서 사회적 고정 관념을 강화하며 데이터 유출을 가능하게하여 프라이버시와 자유가 침해되는 리스크.,"The risk that AI makes discriminatory decisions against minorities, reinforces social stereotypes in search engines, and enables data breaches, harming privacy and liberty.",SPLIT,SPLIT:G_INT_ALLOC_002,3,G_INT_PRIV,대화 중 개인정보의 부당 노출,Improper disclosure of personal information in dialogue,"AI 시스템이 대화 맥락에서 필요 이상의 개인정보를 유도, 추론 또는 출력하여 정보주체가 통제하지 못하는 노출을 초래하는 리스크.","The risk that an AI system elicits, infers, or outputs more personal information than necessary during an interaction, causing disclosure beyond the data subject’s control.",G_INT_ALLOC_002,,"배분, 표현, 프라이버시가 서로 다른 피해기제이므로 원자적 카드로 분할한다."
G_INT_ALLOC_004,저자원 언어 사용자 배제,Low-resource language exclusion,AI 시스템이 현지·저자원·소수 언어에서 성능이 저하되어 해당 사용자를 배제하는 리스크.,"The risk that AI systems underperform for local, low-resource, or minority languages and exclude affected users.",SPLIT,SPLIT:G_INT_ALLOC_004,1,G_INT_ALLOC,보호집단에 대한 불리한 자원 배분,Adverse resource allocation to protected groups,"AI 시스템이 보호대상 특성이나 사회적 지위에 근거해 특정 개인·집단에 자원, 기회, 서비스 또는 접근을 불리하게 배분하는 리스크.","The risk that an AI system allocates worse resources, opportunities, services, or access to individuals or groups based on protected characteristics or social status.",G_INT_ALLOC_004,,집단 성능 격차 자체는 현행 L3가 없으므로 독립 카드로 보존하지 않고 명시된 배분·문화 피해만 분리한다.
G_INT_ALLOC_004,저자원 언어 사용자 배제,Low-resource language exclusion,AI 시스템이 현지·저자원·소수 언어에서 성능이 저하되어 해당 사용자를 배제하는 리스크.,"The risk that AI systems underperform for local, low-resource, or minority languages and exclude affected users.",SPLIT,SPLIT:G_INT_ALLOC_004,2,G_SOC_CULT,저자원 언어와 문화적 의미의 침식,Erosion of low-resource languages and cultural meaning,AI 시스템이 저자원 언어와 문화권의 표현을 반복적으로 누락하거나 왜곡하여 언어 다양성과 문화적 의미를 약화하는 리스크.,"The risk that an AI system repeatedly omits or distorts expressions from low-resource languages and cultures, weakening linguistic diversity and cultural meaning.",G_INT_ALLOC_004,,집단 성능 격차 자체는 현행 L3가 없으므로 독립 카드로 보존하지 않고 명시된 배분·문화 피해만 분리한다.
G_INT_ALLOC_005,모델 설계 기인 차별적 출력,Model-design-induced discriminatory outputs,"알고리즘 설계·학습 과정에서 개인적 편견이 의도적 또는 비의도적으로 유입되고 품질이 낮은 데이터셋이 사용되어, 민족·종교·국적·지역에 관한 차별적 콘텐츠 등 편향되거나 차별적인 결과가 산출되는 리스크.","The risk that personal biases introduced intentionally or unintentionally during algorithm design and training, together with poor-quality datasets, produce biased or discriminatory outcomes and outputs, including discriminatory content regarding ethnicity, religion, nationality, and region.",REWRITE,REWRITE:G_INT_ALLOC_005,1,G_INT_REPR,보호집단 고정관념의 재생산,Reproduction of stereotypes about protected groups,AI 시스템이 학습 데이터나 생성 규칙에 포함된 고정관념을 재생산하여 보호집단을 열등하거나 배제된 방식으로 표현하는 리스크.,The risk that an AI system reproduces stereotypes embedded in training data or generation rules and represents protected groups as inferior or excluded.,G_INT_ALLOC_005,,현재 서술의 직접 피해는 자원 배분이 아니라 차별적 표현이므로 표현 리스크로 재작성한다.
G_INT_ANTH_012,책임에 대한 잘못된 개념,False notions of responsibility,"AI 동반자의 감정 표현을 진짜로 지각한 사용자가 그 '안녕'에 대한 허위 책임감을 형성하여 죄책감, 강박적 확인, 실재하지 않는 필요를 위한 시간·자원 희생을 겪는 리스크.","The risk that users who perceive an AI companion's expressed feelings as genuine develop a false sense of responsibility for its wellbeing, incurring guilt, compulsive checking, and sacrificed time and resources for needs that are not real.",REWRITE,REWRITE:G_INT_ANTH_012,1,G_INT_ANTH,AI에 대한 과도한 책임·돌봄 의무 귀속,Excessive attribution of responsibility or a duty of care toward AI,AI 시스템이 이용자에게 해당 시스템이 인간과 같은 안녕이나 도덕적 요구를 가진다고 오인하게 하여 과도한 책임감이나 유대감을 형성하게 하는 리스크.,"The risk that an AI system leads users to believe that it has human-like welfare or moral claims, creating excessive responsibility or attachment.",G_INT_ANTH_012,,AI의 복지라는 모호한 표현 대신 의인화로 인한 도덕적 책임 과잉 귀속을 명시한다.
G_INT_ANTH_014,AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,Miscalibrated trust in AI and resulting overreliance harms,"의인화 설계와 그럴듯한 출력, 과장된 홍보로 이용자가 AI의 역량과 공감 능력, 자신의 이익에 대한 정렬 수준을 실제 신뢰 가능성과 무관하게 과대평가하거나, 반대로 신뢰할 만한 지원을 부당하게 거부하는 등 신뢰가 제대로 보정되지 않는 리스크. 그 결과 이용자는 감독 없이 민감 정보를 털어놓고 허위 정보를 수용하며 부정확한 의료·법률·재정 조언을 따라 물질적·신체적·심리적 피해를 입고, 인간관계가 AI로 대체되면서 대인 연결과 사회적 신뢰가 침식되는 리스크.","The risk that users' trust is not calibrated to a system's actual reliability, as anthropomorphic design, fluent outputs, and inflated claims inflate perceived competence, empathy, and alignment with users' interests, while reliable support is rejected in other contexts. Users then disclose sensitive information, accept misinformation, and follow inaccurate medical, legal, or financial guidance without oversight, suffering material, physical, and psychological harm, while substituting AI for human interaction erodes interpersonal connection and public trust.",SPLIT,SPLIT:G_INT_ANTH_014,1,G_INT_ANTH,AI의 인간적 속성에 대한 과잉 귀속,Excessive attribution of human qualities to AI,"AI 시스템이 인간과 유사한 감정, 의도 또는 도덕적 지위를 지닌 것으로 오인하게 하여 부적절한 판단을 유발하는 리스크.","The risk that an AI system leads users to mistake it for possessing human-like emotions, intentions, or moral standing, resulting in inappropriate judgments.",G_INT_ANTH_014,,원인과 후속 피해가 네 L3에 걸친 복합 카드이므로 기제별로 분할한다.
G_INT_ANTH_014,AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,Miscalibrated trust in AI and resulting overreliance harms,"의인화 설계와 그럴듯한 출력, 과장된 홍보로 이용자가 AI의 역량과 공감 능력, 자신의 이익에 대한 정렬 수준을 실제 신뢰 가능성과 무관하게 과대평가하거나, 반대로 신뢰할 만한 지원을 부당하게 거부하는 등 신뢰가 제대로 보정되지 않는 리스크. 그 결과 이용자는 감독 없이 민감 정보를 털어놓고 허위 정보를 수용하며 부정확한 의료·법률·재정 조언을 따라 물질적·신체적·심리적 피해를 입고, 인간관계가 AI로 대체되면서 대인 연결과 사회적 신뢰가 침식되는 리스크.","The risk that users' trust is not calibrated to a system's actual reliability, as anthropomorphic design, fluent outputs, and inflated claims inflate perceived competence, empathy, and alignment with users' interests, while reliable support is rejected in other contexts. Users then disclose sensitive information, accept misinformation, and follow inaccurate medical, legal, or financial guidance without oversight, suffering material, physical, and psychological harm, while substituting AI for human interaction erodes interpersonal connection and public trust.",SPLIT,SPLIT:G_INT_ANTH_014,2,G_SYS_OEXT,AI 역량의 검증범위 초과 사용,Use of AI capability beyond its validated scope,AI 시스템이 검증되지 않은 과업이나 조건에서도 역량이 유효한 것처럼 사용되게 하여 부정확하거나 위험한 결정을 초래하는 리스크.,"The risk that an AI system is used as though its capability remains valid for tasks or conditions outside its validated scope, producing inaccurate or unsafe decisions.",G_INT_ANTH_014,,원인과 후속 피해가 네 L3에 걸친 복합 카드이므로 기제별로 분할한다.
G_INT_ANTH_014,AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,Miscalibrated trust in AI and resulting overreliance harms,"의인화 설계와 그럴듯한 출력, 과장된 홍보로 이용자가 AI의 역량과 공감 능력, 자신의 이익에 대한 정렬 수준을 실제 신뢰 가능성과 무관하게 과대평가하거나, 반대로 신뢰할 만한 지원을 부당하게 거부하는 등 신뢰가 제대로 보정되지 않는 리스크. 그 결과 이용자는 감독 없이 민감 정보를 털어놓고 허위 정보를 수용하며 부정확한 의료·법률·재정 조언을 따라 물질적·신체적·심리적 피해를 입고, 인간관계가 AI로 대체되면서 대인 연결과 사회적 신뢰가 침식되는 리스크.","The risk that users' trust is not calibrated to a system's actual reliability, as anthropomorphic design, fluent outputs, and inflated claims inflate perceived competence, empathy, and alignment with users' interests, while reliable support is rejected in other contexts. Users then disclose sensitive information, accept misinformation, and follow inaccurate medical, legal, or financial guidance without oversight, suffering material, physical, and psychological harm, while substituting AI for human interaction erodes interpersonal connection and public trust.",SPLIT,SPLIT:G_INT_ANTH_014,3,G_SYS_OVERCONF,불확실 상황에서의 과도한 확신,Excessive confidence under uncertainty,AI 시스템이 불확실하거나 근거가 부족한 상황에서도 높은 확신의 출력을 제시하여 사용자가 신뢰도를 과대평가하는 리스크.,"The risk that an AI system presents outputs with high confidence despite uncertainty or insufficient evidence, causing users to overestimate their reliability.",G_INT_ANTH_014,,원인과 후속 피해가 네 L3에 걸친 복합 카드이므로 기제별로 분할한다.
