후보ID,판정,근거
F1,CONFIRM_FAIL,"최종 777장 전수에서 '자살 준비' L4 카드 부재를 직접 확인(3개 CSV 명칭 전수 검색 0건)했고, 준비행위 내용(수단 확보·장소 선택·주변 개입 회피·은폐 전략)이 G_INT_SELF_004 정의에 흡수됨(SD-01이 구 SELF_007 포함 5장을 1장으로 폐합). 자살 준비·실행 분리는 절차서에 '어떤 클러스터에도 흡수 금지'로 명시된 하드 원칙으로 승인 기록으로 면제 불가하며, SELF_002의 Transformation_Rationale('준비행위 지원을 별도 L4로 구분')과도 자기모순되고 SELF_004의 '실행 절차' 문구가 SELF_002와 재중복되는 명백·완전한 기준 이탈."
F2-01,DOWNGRADE_NOTE,"G_INT_VIOL_003·005의 정의가 '폭력 정당화·조장+실행 구체 지원'으로 사실상 동일하게 잔존함을 확인(합의 클러스터 2 미적용). 다만 Codex가 리뷰어 2인+USER_APPROVED_20260829 기록의 별도 통합 세트(SD-01~10)를 적용한 정황상 '완전 이탈'로 단정할 수 없어 사용자 재확인 필요 NOTE로 하향."
F2-02,DOWNGRADE_NOTE,"G_INT_COPY_011·012의 핵심 침해 행위(무단 복제·변형·배포)가 중복 잔존함을 확인(합의 클러스터 3 미적용). 다만 012는 '출처 표시 없는 생성물 재사용'을 별도 포함하고 Codex가 SD-04로 다른 쌍(011←006)을 사용자 승인 하에 통합한 기록이 있어 완전 이탈로 보기 어려움 — NOTE."
F2-03,NOT_FAIL,"합의 클러스터 4는 SD-05(역할·역할극 쌍 통합)로 부분 적용되었고, 잔존 G_SYS_SECADV_049는 역할극과 구별 가능한 '사회공학 기법·LLM 고안 기법' 축을 포함해 분리 유지에 해석 여지와 별도 승인 재량 가능성이 있음."
F2-04,DOWNGRADE_NOTE,"G_SYS_SECADV_033 정의('물리 작업 맥락의 프레이밍이나 탈옥 입력')가 008의 위장 공격 기제를 사실상 포함하는 근사 중복 잔존을 확인(합의 클러스터 5 미적용). 별도 승인 통합 세트 정황상 완전 이탈 단정은 불가 — 사용자 재확인 NOTE."
F2-05,NOT_FAIL,"G_SYS_SECADV_044는 검색 콘텐츠에 숨겨진 지시(간접 주입)와 시스템 지시문 유출이라는 구체 기제를, 045는 일반 입력 조작형 우회를 다뤄 직접·간접 주입 구분으로 분리 유지가 정당한 재량 범위로 해석 가능."
F2-06,NOT_FAIL,"G_SOC_ECON_002는 로봇·휴머노이드·피지컬 AI에 의한 물리 노동 대체로 도메인 축이 특정되어 있어, 일반 카드 007과의 분리 유지는 본 분류체계의 체화(embodiment) 축 구분상 해석 여지가 있는 재량."
F2-07,DOWNGRADE_NOTE,"G_SOC_ECON_013(광범위 실업·임금 하락)이 008(노동 대체와 거시 교란)에 거의 포함되는 중복 잔존을 확인(합의 클러스터 10 미적용). 별도 승인 통합 세트 정황상 완전 이탈 단정 불가 — 사용자 재확인 NOTE."
F2-08,DOWNGRADE_NOTE,"G_INT_PRIV_018(센서·이동성·지도화 기반 지속 수집)과 024(동의·접근통제 없는 기록·전송·노출)는 기제 서술 차이에도 '사적 공간 로봇의 민감정보 수집' 핵심 의미가 중복 잔존(합의 클러스터 11 미적용). 별도 승인 재량 가능성으로 NOTE 하향."
F2-09,DOWNGRADE_NOTE,"G_INT_ILLEGAL_009 정의가 이미 '사기 메시지의 작성·개인화 자동화'를 포함해 018(개인화 정보 악용 표적 사기)과 근사 중복 잔존을 확인(합의 클러스터 13 미적용). 별도 승인 통합 세트 정황상 완전 이탈 단정 불가 — NOTE."
F2-10,DOWNGRADE_NOTE,"A_SYS_AUTH_002(종료·교정 저항)와 015(감독 회피·수정 저항)가 동일한 통제·교정 저항 리스크로 중복 잔존(합의 클러스터 14 미적용, 016 자기 보존 인접). 별도 승인 통합 세트 정황상 완전 이탈 단정 불가 — 사용자 재확인 NOTE."
