Source_Domain,Source_Row_Number,L4_ID_Before,L4_Title_ko_Before,L3_ID_Before,Human_Review_Comment,Decision,Decision_Rationale,Changed_Fields,Destination_Domain,L4_ID_After,L4_Title_ko_After,L3_ID_After
General,2,G_INT_ALLOC_001,집단 속성에 따른 배분적 불의,G_INT_ALLOC,,UNCHANGED,No second-round change request.,,General,G_INT_ALLOC_001,집단 속성에 따른 배분적 불의,G_INT_ALLOC
General,3,G_INT_ALLOC_002,차별적 결정과 데이터 유출 피해,G_INT_ALLOC,"(jay) [분할] 복합적. Allocative discrimination, Representational Harm and Stereotyping, Privacy violation이 혼재되어 해당 L4를 분해 필요",EXPERT_SPLIT_APPLIED,"배분, 표현, 프라이버시가 서로 다른 피해기제이므로 원자적 카드로 분할한다.",Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_ALLOC_006 | G_INT_REPR_024 | G_INT_PRIV_017,보호집단에 대한 불리한 자원 배분 | 보호집단 고정관념의 재생산 | 대화 중 개인정보의 부당 노출,G_INT_ALLOC | G_INT_REPR | G_INT_PRIV
General,4,G_INT_ALLOC_003,차별적 영향,G_INT_ALLOC,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_ALLOC_002,차별적 영향,G_INT_ALLOC
General,5,G_INT_ALLOC_004,저자원 언어 사용자 배제,G_INT_ALLOC,"(jay) [분할] 복합적 Allocative discrimination, Cultural and Epistemic Erosion + 부족한 성능 및 역량이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",USER_DIRECTED_MERGE_ABSORBED,User approved consolidation of the low-resource-language cultural-risk components; the unrelated human-dignity source is retained separately after independent lineage review.,Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_ALLOC_007 | G_SOC_CULT_016 | G_Others_147,저자원 언어 사용자의 서비스·기회 접근 배제 | 저자원 언어와 문화적 의미의 침식 | 저자원 언어에서의 성능·역량 부족,G_INT_ALLOC | G_SOC_CULT | G_Others
General,6,G_INT_ALLOC_005,모델 설계 기인 차별적 출력,G_INT_ALLOC,(jay) [이관] (jay) [재검토] 발생한 결과가 단순 표현인지 자원의 분배인지에 따라 Value Imposition and Normative Homogenization과 Representational Harm으로 배치될 필요성 존재,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.,L1/L2/L3 hierarchy; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_Others_148,모델 설계 기인 차별적 출력,G_Others
General,7,G_INT_ALLOC_006,보호 속성 기반 부당 대우,G_INT_ALLOC,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_ALLOC_003,보호 속성 기반 부당 대우,G_INT_ALLOC
General,8,G_INT_ALLOC_007,모델 평가의 자기 선호 편향,G_INT_ALLOC,(jay) [이관] Evaluation and Assurance Failure,L3_REASSIGN_APPLIED,Explicit human-review transfer to G_SYS_EVAL.,L1/L2/L3 hierarchy; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_SYS_EVAL_001,모델 평가의 자기 선호 편향,G_SYS_EVAL
General,9,G_INT_ANTH_001,사회적 관계 형성 능력의 허위 표상·의인화,G_INT_ANTH,,USER_DIRECTED_MERGE_ABSORBED,"User directed G_INT_ANTH_001 to be absorbed into G_INT_ANTH_002; the representative preserves emotions, empathy, social-relationship capacity, judgement distortion, trust, dependence, and attachment.",L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence,General,G_INT_ANTH_001,감정·공감 및 사회적 관계 형성 능력의 허위 표상·의인화,G_INT_ANTH
General,10,G_INT_ANTH_002,자율적 학습 및 자기 개선 능력의 허위 표상·의인화,G_INT_ANTH,(jay) [이관] Over-Extension,L3_REASSIGN_APPLIED,Explicit human-review transfer to G_SYS_OEXT.,L1/L2/L3 hierarchy; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_SYS_OEXT_001,자율적 학습 및 자기 개선 능력의 허위 표상·의인화,G_SYS_OEXT
General,11,G_INT_ANTH_003,감정 및 공감 능력의 허위 표상·의인화,G_INT_ANTH,,USER_DIRECTED_MERGE_REPRESENTATIVE,"User directed G_INT_ANTH_001 to be absorbed into G_INT_ANTH_002; the representative preserves emotions, empathy, social-relationship capacity, judgement distortion, trust, dependence, and attachment.",L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_INT_ANTH_001,감정·공감 및 사회적 관계 형성 능력의 허위 표상·의인화,G_INT_ANTH
