l4_id,label_en,primary_l3_id,hold_basis
RAI4-0001,Reward hacking by autonomous agents,RAI3-A-SYS-06,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0005,Risk-source attribution failure,RAI3-A-SYS-02,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0019,Governance gap in agent autonomy,RAI3-A-SYS-01,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0034,Emulated tool-environment mismatch,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0042,Robustness evaluation gap for agents,RAI3-A-SYS-04,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0049,Product liability mismatch,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0056,Remedy pathway opacity,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0057,Audit trail incompleteness,RAI3-A-SYS-02,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0058,Traceability failure,RAI3-A-SYS-02,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0059,Documentation omission,RAI3-G-INT-11,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0060,Model card incompleteness,RAI3-A-SYS-01,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0061,Datasheet incompleteness,RAI3-G-INT-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0062,System card disclosure gap,RAI3-G-INT-11,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0063,Third-party audit access restriction,RAI3-A-SYS-06,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0064,Auditor independence failure,RAI3-A-SYS-06,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0065,Certification capture,RAI3-G-SYS-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0066,Audit checklist compliance theater,RAI3-G-SYS-07,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0067,Assurance case failure,RAI3-G-SYS-07,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0069,Near-miss reporting failure,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0076,Lifecycle governance discontinuity,RAI3-A-SYS-04,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0080,Risk classification error,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0082,Capability evaluation non-disclosure,RAI3-G-SYS-01,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0083,Benchmark governance failure,RAI3-G-SYS-03,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0085,Red-team governance failure,RAI3-G-SYS-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
