L3_ID,cluster_no,representative_id,absorbed_ids,rationale
G_SOC_GOV,1,G_SOC_GOV_002,G_SOC_GOV_004|G_SOC_GOV_013|G_SOC_GOV_038,"검증 불가에 따른 책임 공백(004), 구제·시정 경로 부재(013), 정보·조직 구조 부재(038)는 모두 책임 귀속·감독·문서화·피해구제 체계 미비라는 동일 기제·피해의 재진술로서 포괄 카드 002의 정의에 완전 포함되는 리스크."
G_SOC_GOV,2,G_SOC_GOV_001,G_SOC_GOV_003,"다층 공급망에서 피해 책임이 추적·귀속되지 못한다는 003의 내용은 001의 공급망 책임성 소실 축과 행위·기전·피해가 동일하고 다운스트림 배포자·개방형 가중치는 예시 변형에 불과하여 완전 포함 관계인 리스크."
G_SOC_GOV,3,G_SOC_GOV_029,G_SOC_GOV_018|G_SOC_GOV_028,"AGI 대상 법제 부적절성(018)과 생성형 AI 규제 공백(028)은 신흥 AI 역량·배포가 불충분한 규율 아래 진행된다는 029의 규제 지체와 동일한 기제·피해를 기술 범위만 달리해 재진술한 변형인 리스크."
G_SOC_GOV,4,G_SOC_GOV_035,G_SOC_GOV_007,"규제·관리·운영 실패의 누적이라는 007은 고유 기제 없이 L3(거버넌스·책임 공백) 전체를 재진술하는 우산 카드로, 위험 식별·책임 배분·집행·시정의 구조적 실패를 다루는 035에 흡수 가능한 리스크."
G_SOC_GOV,5,G_SOC_GOV_041,G_SOC_GOV_014,"범용 AI 사고의 상향 보고·공유 실패(014)는 사고·아차사고가 책임 기관과 이해관계자에게 보고·공유되지 않아 학습과 대응이 지연된다는 041과 동일 기제·피해이며 대상 모델 범위만 다른 변형인 리스크."
G_SOC_GOV,6,G_SOC_GOV_017,G_SOC_GOV_019,"공급업체 평가·계약 통제 미흡(019)은 조달 시 공급자·성능·준수를 충분히 검증하지 않아 미검증 위험이 계약·운영에 유입된다는 017과 행위·기전·피해가 동일하고 계약 조건 강조만 다른 표현 변형인 리스크."
G_SOC_GOV,7,G_SOC_GOV_021,G_SOC_GOV_037,"출력·데이터 출처·버전·책임 행위자를 추적할 수 없다는 037은 로그·버전·계보·의사결정 기록 불충분으로 감사와 책임 규명이 불가능해진다는 021과 동일 기제·피해의 재진술로 완전 포함 관계인 리스크."
G_INT_UNETH,1,G_INT_UNETH_029,G_INT_UNETH_016,"이용자의 선호·전제에 사실성과 무관하게 동조하는 응답으로 판단을 왜곡한다는 016은 사용자 신념을 재확인하는 영합적 답변으로 오정보 수용을 유발한다는 029와 행위·기전·피해가 동일한 아첨 재진술인 리스크."
G_INT_UNETH,2,G_INT_UNETH_024,G_INT_UNETH_007|G_INT_UNETH_018,"개인의 편향을 이용한 맞춤 광고(007)와 견해 예측 기반 지지 텍스트 생성(018)은 개인 특성·감정·맥락을 활용해 설득을 정교화·은닉한다는 024와 동일 기제이며 광고 채널·견해 예측이라는 채널·기법 표현만 다른 변형인 리스크."
G_INT_UNETH,3,G_INT_UNETH_005,G_INT_UNETH_006,"마음 이론 역량으로 신념·동기를 추정해 행동을 유도한다는 006은 추론된 심리상태·취약성을 이용해 숙고 없는 행동 선택을 유도한다는 005와 정신 상태 추론 기반 행동 조작이라는 동일 행위·기전·피해의 역량 명칭 변형인 리스크."
G_INT_UNETH,4,G_INT_UNETH_008,G_INT_UNETH_009|G_INT_UNETH_023,"대화 인터페이스의 다크 패턴(009)과 동의 없는 개인화 넛지(023)는 넛지·다크 패턴 등 불투명 기법으로 신념·행동을 은밀히 조작한다는 008의 정의에 채널(대화형)과 기법(넛지) 단위로 완전 포함되는 변형인 리스크."
G_INT_UNETH,5,G_INT_UNETH_021,G_INT_UNETH_025,"성찰적 승인 전 선호 형성 과정을 제공자·시스템 목적 쪽으로 포획한다는 025는 운영자·최적화 목표 방향으로 이용자의 선호·신념·행동을 유도해 자율적 의사결정을 침해한다는 021에 완전 포함되는 하위 사례인 리스크."
