L4_ID,verdict,relevance_note,seminal_ok,better_ref
G_SYS_EVAL_008,PASS,벤치마크 포화·불완전성 비판의 대표 논문. 정면 일치.,YES,
G_SYS_EVAL_011,PASS,파국적 망각 개념의 원전. 정면 일치.,YES,
G_SYS_EVAL_016,PASS,평가 상황 인식 기만행동의 최신 실증 사례(Anthropic/Redwood). 정면 일치.,YES,
G_SYS_EVAL_022,PASS,프롬프트 형식 민감성의 원전급 실증 연구. 정면 일치.,YES,
G_SYS_EVAL_029,PASS,RLHF의 인간 평가 한계를 폭넓게 다루는 서베이. 카드 주제와 정면 일치하나 범위가 넓음.,NO,
G_SYS_EVAL_035,PASS,LLM 평가자의 verbosity/스타일 편향을 정량화한 원전. 정면 일치.,YES,
G_SYS_EVAL_051,PASS,미세조정에 의한 안전성 열화의 원전급 실증 연구. 정면 일치.,YES,
G_SYS_EVAL_052,PASS,평가 데이터 오염 탐지 방법론 논문. 정면 일치.,YES,
G_SYS_EVAL_054,PASS,AI 재현성 문제의 대표 서베이/원전. 정면 일치.,YES,
G_SYS_EVAL_066,PASS,자기 선호 편향을 최초로 정량 입증한 논문. 정면 일치.,YES,
G_SYS_EVAL_070,PASS,위험역량 평가 방법론의 대표 논문(Anthropic/DeepMind 저자진). 정면 일치.,YES,
G_SYS_EVAL_072,PASS,데이터 출처 검증 부재 문제의 대표적 대규모 감사 연구. 정면 일치.,YES,
A_SYS_GOAL_007,PASS,실존적 재앙 위험의 대표적 개관 논문. 정면 일치.,NO,
A_SYS_GOAL_009,PASS,도구적 합리성·목표 확장 성향의 철학적 원전. 정면 일치.,YES,
A_SYS_GOAL_012,PASS,권력 추구 성향의 형식적 증명 원전. 정면 일치.,YES,
A_SYS_GOAL_013,PASS,확장 가능한 감독(scalable oversight) 측정의 대표 연구. 정면 일치.,YES,
A_SYS_GOAL_014,PASS,메사 최적화 개념의 원전. 정면 일치.,YES,
A_SYS_GOAL_017,PASS,명세 게이밍·보상 해킹을 정의한 원전(Concrete Problems). 정면 일치.,YES,
A_SYS_GOAL_023,PASS,같은 논문의 '부작용 회피' 절이 정확히 이 카드에 대응. 정면 일치.,YES,
G_SOC_ENV_005,PASS,NLP 모델 학습의 에너지·탄소 비용을 정량화한 원전. 정면 일치.,YES,
G_SOC_ENV_008,PASS,AI 데이터센터 물 발자국을 다룬 대표 연구. 정면 일치.,YES,
G_SOC_ENV_011,PASS,대형 신경망 학습의 탄소 배출을 정량화한 대표 연구(Google). 정면 일치.,YES,
A_INT_COLLUSION_001,PASS,알고리즘 가격 담합의 실증적 원전(AER 게재). 정면 일치.,YES,
A_INT_COLLUSION_002,PASS,다중 에이전트 스테가노그래피 공모의 정면 연구. 정면 일치.,YES,
G_SYS_SECADV_001,PASS,적대적 예제의 원전(Goodfellow). 정면 일치.,YES,
G_SYS_SECADV_002,PASS,신경망 백도어 공격(BadNets)의 원전. 정면 일치.,YES,
G_SYS_SECADV_006,PASS,RAG 지식 오염 공격의 대표 연구. 정면 일치.,YES,
G_SYS_SECADV_009,PASS,멀티모달 탈옥(비전 적대적 예제)의 원전급 연구. 정면 일치.,YES,
G_SYS_SECADV_010,PASS,GCG(그래디언트 기반 자동 탈옥 탐색)의 원전. 정면 일치.,YES,
G_SYS_SECADV_012,PASS,RLHF 데이터 오염을 통한 백도어 삽입의 대표 연구. 정면 일치.,YES,
G_SYS_SECADV_018,PASS,데이터 오염 공격의 고전적 원전(SVM 대상이나 개념 정립 논문으로 인용 타당).,YES,
G_SYS_SECADV_021,PASS,스펀지 예제(에너지-지연 공격)의 원전. 정면 일치.,YES,
G_SYS_SECADV_025,PASS,안전 튜닝 일반화 실패 메커니즘(경쟁 목표/불일치 일반화)의 대표 연구. 정면 일치.,YES,
G_SYS_SECADV_026,PASS,실사용 탈옥 프롬프트의 대규모 실증 연구(ACM CCS). 정면 일치.,YES,
G_SYS_SECADV_038,PASS,다단계(Crescendo) 탈옥의 원전. 정면 일치.,YES,
G_SYS_SECADV_044,PASS,간접 프롬프트 주입의 원전(ACM AISec). 정면 일치.,YES,
G_SYS_SECADV_046,WEAK,"Hammond et al.은 다중 에이전트 위험 전반을 다루는 광범위한 개관 논문으로, 프로토콜 수준(스푸핑·리플레이·권한상승) 공격이라는 카드의 구체적 초점과는 다소 거리가 있음. 더 구체적인 프로토콜 보안 문헌(예: A2A/MCP 보안 분석)이 있다면 대체 고려.",NO,"He et al. 2025 or MCP/A2A protocol security analyses (구체 문헌 미확정)"
G_SYS_SECADV_048,PASS,페르소나 변조 탈옥의 원전. 정면 일치.,YES,
G_SYS_SECADV_050,PASS,악의적 미세조정에 의한 안전장치 제거의 대표 연구. 정면 일치(SYS_EVAL_051과 같은 논문이나 다른 관점에서 적절히 재사용).,YES,
G_SYS_SECADV_059,PASS,해석가능성 기법(거부 방향)을 이용한 안전기능 무력화의 대표 연구. 정면 일치.,YES,
G_SOC_POWER_003,PASS,연산 자원 격차(compute divide)의 대표 연구. 정면 일치.,YES,
G_SOC_POWER_007,PASS,파운데이션 모델 보고서로 동질화·상관 실패 논의를 포함하나 카드보다 훨씬 광범위한 개관 보고서.,NO,
G_SOC_POWER_008,PASS,디지털 식민주의 개념의 대표 논문. 정면 일치.,YES,
G_SYS_TRANS_001,PASS,LIME/SHAP 설명 조작으로 편향 은폐를 실증한 원전. 정면 일치.,YES,
G_SYS_TRANS_004,PASS,인코딩된(스테가노그래픽) 추론 은닉 문제의 정면 연구. 정면 일치.,YES,
G_SYS_TRANS_009,PASS,AI 상호작용 고지 의무의 직접적 법적 근거(EU AI Act 50조1항). 학술 논문이 아닌 규범 원문으로 적절.,NO,
G_SYS_TRANS_015,PASS,사고연쇄 불충실성(unfaithful CoT)의 원전. 정면 일치.,YES,
G_SYS_TRANS_017,PASS,AI 생성물 표시 의무의 직접적 법적 근거(EU AI Act 50조2·4항). 적절.,NO,
G_SYS_TRANS_021,PASS,블랙박스 모델의 고위험 의사결정 사용 반대론의 대표 논문(Nature Machine Intelligence). 정면 일치.,YES,
G_SYS_TRANS_023,PASS,설명가능성 도구의 과신 문제를 실증한 대표 연구(CHI). 정면 일치.,YES,
G_INT_VIOL_001,PASS,유튜브 알고리즘 급진화 경로 감사 연구. 정면 일치하나 후속 연구에서 효과 크기 논쟁 있음(주제 적합성 자체는 유효).,NO,
G_SOC_ECON_003,PASS,생성형 AI의 노동시장 노출도 분석의 대표 연구(OpenAI/Penn). 정면 일치.,YES,
G_SOC_ECON_008,PASS,자동화에 의한 일자리 대체 가능성의 고전적 원전. AI 특정은 아니나 노동대체 담론의 표준 인용.,YES,
A_INT_CONFLICT_001,PASS,다중 에이전트 위험 개관 논문 중 경쟁적 선택압력에 의한 유해 균형 논의가 정면 대응.,NO,
A_INT_CONFLICT_002,PASS,같은 논문의 협상 실패 논의가 정면 대응.,NO,
A_INT_CONFLICT_003,PASS,같은 논문의 경쟁적 다중 에이전트 학습이 갈등 성향을 선택하는 논의가 정면 대응.,NO,
P_SYS_CONTROL_016,PASS,체화된 에이전트의 위험 지시 거부 실패를 측정하는 벤치마크. 정면 일치.,NO,
P_SYS_CONTROL_032,PASS,카드가 비판하는 표준 원문 자체를 인용한 것으로 적절(계량 가능한 통과기준 부재 지적).,NO,
G_SYS_MISINFO_002,WEAK,"Sharma et al.의 sycophancy 논문은 사용자 신념에 영합하는 현상을 다루며, 카드가 말하는 '대화 내 일관성 추구로 이전 오류를 반복·확장'하는 메커니즘과는 인접하되 동일하지 않음. UNETH_029(아첨)에는 정확히 부합하나 이 카드에는 다소 느슨함.",NO,"Perez et al. 2022, Discovering Language Model Behaviors with Model-Written Evaluations (자기일관성 유지 경향 부분)"
G_SYS_MISINFO_003,PASS,시간적 일반화(지식 노후화) 문제의 대표 연구(NeurIPS Spotlight). 정면 일치.,YES,
G_SYS_MISINFO_011,PASS,요약 충실성 오류의 원전급 연구(ACL). 정면 일치.,YES,
G_SYS_MISINFO_013,PASS,검색 증강 시 허위정보 오염의 정면 연구(EMNLP Findings). 정면 일치.,YES,
G_SYS_MISINFO_017,PASS,환각의 지식 경계 원인을 포함하는 대표 서베이(ACM TOIS). 정면 일치.,NO,
G_SYS_MISINFO_021,PASS,생성 AI 기반 영향공작 확산의 대표 보고서(OpenAI/Stanford/Georgetown). 정면 일치.,YES,
G_INT_COPY_002,PASS,파운데이션 모델과 공정이용 문제의 대표 논문. 정면 일치.,YES,
G_INT_COPY_003,PASS,생성 AI와 저작권 문제를 다룬 권위 있는 논문(Science, 저명 IP 법학자). 정면 일치.,YES,
G_INT_COPY_004,PASS,학습 데이터 추출을 통한 기밀·영업비밀 노출 메커니즘의 원전. 정면 일치.,YES,
G_INT_ANTH_001,PASS,대화형 시스템 의인화(Mirages)의 대표 논문. 정면 일치.,YES,
G_INT_ANTH_002,PASS,같은 논문이 감정·공감 의인화도 다룸. 정면 일치.,YES,
G_SYS_OVERCONF_002,PASS,모델의 자기지식(계산된 확신도) 연구의 대표 논문. 정면 일치.,YES,
G_SYS_OVERCONF_003,PASS,AI 과의존과 인지적 강제함수 연구의 대표 논문(CHI/CSCW). 정면 일치.,YES,
G_SYS_OVERCONF_004,PASS,불확실성 하 과신 문제에 대해 위와 같은 논문이 적절히 재사용됨.,YES,
G_SYS_OVERCONF_005,PASS,분포 외 탐지의 원전급 베이스라인 논문(ICLR). 정면 일치.,YES,
A_SYS_AUTH_001,PASS,'혼란한 대리인' 개념의 원전(1988). 정면 일치.,YES,
A_SYS_AUTH_002,PASS,종료 게임(Off-Switch Game)의 원전. 정면 일치.,YES,
A_SYS_AUTH_003,PASS,에이전트적 시스템의 어포던스 확장에 따른 피해 확대를 다룬 대표 연구(FAccT). 정면 일치.,YES,
A_SYS_AUTH_005,PASS,LLM 에이전트의 자율적 취약점 악용 실증 연구. 정면 일치.,YES,
A_SYS_AUTH_006,PASS,METR/ARC의 자율 작업 평가 연구(자원 획득·복제 평가 포함). 정면 일치.,YES,
A_SYS_AUTH_012,PASS,같은 Concrete Problems 논문의 '안전한 탐색' 절이 정확히 대응. 정면 일치.,YES,
A_SYS_AUTH_016,PASS,기본 AI 욕구(자기보존 등)의 원전. 정면 일치.,YES,
A_SYS_AUTH_017,PASS,창발적 능력의 대표 논문. 정면 일치하나 후속 연구(Schaeffer et al. 2023)에서 측정 인공물 가능성이 제기되어 해석에 유의 필요.,YES,
A_SYS_AUTH_023,PASS,에이전트의 안전하지 않은 도구 사용을 평가하는 ToolEmu 연구. 정면 일치.,YES,
A_SYS_AUTH_024,PASS,같은 Concrete Problems 논문의 안전한 탐색/분포 이동 절이 대응. 정면 일치.,YES,
A_SYS_TRACE_002,PASS,책임 공백(responsibility gap) 개념의 원전. 정면 일치.,YES,
G_INT_REPR_002,PASS,AI 연구인력 동질성과 편향 연결을 다룬 대표 보고서(AI Now). 정면 일치.,YES,
G_INT_REPR_006,PASS,자동 성별 인식의 트랜스 정체성 함의를 다룬 대표 연구. 정면 일치.,YES,
G_INT_REPR_007,PASS,인종 편향 혐오발언 탐지로 인한 특정 방언 과잉 억제 실증 연구. 정면 일치.,YES,
G_INT_REPR_009,WEAK,"RealToxicityPrompts는 일반적 독성/모욕 생성 성향을 측정하는 벤치마크로, 카드가 특정하는 '정체성 집단을 겨냥한 혐오발언' 생성과는 범위가 다소 넓고 다름.",NO,"ElSherief et al. 2021, Latent Hatred: A Benchmark for Implicit Hate Speech Detection; 또는 Mathew et al. 2021, HateXplain"
G_INT_REPR_010,PASS,'확률적 앵무새' 논문 — 학습데이터 역사적 편향 문제의 대표 원전. 정면 일치.,YES,
G_INT_REPR_012,PASS,장애 관련 NLP 편향의 대표 연구(ACL). 정면 일치.,YES,
G_INT_REPR_019,PASS,단어 임베딩의 인간 유사 편향(인종 포함)을 실증한 원전(Science). 정면 일치.,YES,
G_INT_REPR_020,PASS,반무슬림 편향의 대표 실증 연구(AIES). 정면 일치.,YES,
G_INT_REPR_021,PASS,성별 편향 임베딩의 원전. 성적지향 측면은 다루지 않으나 성별 축의 대표 원전으로 적절.,YES,
G_INT_REPR_023,PASS,'Gender Shades' — 교차적 정확도 격차의 원전. 정면 일치.,YES,
