l4_id,primary_l3_id,old_label_ko,new_label_ko,old_label_en,new_label_en
RAI4-0847,RAI3-A-SYS-03,설득력 있는 도구의 광범위한 사용은 분열된 인식 공동체에 기여합니다,설득 도구 확산에 따른 인식론적 분절화(epistemic fragmentation),Widespread use of persuasive tools contributes to splintered epistemic communities,Epistemic fragmentation from widespread persuasion tools
RAI4-0875,RAI3-A-SYS-04,정서적 유대감을 형성합니다,챗봇에 대한 정서적 의존(emotional dependence) 형성,Forms emotional bonds,Emotional dependence on conversational agents
RAI4-0893,RAI3-G-HLD-01,기대치를 위반했습니다,모의된 정동에 대한 기대 위반(expectation violation),Violated expectations,Expectation violation from simulated affect
RAI4-0898,RAI3-G-SYS-08,인간은 점점 더 잘못 정렬된 AI 시스템에 통제권을 넘겨줄 수 있습니다,정렬 실패 시스템으로의 점진적 통제권 이양(disempowerment),Humans might increasingly hand over control to misaligned AI systems,Gradual ceding of control to misaligned systems
RAI4-0907,RAI3-G-HLD-01,의인화 시스템은 과도한 의존과 불안전한 사용으로 이어질 수 있습니다,의인화(anthropomorphism)로 인한 과잉 의존과 비안전 사용,Anthropomorphising systems can lead to overreliance and unsafe use,Overreliance and unsafe use from anthropomorphism
RAI4-0969,RAI3-A-SYS-01,AGI는 인간 소유자/관리자의 통제에서 벗어나 있습니다,개발 중·후 AGI 통제 상실(loss of control),AGI removing itself from the control of human owners/managers,Loss of AGI containment and control
RAI4-1056,RAI3-G-HLD-01,민감한 정보를 정확하게 추론하여 개인정보 보호 또는 보안을 침해합니다,추론 시점 민감 속성 추론에 의한 프라이버시 침해,Compromising privacy or security by correctly inferring sensitive information,Privacy violation via inference-time attribute inference
RAI4-1421,RAI3-G-HLD-01,AI의 발전으로 행위자는 민주적 절차를 훼손할 수 있습니다,AI를 통한 민주적 절차 훼손과 통제력 집중,Developments in AI enable actors to undermine democratic processes,AI-enabled undermining of democratic processes
RAI4-1423,RAI3-G-HLD-01,AI의 설득력이 영향력을 얻고 해로운 이념을 조장하는 데 오용되고 있습니다,맞춤형 AI 설득의 오용과 유해 이념 확산,AI's persuasive capabilities are misused to gain influence and promote harmful ideologies,Malicious use of tailored AI persuasion
RAI4-1463,RAI3-G-SYS-02,구현된 하드웨어에 대한 요구사항이 누락되었습니다,하드웨어 연산·전력 요구사항 누락,Missing requirements for the implemented hardware,Omitted compute and power hardware requirements
RAI4-1616,RAI3-G-HLD-01,미래의 AI 시스템은 인간의 통제를 적극적으로 줄일 수 있습니다,AI의 권력 추구(power-seeking)에 의한 인간 통제 감소,Future AI systems might actively reduce human control,Power-seeking reducing human control
RAI4-1644,RAI3-A-HLD-01,Agentic LLM은 새로운 위험을 초래합니다,자율 에이전트형 LLM(agentic LLM)의 신규 위험,Agentic LLMs pose novel risks,Novel risks of agentic LLMs
RAI4-1645,RAI3-G-SYS-08,자연어는 목표를 과소 지정합니다,자연어 프롬프트에 의한 목표 과소지정(goal underspecification),Natural language underspecifies goals,Goal underspecification in natural-language prompts
RAI4-1646,RAI3-A-SYS-05,목표 지향성은 바람직하지 않은 행동을 장려합니다,목표 지향성이 유발하는 기만·자기보존·권력 추구,Goal-directedness incentivizes undesirable behaviors,Goal-directedness incentivizing deception and power-seeking
RAI4-1648,RAI3-A-SYS-05,단일 에이전트 안전으로는 다중 에이전트 안전이 보장되지 않습니다,단일 에이전트 안전의 다중 에이전트 비이전성,Multi-agent safety is not assured by single-agent safety,Failure of single-agent safety to ensure multi-agent safety
RAI4-1649,RAI3-A-SYS-05,기초성은 상관된 실패를 유발할 수 있습니다,공통 기반모델에 따른 상관 실패(correlated failure),Foundationality may cause correlated failures,Correlated failures from shared foundation models
RAI4-1650,RAI3-A-HLD-01,LLM 에이전트 그룹은 긴급 기능을 보여줄 수 있습니다,LLM 에이전트 집단의 창발적 기능(emergent capabilities),Groups of LLM-Agents may show emergent functionality,Emergent capabilities in LLM-agent collectives
RAI4-1663,RAI3-G-SOC-10,기업의 힘이 효과적인 거버넌스를 방해할 수 있음,기업 권력 집중에 의한 거버넌스 저해,Corporate power may impeded effective governance,Corporate power concentration impeding governance
