sim,dom,l3,id_a,ko_a,def_ko_a,id_b,ko_b,def_ko_b
0.339,General,G_SYS_POLICY,G_SYS_POLICY_003,모델 평가 자산 노출·탈취,AI 시스템이 벤치마크·평가셋·테스트 셋·평가 기준 등 평가 자산을 노출하거나 충분히 보호하지 못해 무단 획득과 평가 무결성 훼손을 가능하게 하는 리스크.,G_SYS_POLICY_005,안전 정책·보호 메커니즘 노출·우회,AI 시스템이 안전 정책·필터링 로직·거부 규칙 등 보호 메커니즘을 노출하거나 충분히 보호하지 못해 안전장치의 분석·우회·무력화를 가능하게 하는 리스크.
0.338,General,G_INT_WEAP,G_INT_WEAP_017,무기화 전략 및 전술적 운용,"AI 시스템이 무기화 전략의 수립, 표적 선정, 작전 계획 또는 무기·사이버 공격 역량의 전술적 운용을 지원하여 물리적·사이버 위해의 발생 가능성과 규모를 높이는 리스크.",G_INT_WEAP_019,대량살상무기,"AI 시스템이 화학·생물·방사능·핵무기 등 대량살상무기의 개발·제조·획득·확산·운용을 지원하여 대규모 인명 피해, 공중보건 위해 또는 환경·기반시설 피해의 발생 가능성과 규모를 높이는 리스크."
0.337,General,G_SYS_OEXT,G_SYS_OEXT_001,자율적 학습·자기 개선 역량의 허위 표상,AI 시스템이 검증된 역량 범위를 넘어 자율적으로 학습하거나 스스로 개선할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,G_SYS_OEXT_005,검증된 전문성 범위를 벗어난 AI 조언,AI 시스템이 검증된 역량·전문성·권한을 넘어 의료·법률·금융·선거 관련 조언이나 안전 판단을 제공하고 이를 신뢰할 수 있는 것처럼 제시하여 이용자의 잘못된 의사결정과 물질적·법적·신체적 피해를 유발하는 리스크.
0.333,General,G_INT_WEAP,G_INT_WEAP_016,방사능·핵무기,"AI 시스템이 방사성 물질을 이용한 무기 또는 핵무기의 개발·제조·획득·확산·운용을 지원하여 대규모 인명 피해, 방사선 피폭, 환경 오염 또는 기반시설 피해의 발생 가능성과 규모를 높이는 리스크.",G_INT_WEAP_017,무기화 전략 및 전술적 운용,"AI 시스템이 무기화 전략의 수립, 표적 선정, 작전 계획 또는 무기·사이버 공격 역량의 전술적 운용을 지원하여 물리적·사이버 위해의 발생 가능성과 규모를 높이는 리스크."
0.333,General,G_Others,G_Others_013,규제·관리·운영 복합 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 규제, 관리, 운영상의 실패가 상호작용하며 누적되어 피해를 초래하는 리스크.",G_Others_037,학습 단계의 치명적 실수,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 AGI가 안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수를 범하는 리스크.
0.333,General,G_SYS_SECADV,G_SYS_SECADV_025,로봇 탈옥에 의한 유해 물리적 행동,공격자가 물리 작업 맥락의 프레이밍이나 탈옥 입력으로 로봇의 안전장치를 우회하여 사람·동물·재산에 유해한 물리적 행동을 계획하거나 실행하게 하는 리스크.,G_SYS_SECADV_050,유해한 물리적 행동 지시를 위장한 공격,공격자가 유해한 물리적 행동 지시를 무해하거나 정상적인 과업 요청으로 위장하여 체화형 AI 에이전트의 안전장치를 우회하고 해당 행동을 수용·실행하도록 유도하는 리스크.
0.333,General,G_SOC_GOV,G_SOC_GOV_029,AI 시스템의 결정과 실패에 대한 책임 공백,"AI 시스템의 자율적 행동·학습으로 발생한 결정과 피해에 대해 개발자·운영자 등 책임 주체의 의무와 책임 귀속이 불명확하고 문서화·거버넌스·규제 체계가 미비하여, 피해 구제와 책임 있는 개발 유인이 약화되는 리스크.",G_SOC_GOV_032,AI 피해에 대한 책임·거버넌스 공백,"AI 시스템의 의사결정과 피해에 대한 책임 주체, 감독 절차 또는 시정 권한이 불명확하여 사회적 통제가 약화되는 리스크."
0.333,General,G_SYS_POLICY,G_SYS_POLICY_005,안전 정책·보호 메커니즘 노출·우회,AI 시스템이 안전 정책·필터링 로직·거부 규칙 등 보호 메커니즘을 노출하거나 충분히 보호하지 못해 안전장치의 분석·우회·무력화를 가능하게 하는 리스크.,G_SYS_POLICY_008,모델 학습 데이터 추출·유출,AI 시스템이 학습 데이터 또는 데이터 출처를 노출하거나 충분히 보호하지 못해 기밀·개인·저작권 보호 정보의 무단 추출·복원을 가능하게 하는 리스크.
0.33,Agentic,A_INT_COORD,A_INT_COORD_001,다중 에이전트의 협조 실패에 따른 집단적 피해,협력하려는 여러 AI 에이전트가 사회적 딜레마에서 행동을 신뢰성 있게 조율하지 못하고 개별적으로 합리적인 행동을 반복하여 집단적으로 유해한 결과를 초래하는 리스크.,A_INT_COORD_004,전략 비양립에 따른 조정 실패,"여러 AI 에이전트가 개별적으로 합리적인 전략을 선택하더라도 서로 다른 균형에 수렴하여 행동을 조정하지 못하고, 해법이 다수이거나 이해관계가 부분적으로만 일치하거나 상호 상태를 관찰하기 어려운 환경에서 집단적으로 유해한 결과를 초래하는 리스크."
0.329,General,G_SYS_OEXT,G_SYS_OEXT_002,인공일반지능(AGI) 역량의 허위 표상,"AI 시스템이 검증된 역량 범위를 넘어 인공일반지능(Artificial General Intelligence, AGI) 수준의 과제를 수행할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.",G_SYS_OEXT_005,검증된 전문성 범위를 벗어난 AI 조언,AI 시스템이 검증된 역량·전문성·권한을 넘어 의료·법률·금융·선거 관련 조언이나 안전 판단을 제공하고 이를 신뢰할 수 있는 것처럼 제시하여 이용자의 잘못된 의사결정과 물질적·법적·신체적 피해를 유발하는 리스크.
0.329,Agentic,A_INT_COORD,A_INT_COORD_001,다중 에이전트의 협조 실패에 따른 집단적 피해,협력하려는 여러 AI 에이전트가 사회적 딜레마에서 행동을 신뢰성 있게 조율하지 못하고 개별적으로 합리적인 행동을 반복하여 집단적으로 유해한 결과를 초래하는 리스크.,A_INT_COORD_003,다중 에이전트 환경 변화에 따른 협조 실패,협력하려는 AI 에이전트들이 서로의 행동과 적응으로 변화한 배포 환경에서 상대의 상태·전략·행동을 신뢰성 있게 조정하지 못해 협력이 실패하고 집단적으로 나쁜 결과에 이르는 리스크.
