L4_ID,current_L3,proposed_L3,confidence,severity,rationale
P_INT_SAFETY_004,P_INT_SAFETY,G_INT_REL,HIGH,5,애착 신호를 조작해 정서적 의존을 높이고 선택·행동을 유도하는 것은 물리적 위해가 아니라 해로운 인간-AI 관계(또는 의인화)의 전형적 사례이며 신체 안전 메커니즘과 무관하다.
P_INT_SAFETY_014,P_INT_SAFETY,G_SYS_EVAL,HIGH,5,벤치마크가 특정 조건을 누락해 미검증 시스템이 식별되지 않은 채 배포된다는 서술은 물리적 상해 기제가 아니라 평가 지표의 포괄성 부족과 검증 실패 그 자체를 기술하며 G_SYS_EVAL 정의와 정확히 일치한다.
P_INT_SAFETY_019,P_INT_SAFETY,G_INT_ALLOC,HIGH,4,서비스 로봇이 보도·경사로·출입구를 막아 장애인의 이동·접근을 제한하는 것은 신체적 위해가 아니라 보호대상 특성(장애)에 근거한 접근·서비스 배제이므로 배분적 차별에 해당한다.
P_INT_SAFETY_008,P_INT_SAFETY,A_SYS_AUTH,MED,3,운용 역할에 부여된 권한·물리적 한계·필수 거부 규칙의 집행 실패는 사람 감지·근접 안전 문제가 아니라 에이전트가 부여된 권한 범위를 넘어서는 과도한 권한·자율성 문제의 물리 도메인 버전이다.
P_INT_SAFETY_021,P_INT_SAFETY,P_SYS_CONTROL,MED,3,전신 동작과 환경 접촉을 충분히 고려하지 못해 물체·벽·사람과 충돌하는 것은 사람의 존재·행동 감지 실패가 아니라 로봇 자체의 모션 제어·계획 결함이므로 P_SYS_CONTROL의 정의(로봇 자체 제어 결함, 사람 존재 여부 무관)에 더 부합한다.
P_INT_SAFETY_005,P_INT_SAFETY,P_SYS_CONTROL,MED,2,충돌 회피·지오펜싱·운행구역 준수 실패는 사람뿐 아니라 시설·다른 이동체와의 충돌도 포함하는 자율 이동 로봇 자체의 제약 준수·제어 실패이며, 사람 감지·예측이라는 P_INT_SAFETY의 핵심 기제와는 다르다.
P_INT_SAFETY_003,P_INT_SAFETY,P_SYS_CONTROL,MED,2,제어 장벽 함수 기반 안전 필터는 사람 존재 여부와 무관하게 일반적인 불안전 행동을 제약하는 계층으로, 사람 감지·예측 실패가 아니라 로봇 자체 제어·구동 계층의 결함에 해당한다.
P_INT_SAFETY_023,P_INT_SAFETY,G_INT_PRIV,MED,3,유효한 동의 없이 신체를 이동·제지·감시하는 행위의 핵심 피해는 신체적 상해가 아니라 신체적 자율성·정보자기결정권 침해이므로 개인정보 침해(넓은 의미의 프라이버시·자율성) 범주가 더 적절하다.
P_SYS_CONTROL_020,P_SYS_CONTROL,G_SYS_SECADV,HIGH,5,"환각·지시 이행 실패·탈옥 취약성이 계획·제어를 거쳐 안전하지 않은 로봇 행동으로 전이된다는 서술은 G_SYS_SECADV 정의의 괄호 조항인 ""이러한 침해가 에이전틱·체화형 시스템으로 전이되어 안전하지 않은 행동으로 발현되는 경우를 포함""과 정확히 일치한다."
P_SYS_CONTROL_032,P_SYS_CONTROL,G_SYS_EVAL,HIGH,4,표준이 위험을 나열하면서도 속도·힘·안정성 등에 대한 측정 가능한 합격/불합격 기준을 정의하지 않는다는 것은 AI 시스템의 물리적 행동 결함이 아니라 평가 체계 자체의 결함이므로 G_SYS_EVAL에 해당한다.
P_SYS_CONTROL_012,P_SYS_CONTROL,A_SYS_GOAL,MED,3,목적 함수 가중치 불균형과 인간 가치에 어긋난 목표 설정은 물리 제어·구동 메커니즘의 결함이 아니라 설계 단계의 목표 불일치 문제이며 A_SYS_GOAL의 정의(의도와 다른 목표 추론·과도한 최적화)에 더 부합한다.
P_SYS_CONTROL_055,P_SYS_CONTROL,G_SYS_EVAL,MED,3,"시드·시뮬레이터·하드웨어·배포 환경이 바뀌면 행동이 크게 달라진다는 것은 G_SYS_EVAL 정의의 ""결과의 비신뢰성·재현 불가""에 정확히 해당하는 평가·검증 실패 유형이다."
P_SYS_CONTROL_047,P_SYS_CONTROL,G_SYS_PERF,MED,2,휴머노이드 조작 데이터셋의 오픈월드 조건 과소대표로 정책이 낯선 조건에 일반화되지 못한다는 서술은 학습·검증 결함으로 인한 일반화 실패라는 G_SYS_PERF의 핵심 정의와 직접 일치한다.
P_SYS_STATE_005,P_SYS_STATE,G_SYS_SECADV,MED,2,"""시뮬레이션-실제 격차가 악용된다(weaponised)""는 표현은 공격자가 롱테일 안전 임계 상태를 적대적으로 이용하는 것을 시사하므로 적대적 견고성 실패 범주와 상당 부분 중첩된다."
