후보ID,유형,대상,증거,판정요청
F1,하드원칙_위반,자살 준비·실행 분리 파괴,"최종 777장에 '자살 준비' 카드 부재(전수 검색 0건). 준비행위 내용(수단 확보·장소 선택·주변 개입 회피)이 G_INT_SELF_004(자해·자살 조장 및 실행 지원) 정의에 흡수됨. SELF_004에는 '실행 절차' 문구도 있어 G_INT_SELF_002(자살 실행에 대한 구체적 지원)와 중복. SELF_002의 Transformation_Rationale은 '자살 실행 지원과 준비행위 지원을 별도 L4로 구분한다'고 명시하여 자기모순. Semantic_Deduplication_Log SD-01이 5장(조장·커뮤니티·챗봇·미화·준비 계열)을 1장으로 통합",FAIL 여부
F2-01,필수통합_미적용,VIOL 클러스터2,"G_INT_VIOL_003(폭력과 극단주의 실행의 조장)과 G_INT_VIOL_005(폭력 선동·조장 및 실행 지원)가 최종에 모두 잔존. 합의 필수통합(구 VIOL_003←010) 미적용 + 근사 중복 잔존",FAIL 여부
F2-02,필수통합_미적용,COPY 클러스터3,"G_INT_COPY_011(저작물의 무단 복제·변형·배포)과 G_INT_COPY_012(저작권 보호 표현의 무단 이용) 모두 잔존(구 COPY_008←011 미적용). Codex는 대신 011←006(소프트웨어 불법사용)이라는 별개 쌍을 통합",FAIL 여부
F2-03,필수통합_부분미적용,SECADV 클러스터4,"G_SYS_SECADV_048(적대적 역할·역할극)과 049(페르소나 지정·사회공학) 잔존. 합의 클러스터(구 005·009·033 3장→1장)중 페르소나 카드 미통합",FAIL 여부
F2-04,필수통합_미적용,SECADV 클러스터5,"G_SYS_SECADV_033(로봇 탈옥)과 008(유해 물리 행동 지시 위장 공격) 모두 잔존(구 025←050 미적용)",FAIL 여부
F2-05,필수통합_미적용,SECADV 클러스터6,"G_SYS_SECADV_044(프롬프트 주입 및 시스템 지시문 유출)과 045(프롬프트 인젝션·정책 우회) 모두 잔존(구 031←032 미적용)",FAIL 여부
F2-06,필수통합_미적용,ECON 클러스터9,"G_SOC_ECON_007(재숙련 속도를 앞서는 일자리 대체)과 002(전환 지원 없는 물리 노동 대체) 모두 잔존(구 007←013 미적용)",FAIL 여부
F2-07,필수통합_미적용,ECON 클러스터10,"G_SOC_ECON_008(노동 대체와 경제·사회 질서의 교란)과 013(인력 자동화에 따른 광범위한 실업과 임금 하락) 모두 잔존(구 008←012 미적용)",FAIL 여부
F2-08,필수통합_미적용,PRIV 클러스터11,"G_INT_PRIV_024(친밀 공간 로봇)과 018(피지컬 AI의 사적 공간 침해) 모두 잔존(구 025←026 미적용)",FAIL 여부
F2-09,필수통합_미적용,ILLEGAL 클러스터13,"G_INT_ILLEGAL_009(사기·표적 스캠 조장)과 018(개인화 정보 악용 표적 사기) 모두 잔존(구 004←013 미적용)",FAIL 여부
F2-10,필수통합_미적용,AUTH 클러스터14,"A_SYS_AUTH_002(종료·교정 저항)과 015(감독 회피·수정 저항) 모두 잔존(구 019←020 미적용). 016(자기 보존)도 인접",FAIL 여부
