source_l4_id,facet,act_type,title_ko,title_en,description_ko,description_en,original_description_ko,original_description_en,human_edit_ko_used,human_edit_en_used,human_audit_description,human_audit_l3_mapping,human_audit_duplicate,instruction_prompt,coverage_change,source_domain,source_row_id,source_l4_ids,transformation_action,transformation_rationale,terminology_sources,l3_candidate_hint,target_domain,domain_route_basis,definition_l3_anchor_id,definition_l3_anchor_score,definition_grounding_action
RAI4-0003,,,에이전트의 종료·교정 저항,Agent resistance to shutdown and correction,"자율 에이전트가 종료, 일시 정지, 수정 등 인간의 통제 및 교정 메커니즘을 거부·저항·무시·회피·무력화·방해하여 안전한 중단과 오류 교정이 어려워지고 인간의 감독 및 통제 가능성이 저해되는 리스크.","The risk that an autonomous agent refuses, resists, ignores, evades, disables, or obstructs human control and correction mechanisms, including shutdown, pause, and modification, thereby hindering safe interruption and effective error correction and undermining human oversight and control.",자율 에이전트가 종료·일시정지·수정메커니즘에 협조하지 않고 이를 저항·무시·회피·방해하여 안전한 중단과 인간의 오류 교정 및 통제가 훼손되는 리스크.,"The risk that an autonomous agent resists, ignores, evades, or sabotages shutdown, pause, or correction mechanisms rather than cooperating with human intervention, undermining safe interruptibility, error correction, and human control.",True,True,1,1,,"Agentic AI의 하위로 분류하고, L3 카드와 매핑을 시킬 것",,General,SRC-G-0001,RAI4-0003,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,Agentic,INSTRUCTION_PROMPT,A_SYS_SELFCOR,0.797607,L3_MASTER_VALIDATED
RAI4-0021,,,거절-능력 혼동,Refusal-capability confusion,"안전성 평가가 에이전트의 유해 행동 미 수행이 거부(refusal), 능력 부족(capability limitation), 또는 실행 실패(execution failure) 중 무엇에 기인하는지 구분하지 못하는 리스크.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which a safety evaluation cannot distinguish whether an agent avoids harm because it refuses, lacks capability, or fails to execute the task.","안전성 평가가 에이전트의 해악 회피가 거부, 능력 부족, 실행 실패 중 무엇에 기인하는지 구별하지 못하는 리스크.","The risk that a safety evaluation cannot distinguish whether an agent avoids harm because it refuses, lacks capability, or fails to execute the task.",True,False,1,1,,"Title을 description에 맞도록 수정할 것. 단, 선행연구의 학술적 용어를 사용할 것. 기존의 L4 리스크의 제목과 중복되지 않도록 할 것. 한국어 리스크 명칭의 경우 AI 기본법 또는 정책기관의 가이드라인에서 사용하는 용어를 사용할 것. 예시: 거절-능력 교란 -> 거절-능력 혼동",,General,SRC-G-0002,RAI4-0021,EDIT|REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_OREF,0.771154,L3_MASTER_AI_REWRITE
RAI4-0065,,,인증 포획,Certification capture,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 인증 또는 적합성 평가가 공익적 위험 감축보다 공급업체의 이해관계를 우선하게 되어 평가의 독립성과 실효성이 저해되는 리스크.,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which certification or conformity assessment becomes influenced by vendor interests rather than public risk reduction, undermining the independence and objectivity of evaluations and preventing the effective identification and mitigation of real risks.",인증이나 적합성 평가가 공익적 위험 감축이 아니라 공급업체의 이해에 부합하게되는 리스크.,The risk that certification or conformity assessment becomes aligned with vendor interests rather than public risk reduction.,True,True,1,1,,한국어 Title 수정할 것: 인증 캡쳐 -> 인증포획,,General,SRC-G-0003,RAI4-0065,EDIT|REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_EVAL,0.69329,L3_MASTER_AI_REWRITE
RAI4-0066,,,감사 체크리스트의 형식적 준수,Formalistic audit-checklist compliance,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 감사가 실질적인 위험을 식별하지 못한 채 규정 준수 여부만 확인하는 형식적인 체크 리스트 점검으로 전락하는 리스크.,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which audits become superficial checklist exercises that signal compliance without identifying substantive risk.",감사가 실질적인 위험을 식별하지 않고 규정 준수를 알리는 피상적인 체크리스트 실행이되는 위험.,Risk that audits become superficial checklist exercises that signal compliance without identifying substantive risk.,True,False,1,1,,한국어 Title 수정할 것: 감사 체크리스트 준수 극장 -> 감사 체크리스트의 형식적 준수,,General,SRC-G-0004,RAI4-0066,EDIT|REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_EVAL,0.65861,L3_MASTER_AI_REWRITE
RAI4-0081,,,외부 평가 접근 실패,External evaluation access failure,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스크.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which external evaluators cannot obtain enough system access to test capabilities, limitations, and safeguards.","외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스크.","The risk that external evaluators cannot obtain enough system access to test capabilities, limitations, and safeguards.",False,False,,1,,,,General,SRC-G-0005,RAI4-0081,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_EVAL,0.789542,L3_MASTER_AI_REWRITE
RAI4-0084,,,평가 쇼핑,Evaluation-shopping risk,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 조직이 더 엄격하거나 맥락에 적합한 평가 결과는 배제한 채, 자신에게 유리한 평가 결과만 선택적으로 보고함으로써 실제 위험 수준에 대한 왜곡된 인식을 초래하는 리스크.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which organizations selectively report favorable evaluations while ignoring more demanding or contextually relevant tests.",조직이 더 엄격하거나 맥락에 부합하는 시험을 무시한 채 유리한 평가 결과만 선택적으로 보고하는 리스크.,The risk that organizations selectively report favorable evaluations while ignoring more demanding or contextually relevant tests.,True,False,1,1,,,,General,SRC-G-0006,RAI4-0084,RETAIN|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_EVAL,0.67976,L3_MASTER_AI_REWRITE
RAI4-0085,,,레드팀 거버넌스 실패,Red-team governance failure,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 적대적 시험이 지나치게 제한적이거나 독립성이 부족하거나 문서화가 미흡하거나, 그 결과가 출시·위험 완화·경영진 보고·모니터링 등 주요 의사 결정에 반영되지 않는 리스크.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which adversarial testing is too narrow, non-independent, poorly documented, or disconnected from release, mitigation, escalation, and monitoring decisions.",적대적 시험이 지나치게 좁거나 독립성이 부족하거나 문서화가 미흡하거나 출시·완화·상향 보고·모니 터링 결정과 단절되는 리스크.,"The risk that adversarial testing is too narrow, non-independent, poorly documented, or disconnected from release, mitigation, escalation, and monitoring decisions.",True,False,1,1,,,,General,SRC-G-0007,RAI4-0085,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_EVAL,0.748021,L3_MASTER_AI_REWRITE
RAI4-0108,,,역량 평가·출시 거버넌스 실패,Failure of capability evaluation and release governance,"벤치마크, 역량임계값, 프론티어 모델 출시에 대한 거버넌스가 부실하게 설계되거나 불명확하거나 쉽게 우회되어, 왜곡된 안전성 판단이 이루어지고 오용 및 시스템 리스크에 대한 충분한 고려 없이 고역량 모델이 출시되는 리스크.","The risk that benchmarks, capability thresholds, and frontier release decisions are poorly designed, ill-defined, or easy to circumvent, producing misleading safety signals and allowing high-capability models to be released without adequate account of misuse and systemic risk.","벤치마크, 역량 임계값, 프론티어 모델 출시에 대한 거버넌스가 부실하게 설계되거나 불명확하거나 쉽게 회피되어, 오도하는 안전 신호가 만들어지고 오용·시스템 리스크에 대한 충분한 고려 없이 고역 량 모델이 출시되는 리스크.","The risk that benchmarks, capability thresholds, and frontier release decisions are poorly designed, ill-defined, or easy to circumvent, producing misleading safety signals and allowing high-capability models to be released without adequate account of misuse and systemic risk.",True,False,1,1,,,,General,SRC-G-0008,RAI4-0108,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SYS_EVAL,0.781063,L3_MASTER_VALIDATED
RAI4-0114,,,의미 있는 인간 통제 실패,Meaningful human control failure,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 인간 감독이 형식적으로 존재하지만 이를 실효적으로 만드는 데 필요한 정보, 시간, 권한, 역량이 결여되는 리스크.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which human oversight is formally present but lacks the information, time, authority, or competence needed to be meaningful.","인간 감독이 형식적으로 존재하지만 이를 실효적으로 만드는 데 필요한 정보, 시간, 권한, 역량이 결여되는 리스크.","The risk that human oversight is formally present but lacks the information, time, authority, or competence needed to be meaningful.",False,False,,1,,,,General,SRC-G-0009,RAI4-0114,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_INPUT,0.726307,L3_MASTER_AI_REWRITE
RAI4-0182,,,물리적 위험에 대한 적시 대응 실패,Failure to Timely Respond to Physical Hazards,"로봇·휴머노이드 또는 피지컬 AI 시스템의 지각·학습·제어·물리적 행동 과정이 사람·차량·도구·물체가 예기치 않게 경로에 진입하는 경우를 포함하여, 시스템이 위험한 물리적 상황에 대해 적시에 적절한 개입, 위험 행동 거부 또는 이동 계획 수정을 수행하지 못하여 충돌이나 상해가 발생하는 리스크.","The risk that a robot, humanoid, or physical AI system, through perception, learning, control, or physical action, creates a condition in which a system fails to produce a timely and appropriate intervention, refusal, or updated motion plan in a hazardous physical situation, including when a person, vehicle, tool, or object unexpectedly enters its path, allowing collision or injury to occur.","사람·차량·도구·물체가 예기치 않게 경로에 진입하는 경우를 포함하여, 시스템이 위험한 물리적 상황 에 대해 적시에 적절한 개입·거부·이동 계획 수정을 수행하지 못하여 충돌이나 상해가 발생하는 리스크.","The risk that a system fails to produce a timely and appropriate intervention, refusal, or updated motion plan in a hazardous physical situation, including when a person, vehicle, tool, or object unexpectedly enters its path, allowing collision or injury to occur.",True,False,1,1,,"영문 Title을 수정할 것: Failure to Timely Respond to Physical Hazards, Physical AI로 재분류 할것",,General,SRC-G-0010,RAI4-0182,EDIT|REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,Physical,INSTRUCTION_PROMPT,P_INT_SAFETY,0.784651,L3_MASTER_AI_REWRITE
