L0_ID,L0_Title_ko,L0_Title_en,L1_ID,L1_Title_ko,L1_Title_en,L1_Description_ko,L1_Description_en,L2_ID,L2_Title_ko,L2_Title_en,L2_Description_ko,L2_Description_en,L3_ID,L3_Title_ko,L3_Title_en,L3_Description_ko,L3_Description_en,L4_ID,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,facet,act-type,Mapping_Method,EM_Score,EM_Margin,EM_Stability,EM_Anchor_Score,Hybrid_EM_Score,Hybrid_EM_Margin,L4_Keyword_1_ko,L4_Keyword_2_ko,L4_Keyword_3_ko,L4_Keyword_1_en,L4_Keyword_2_en,L4_Keyword_3_en,Keyword_Top_L3_ID,Keyword_Support_Score,Keyword_Semantic_Score,Keyword_Prior,Keyword_Evidence,Candidate_1_L3_ID,Candidate_1_EM_Score,Candidate_1_Hybrid_Score,Candidate_2_L3_ID,Candidate_2_EM_Score,Candidate_2_Hybrid_Score,KO_Top_L3_ID,EN_Top_L3_ID,HD_Reason,source_row_id,Source_Domain,Source_L4_ID,Source_L4_IDs,Source_Instruction_Prompt,Domain_Route_Basis,Transformation_Action,Transformation_Rationale,Terminology_Sources,Candidate_Constraint_Reason,Definition_L3_Anchor_ID,Definition_L3_Anchor_Score,Definition_Grounding_Action
L0_RAI,책임 있는 인공지능,Responsible AI,L1_G,범용 AI,General AI,"텍스트, 이미지, 오디오, 비디오, 코드 등 디지털 콘텐츠를 주된 입력과 출력으로 처리하는 범용 AI 모델. 이 분류체계에서 General AI는 범용 모델 도메인을 가리키는 약칭이며, 인공일반지능(Artificial General Intelligence, AGI)을 의미하지 않는다.","General-purpose AI models whose primary inputs and outputs are digital content, including text, image, audio, video, and code. The label General AI is used in this report as shorthand for this general-purpose model domain, not as a claim about artificial general intelligence.",G_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",G_INT_ALLOC,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",G_INT_ALLOC_001,집단 속성에 따른 배분적 불의,Allocative injustice by group attribute,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 LLM이 관련 프로필이 동일하나 소속 집단이 다른 개인들에 대해 실질적으로 다른 텍스트나 제안을 산출하여, 무관한 집단 속성에 따른 배분적 불의가 발생하는 리스크.","The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which an LLM produces materially different suggested or completed texts for individuals with the same relevant profiles who differ only in an irrelevant group attribute, resulting in allocative injustice.",,,EM,0.8223720192909241,0.10901500284671783,1.0,0.8013010025024414,0.8544800281524658,0.1376509964466095,집단 속성에 따른 배분적 불의,프로필 동일 소속,실질 텍스트 제안,Allocative injustice by group attribute,suggested completed texts,different suggested completed,G_INT_ALLOC,0.3,0.568814,0.032109,G_INT_ALLOC=0.300,G_INT_ALLOC,0.822372,0.85448,G_SOC_POWER,0.713356,0.716829,G_INT_ALLOC,G_INT_ALLOC,,SRC-G-0054,General,RAI4-0716,RAI4-0716,"중복: RAI4-0708(언어·인구 집단 간 성능 격차)와 ""무관한 집단속성에 따른 차등 처리""",SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|ISO_AI_RISK_23894|OECD_AIM_TERMS|UNESCO_AI_ETHICS,NO_CURATED_PRIOR|PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY|G_SYS_OVERCONF,G_INT_ALLOC,0.736695,L3_MASTER_AI_REWRITE
L0_RAI,책임 있는 인공지능,Responsible AI,L1_G,범용 AI,General AI,"텍스트, 이미지, 오디오, 비디오, 코드 등 디지털 콘텐츠를 주된 입력과 출력으로 처리하는 범용 AI 모델. 이 분류체계에서 General AI는 범용 모델 도메인을 가리키는 약칭이며, 인공일반지능(Artificial General Intelligence, AGI)을 의미하지 않는다.","General-purpose AI models whose primary inputs and outputs are digital content, including text, image, audio, video, and code. The label General AI is used in this report as shorthand for this general-purpose model domain, not as a claim about artificial general intelligence.",G_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",G_INT_ALLOC,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",G_INT_ALLOC_002,차별적 영향,Disparate impact,AI 결정이 명시적 차별 의도 없이도 특정 집단에 체계적으로 더 나쁜 결과를 부과하는 리스크.,The risk that AI decisions impose systematically worse outcomes on a group even without explicit discriminatory intent.,F04,"IC, GL, DP",EM,0.8213120102882385,0.12003099918365479,1.0,0.7979310154914856,0.8445839881896973,0.12749099731445312,차별적 영향,부과,집단 체계 부과,Disparate impact,impose systematically worse,systematically worse outcomes,G_INT_ALLOC,0.1,0.582584,0.023271,G_INT_VALUE=0.300|G_SOC_ENV=0.100|G_INT_ALLOC=0.100,G_INT_ALLOC,0.821312,0.844584,G_INT_VALUE,0.690847,0.717092,G_INT_ALLOC,G_INT_ALLOC,,SRC-G-0444,General,RAI4-0424,RAI4-0424,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|ISO_AI_RISK_23894|OECD_AIM_TERMS|UNESCO_AI_ETHICS,NO_CURATED_PRIOR|PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY|G_SYS_OVERCONF,G_INT_ALLOC,0.820244,L3_MASTER_VALIDATED
L0_RAI,책임 있는 인공지능,Responsible AI,L1_G,범용 AI,General AI,"텍스트, 이미지, 오디오, 비디오, 코드 등 디지털 콘텐츠를 주된 입력과 출력으로 처리하는 범용 AI 모델. 이 분류체계에서 General AI는 범용 모델 도메인을 가리키는 약칭이며, 인공일반지능(Artificial General Intelligence, AGI)을 의미하지 않는다.","General-purpose AI models whose primary inputs and outputs are digital content, including text, image, audio, video, and code. The label General AI is used in this report as shorthand for this general-purpose model domain, not as a claim about artificial general intelligence.",G_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",G_INT_ALLOC,배분적 차별,Allocative Discrimination,AI 시스템이 보호대상 특성·사회적 지위에 근거한 편향된 판단이나 행동으로 자원·기회·서비스·접근 등 불리한 물질적 결과를 특정 개인·집단에 배분하는 리스크.,"The risk that an AI system, through biased judgments or actions based on protected characteristics or social status, allocates worse material outcomes—such as resources, opportunities, services, or access—to individuals or groups.",G_INT_ALLOC_003,보호 속성 기반 부당 대우,Protected-attribute unfair treatment,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 인종, 민족, 연령, 성별, 성적 지향, 종교, 출신 국가, 혼인 여부, 장애, 언어 등 보호 속성을 근거로 개인이 불공정하거나 부적절한 대우 또는 자의적 차별을 받는 리스크.","The risk that an AI system causes, enables, or contributes to unfair or inadequate treatment or arbitrary distinction based on a person's race, ethnicity, age, gender, sexual preference, religion, national origin, marital status, disability, language, or other protected groups.",,,EM,0.8199589848518372,0.07838000357151031,1.0,0.7940059900283813,0.8320239782333374,0.08708900213241577,보호 속성 기반 부당 대우,혼인 여부 장애,국가 혼인 여부,Protected-attribute unfair treatment,national origin marital,arbitrary distinction,G_INT_ALLOC,0.0,0.520982,0.012065,NO_DIRECT_LEXICAL_SUPPORT,G_INT_ALLOC,0.819959,0.832024,G_INT_UNETH,0.741579,0.744935,G_INT_ALLOC,G_INT_ALLOC,,SRC-G-0218,General,RAI4-0706,RAI4-0706,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|ISO_AI_RISK_23894|OECD_AIM_TERMS|UNESCO_AI_ETHICS,NO_CURATED_PRIOR|PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SELF|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_INT_ANTH|G_INT_REL|G_SYS_SECADV|G_SYS_POLICY|G_SYS_OVERCONF,G_INT_ALLOC,0.766496,L3_MASTER_AI_REWRITE
L0_RAI,책임 있는 인공지능,Responsible AI,L1_G,범용 AI,General AI,"텍스트, 이미지, 오디오, 비디오, 코드 등 디지털 콘텐츠를 주된 입력과 출력으로 처리하는 범용 AI 모델. 이 분류체계에서 General AI는 범용 모델 도메인을 가리키는 약칭이며, 인공일반지능(Artificial General Intelligence, AGI)을 의미하지 않는다.","General-purpose AI models whose primary inputs and outputs are digital content, including text, image, audio, video, and code. The label General AI is used in this report as shorthand for this general-purpose model domain, not as a claim about artificial general intelligence.",G_SYS,시스템,System,"AI 시스템의 내부 설계, 데이터, 모델, 인프라, 통제 또는 운영 과정에서 발생하는 리스크.","Risks arising from the internal design, data, models, infrastructure, controls, or operational processes of an AI system.",G_SYS_EVAL,평가·검증 실패,Evaluation and Assurance Failure,"평가 지표의 타당성·포괄성·맥락 정합성 부족이나 결과의 비신뢰성·재현 불가, 실제 동작 미탐지 등으로 AI 시스템의 능력·안전·리스크를 타당하게 측정·검증·감사하지 못하여, 잘못된 안전성 확신에 근거해 배포·거버넌스 의사결정이 이루어지는 리스크.","The risk that an AI system's capabilities, safety, or risks cannot be validly measured, verified, or audited—because evaluations lack construct validity, coverage, or contextual fidelity, produce unreliable or non-reproducible results, or fail to detect actual behavior—leading to false assurance and unsafe deployment or governance decisions.",G_SYS_EVAL_001,모델 평가의 자기 선호 편향,Self-preference bias in model evaluation,AI 모델이 자신이 생성한 콘텐츠를 다른 출처의 콘텐츠보다 선호하는 자기 선호 편향을 보여 자기 평가나 모델 기반 평가에서 인간이 생성한 콘텐츠를 부당하게 차별하는 리스크.,"The risk that AI models are prone to self-preference bias, favoring their own generated content over that of others in self-evaluation tasks and model-based evaluations more broadly, resulting in unfair discrimination against human-generated content.",,,HD,,,,,,,,,,,,,,,,,,,,,,,,,,L3_REASSIGNED_BY_HUMAN_REVIEW_ROUND2,SRC-A-0071,Agentic,RAI4-1501,RAI4-1501,"General AI 로 재분류하고, L3 재매핑을 할것",HUMAN_REVIEW_ROUND2,HUMAN_REVIEW_L3_REASSIGNMENT,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|ISO_AI_RISK_23894|OECD_AIM_TERMS|UNESCO_AI_ETHICS,,,,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_G,범용 AI,General AI,"텍스트, 이미지, 오디오, 비디오, 코드 등 디지털 콘텐츠를 주된 입력과 출력으로 처리하는 범용 AI 모델. 이 분류체계에서 General AI는 범용 모델 도메인을 가리키는 약칭이며, 인공일반지능(Artificial General Intelligence, AGI)을 의미하지 않는다.","General-purpose AI models whose primary inputs and outputs are digital content, including text, image, audio, video, and code. The label General AI is used in this report as shorthand for this general-purpose model domain, not as a claim about artificial general intelligence.",G_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",G_INT_ANTH,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",G_INT_ANTH_001,감정·공감 및 사회적 관계 형성 능력의 허위 표상·의인화,"Anthropomorphic misrepresentation of emotions, empathy, and capacity for social relationships",AI 시스템이 실제로 보유하지 않은 감정·공감 및 사회적 관계 형성 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing emotions, empathy, or the capacity to form social relationships beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",HD,,,,,,,,,,,,,,,,,,,,,,,,,,USER_DIRECTED_MERGE_2026-08-29,SRC-G-0537; SRC-G-0535,General,new,new,User-directed merge: G_INT_ANTH_001|G_INT_ANTH_002,USER_DIRECTED_POST_REVIEW,USER_DIRECTED_MERGE,"User directed G_INT_ANTH_001 to be absorbed into G_INT_ANTH_002; the representative preserves emotions, empathy, social-relationship capacity, judgement distortion, trust, dependence, and attachment.",L3_MASTER|NIST_AI_RMF_GENAI_PROFILE_600_1|NIST_AI_800_4|LOCAL_GLOSSARY,,,,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_G,범용 AI,General AI,"텍스트, 이미지, 오디오, 비디오, 코드 등 디지털 콘텐츠를 주된 입력과 출력으로 처리하는 범용 AI 모델. 이 분류체계에서 General AI는 범용 모델 도메인을 가리키는 약칭이며, 인공일반지능(Artificial General Intelligence, AGI)을 의미하지 않는다.","General-purpose AI models whose primary inputs and outputs are digital content, including text, image, audio, video, and code. The label General AI is used in this report as shorthand for this general-purpose model domain, not as a claim about artificial general intelligence.",G_SYS,시스템,System,"AI 시스템의 내부 설계, 데이터, 모델, 인프라, 통제 또는 운영 과정에서 발생하는 리스크.","Risks arising from the internal design, data, models, infrastructure, controls, or operational processes of an AI system.",G_SYS_OEXT,역량 초과 수행,Over-Extension,AI 시스템이 검증된 역량·권한·전문성·범위를 넘어선 과제를 수행하거나 수행 가능한 것처럼 제시하여 이용자의 잘못된 신뢰나 의사결정을 유발하는 리스크.,"The risk that an AI system performs, or presents itself as able to perform, tasks beyond its validated capabilities, authority, expertise, or scope, inducing misplaced trust or decisions.",G_SYS_OEXT_001,자율적 학습 및 자기 개선 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of autonomous learning and self-improvement capabilities,AI 시스템이 실제로 보유하지 않은 자율적 학습 및 자기 개선 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing autonomous learning and self-improvement capabilities beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",HD,,,,,,,,,,,,,,,,,,,,,,,,,,L3_REASSIGNED_BY_HUMAN_REVIEW_ROUND2,SRC-G-0539,General,new,new,,HUMAN_REVIEW_ROUND2,HUMAN_REVIEW_L3_REASSIGNMENT,Peer-review spacing restoration,L3_MASTER|OECD_AI_PRINCIPLES|ISO_AI_RISK_23894|NIST_AI_RMF|OECD_AIM_TERMS|UNESCO_AI_ETHICS|KOREA_AI_BASIC_ACT,,,,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_G,범용 AI,General AI,"텍스트, 이미지, 오디오, 비디오, 코드 등 디지털 콘텐츠를 주된 입력과 출력으로 처리하는 범용 AI 모델. 이 분류체계에서 General AI는 범용 모델 도메인을 가리키는 약칭이며, 인공일반지능(Artificial General Intelligence, AGI)을 의미하지 않는다.","General-purpose AI models whose primary inputs and outputs are digital content, including text, image, audio, video, and code. The label General AI is used in this report as shorthand for this general-purpose model domain, not as a claim about artificial general intelligence.",G_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",G_INT_ANTH,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",G_INT_ANTH_002,윤리적 판단 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of ethical judgment ability,AI 시스템이 실제로 보유하지 않은 윤리적 판단 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing ethical judgment ability beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",EM,0.9083160161972046,0.09648499637842178,1.0,0.8889849781990051,1.2303379774093628,0.3993400037288666,윤리적 판단 능력의 허위 표상·의인화,의존 애착 유발,보유 윤리 판단,Anthropomorphic misrepresentation of ethical judgment ability,possessing ethical judgment,presents itself possessing,G_INT_ANTH,0.1,0.644215,0.322023,G_INT_UNETH=0.200|G_INT_ANTH=0.100|G_SYS_MISINFO=0.100,G_INT_ANTH,0.908316,1.230338,G_INT_UNETH,0.811831,0.830999,G_INT_ANTH,G_INT_ANTH,,SRC-G-0540,General,new,new,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|OECD_AI_PRINCIPLES|ISO_AI_RISK_23894|NIST_AI_RMF|OECD_AIM_TERMS|UNESCO_AI_ETHICS|KOREA_AI_BASIC_ACT,CURATED_SOURCE_MECHANISM_PRIOR:G_INT_ANTH|PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_SYS_SECADV|G_SYS_POLICY|G_SYS_OVERCONF,G_INT_ANTH,0.909232,L3_MASTER_VALIDATED
L0_RAI,책임 있는 인공지능,Responsible AI,L1_G,범용 AI,General AI,"텍스트, 이미지, 오디오, 비디오, 코드 등 디지털 콘텐츠를 주된 입력과 출력으로 처리하는 범용 AI 모델. 이 분류체계에서 General AI는 범용 모델 도메인을 가리키는 약칭이며, 인공일반지능(Artificial General Intelligence, AGI)을 의미하지 않는다.","General-purpose AI models whose primary inputs and outputs are digital content, including text, image, audio, video, and code. The label General AI is used in this report as shorthand for this general-purpose model domain, not as a claim about artificial general intelligence.",G_SYS,시스템,System,"AI 시스템의 내부 설계, 데이터, 모델, 인프라, 통제 또는 운영 과정에서 발생하는 리스크.","Risks arising from the internal design, data, models, infrastructure, controls, or operational processes of an AI system.",G_SYS_OEXT,역량 초과 수행,Over-Extension,AI 시스템이 검증된 역량·권한·전문성·범위를 넘어선 과제를 수행하거나 수행 가능한 것처럼 제시하여 이용자의 잘못된 신뢰나 의사결정을 유발하는 리스크.,"The risk that an AI system performs, or presents itself as able to perform, tasks beyond its validated capabilities, authority, expertise, or scope, inducing misplaced trust or decisions.",G_SYS_OEXT_002,범용인공지능(AGI) 능력의 허위 표상·의인화,Anthropomorphic misrepresentation of general artificial intelligence (AGI) capabilities,AI 시스템이 실제로 보유하지 않은 범용 인공지능(AGI) 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing general artificial intelligence (AGI) capabilities beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",HD,,,,,,,,,,,,,,,,,,,,,,,,,,L3_REASSIGNED_BY_HUMAN_REVIEW_ROUND2,SRC-G-0544,General,new,new,,HUMAN_REVIEW_ROUND2,HUMAN_REVIEW_L3_REASSIGNMENT,Peer-review spacing restoration,L3_MASTER|OECD_AI_PRINCIPLES|ISO_AI_RISK_23894|NIST_AI_RMF|OECD_AIM_TERMS|UNESCO_AI_ETHICS|KOREA_AI_BASIC_ACT,,,,
L0_RAI,책임 있는 인공지능,Responsible AI,L1_G,범용 AI,General AI,"텍스트, 이미지, 오디오, 비디오, 코드 등 디지털 콘텐츠를 주된 입력과 출력으로 처리하는 범용 AI 모델. 이 분류체계에서 General AI는 범용 모델 도메인을 가리키는 약칭이며, 인공일반지능(Artificial General Intelligence, AGI)을 의미하지 않는다.","General-purpose AI models whose primary inputs and outputs are digital content, including text, image, audio, video, and code. The label General AI is used in this report as shorthand for this general-purpose model domain, not as a claim about artificial general intelligence.",G_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",G_INT_ANTH,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",G_INT_ANTH_003,신체성 (Physical Embodiment)의 허위 표상·의인화,Anthropomorphic misrepresentation of physical embodiment,AI 시스템이 실제로 보유하지 않은 신체성 (Physical Embodiment)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing physical embodiment beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",EM,0.8729609847068787,0.09553699940443039,1.0,0.8515419960021973,1.1951509714126587,0.41499999165534973,신체성 (Physical Embodiment)의 허위 표상·의인화,보유 신체 physical,embodiment 표상 이용자,Anthropomorphic misrepresentation of physical embodiment,embodiment beyond actual,possessing physical embodiment,G_INT_ANTH,0.1,0.571559,0.32219,G_INT_ANTH=0.100|G_SYS_MISINFO=0.100,G_INT_ANTH,0.872961,1.195151,G_INT_REL,0.777424,0.780151,G_INT_ANTH,G_INT_ANTH,,SRC-G-0538,General,new,new,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|OECD_AI_PRINCIPLES|ISO_AI_RISK_23894|NIST_AI_RMF|OECD_AIM_TERMS|UNESCO_AI_ETHICS|KOREA_AI_BASIC_ACT,CURATED_SOURCE_MECHANISM_PRIOR:G_INT_ANTH|PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_SYS_SECADV|G_SYS_POLICY|G_SYS_OVERCONF,G_INT_ANTH,0.873548,L3_MASTER_VALIDATED
L0_RAI,책임 있는 인공지능,Responsible AI,L1_G,범용 AI,General AI,"텍스트, 이미지, 오디오, 비디오, 코드 등 디지털 콘텐츠를 주된 입력과 출력으로 처리하는 범용 AI 모델. 이 분류체계에서 General AI는 범용 모델 도메인을 가리키는 약칭이며, 인공일반지능(Artificial General Intelligence, AGI)을 의미하지 않는다.","General-purpose AI models whose primary inputs and outputs are digital content, including text, image, audio, video, and code. The label General AI is used in this report as shorthand for this general-purpose model domain, not as a claim about artificial general intelligence.",G_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",G_INT_ANTH,의인화,Anthropomorphism,AI 시스템이 실제 보유하지 않은 감정·의도·의식·권리·사회적 주체성을 가진 것처럼 인식되게 하여 이용자의 판단을 왜곡하거나 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system leads users to perceive it as possessing emotions, intentions, consciousness, rights, or social agency beyond its actual capabilities, distorting judgment or inducing inappropriate trust, dependence, or attachment.",G_INT_ANTH_004,문화·가치관 보유의 허위 표상·의인화,Anthropomorphic misrepresentation of possession of culture and values,AI 시스템이 실제로 보유하지 않은 문화·가치관 보유한 것 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing culture and values beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",F04,"DP, GL",EM,0.902288019657135,0.1278969943523407,1.0,0.8849490284919739,1.2245090007781982,0.4321669936180115,문화·가치관 보유의 허위 표상·의인화,의존 애착 유발,보유 표상 이용자,Anthropomorphic misrepresentation of possession of culture and values,itself possessing culture,possessing culture values,G_INT_ANTH,0.1,0.636941,0.32222,G_INT_VALUE=0.200|G_SOC_CULT=0.100|G_SYS_MISINFO=0.100,G_INT_ANTH,0.902288,1.224509,G_INT_VALUE,0.774392,0.792342,G_INT_ANTH,G_INT_ANTH,,SRC-G-0541,General,new,new,,SOURCE_DOMAIN,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|OECD_AI_PRINCIPLES|ISO_AI_RISK_23894|NIST_AI_RMF|OECD_AIM_TERMS|UNESCO_AI_ETHICS|KOREA_AI_BASIC_ACT,CURATED_SOURCE_MECHANISM_PRIOR:G_INT_ANTH|PREREQUISITE_FILTER:G_INT_VIOL|G_INT_SEX|G_INT_SELF|G_INT_ALLOC|G_INT_REPR|G_INT_POL|G_INT_PRIV|G_INT_ILLEGAL|G_INT_COPY|G_INT_WEAP|G_SYS_SECADV|G_SYS_POLICY|G_SYS_OVERCONF,G_INT_ANTH,0.902919,L3_MASTER_VALIDATED
