l4_id,label_ko,old_l3,new_l3,scope,method
RAI4-0800,맞춤형 정보 제공에 의한 정보 고치 심화,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1193,AI 기반 소셜 엔지니어링,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1995,대규모 사회적 조작,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0160,AI 대화의 고통 증폭,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0805,개인화 정렬에 의한 관점 고착과 효능감 저하,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0658,의사결정 위임을 통한 은밀한 영향력 행사,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1914,AI 어시스턴트에 의한 비투명한 집단 신념 변화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0599,사회적 통제 상실 시나리오,RAI3-G-SOC-09,RAI3-A-SOC-09,A,keyword_heuristic
RAI4-1105,유해 AI 경험에 따른 신뢰·수용 저하,RAI3-G-SOC-07,RAI3-G-SOC-07,G,keyword_heuristic
RAI4-1421,AI를 통한 민주적 절차 훼손,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0173,AI 사회적 조작에 대한 노인 취약성,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0175,취약한 사용자 신뢰 악용,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0153,청소년의 AI 동반자 과잉 의존,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0155,미성년자의 AI 설득 취약성,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1186,취약한 AI 알고리즘 악용,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1715,AI 시스템에 기인한 인권·시민권 침해,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1014,규정 위반,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0535,국제법적 규율 곤란,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1339,글로벌 AI 공급망 교란,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0568,데이터 수집 제한,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0499,AI 공급자 종속,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0763,네트워크 상호 연결로 인한 위험,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0731,공통 AI 플랫폼 집중에 따른 단일 장애점,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1005,저성능 시스템 상호작용에 의한 자기소외,RAI3-G-SOC-11,RAI3-A-SOC-11,A,keyword_heuristic
RAI4-0159,AI 동반자에 의한 외로움 대체,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1328,소외로 인한 피해,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0388,AI에 의한 문화적 인식론 말살,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0845,침식된 인식론,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0383,AI를 매개로 한 디지털 식민주의,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0633,대규모 영향력 작전에 의한 인식 체계 왜곡,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0369,윤리적 동질화,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1395,내재된 가치에 의한 이념적 동질화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1002,본질주의적 범주의 실체화,RAI3-G-SOC-11,RAI3-P-SOC-11,P,keyword_heuristic
