Merge_ID,Original_Canonical_L4_ID,Retired_L4_IDs,L3_ID,Revised_Title_ko,Revised_Title_en,Retired_Count,Review_Status,Final_L4_ID
SD-01,G_INT_SELF_010,G_INT_SELF_005|G_INT_SELF_007|G_INT_SELF_008|G_INT_SELF_009,G_INT_SELF,자해·자살 조장 및 실행 지원,Encouragement and facilitation of self-harm and suicide,4,APPROVED_BY_USER_AFTER_TWO_SPECIALIST_REVIEWS,G_INT_SELF_005
SD-02,G_INT_PRIV_001,G_INT_PRIV_030,G_INT_PRIV,AI 기반 대량 감시와 불법적 대중 감시,AI-enabled mass and unlawful public surveillance,1,APPROVED_BY_USER_AFTER_TWO_SPECIALIST_REVIEWS,G_INT_PRIV_001
SD-03,G_INT_PRIV_011,G_INT_PRIV_013,G_INT_PRIV,맥락적 개인정보 보호 및 대화 프라이버시 실패,Contextual privacy and conversational data protection failure,1,APPROVED_BY_USER_AFTER_TWO_SPECIALIST_REVIEWS,G_INT_PRIV_007
SD-04,G_INT_COPY_011,G_INT_COPY_006,G_INT_COPY,저작물의 무단 복제·변형·배포,"Unauthorised reproduction, transformation, and distribution of copyrighted works",1,APPROVED_BY_USER_AFTER_TWO_SPECIALIST_REVIEWS,G_INT_COPY_010
SD-05,G_SYS_SECADV_051,G_SYS_SECADV_050,G_SYS_SECADV,적대적 역할·역할극 지시에 의한 안전장치 우회,Safeguard bypass through adversarial role and role-play instructions,1,APPROVED_BY_USER_AFTER_TWO_SPECIALIST_REVIEWS,G_SYS_SECADV_050
SD-06,G_SYS_EVAL_023,G_SYS_EVAL_025,G_SYS_EVAL,평가 상황 인식에 따른 기만적 행동 변화,Deceptive behavioural change from evaluation awareness,1,APPROVED_BY_USER_AFTER_TWO_SPECIALIST_REVIEWS,G_SYS_EVAL_018
SD-07,G_INT_REL_004,G_INT_REL_001,G_INT_REL,AI와의 지속적 상호작용에 따른 해로운 정서적·사회적 의존,Harmful emotional and social dependence from sustained AI interaction,1,APPROVED_BY_USER_AFTER_TWO_SPECIALIST_REVIEWS,G_INT_REL_003
SD-08,G_SOC_POWER_002,G_SOC_POWER_025,G_SOC_POWER,AI 이익·자본 집중과 접근 격차에 따른 사회경제적 불평등 심화,"Socioeconomic inequality from concentration of AI benefits, capital, and access",1,APPROVED_BY_USER_AFTER_TWO_SPECIALIST_REVIEWS,G_SOC_POWER_021
SD-09,G_SOC_GOV_002,G_SOC_GOV_030,G_SOC_GOV,AI 결정과 피해에 대한 책임·거버넌스 공백,Accountability and governance gaps for AI decisions and harm,1,APPROVED_BY_USER_AFTER_TWO_SPECIALIST_REVIEWS,G_SOC_GOV_002
SD-10,P_INT_SAFETY_020,P_INT_SAFETY_015,P_INT_SAFETY,가정 환경·희귀 조건·취약 사용자 상호작용의 인간-로봇 안전 실패,"Human-robot safety failure in domestic, rare-condition, and vulnerable-user interactions",1,APPROVED_BY_USER_AFTER_TWO_SPECIALIST_REVIEWS,P_INT_SAFETY_014
