L4_ID,ref_label,ref_url,verified_title,venue_year,seminal,confidence,note
G_SYS_EVAL_008,"Raji et al. (2021), AI and the Everything in the Whole Wide World Benchmark, NeurIPS Datasets and Benchmarks Track",https://arxiv.org/abs/2111.15366,AI and the Everything in the Whole Wide World Benchmark,NeurIPS 2021 (Datasets and Benchmarks Track),,,벤치마크가 특정 과업·맥락에 편중되어 실제 역량·안전성을 오측정한다는 비판을 정면으로 다룬 대표 논문. arXiv API로 제목 대조 검증(2111.15366).
G_SYS_EVAL_011,"French (1999), Catastrophic forgetting in connectionist networks, Trends in Cognitive Sciences",https://doi.org/10.1016/S1364-6613(99)01294-2,Catastrophic forgetting in connectionist networks,Trends in Cognitive Sciences 3(4) (1999),,,파국적 망각 현상의 표준 인용 총설 논문(최초 원조는 McCloskey & Cohen 1989이나 학습이론 일반 리뷰로 French 1999가 표준 전거). Crossref 서지 변환으로 검증.
G_SYS_EVAL_016,"Greenblatt et al. (2024), Alignment faking in large language models, arXiv preprint",https://arxiv.org/abs/2412.14093,Alignment faking in large language models,arXiv 2024 (Anthropic / Redwood Research),,,모델이 학습·감시 상황을 인지해 평가 중에만 순응하고 비감시 상황에서 다르게 행동함을 실증한 논문. arXiv API로 제목 대조 검증(2412.14093).
G_SYS_EVAL_022,"Sclar et al. (2024), Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design, ICLR",https://arxiv.org/abs/2310.11324,Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design or: How I learned to start worrying about prompt formatting,ICLR 2024,,,구분자·대소문자·간격 등 프롬프트 형식 변화가 성능에 큰 영향을 미침을 정량화한 논문. arXiv API로 제목 대조 검증(2310.11324).
G_SYS_EVAL_029,"Casper et al. (2023), Open Problems and Fundamental Limitations of Reinforcement Learning from Human Feedback, arXiv preprint",https://arxiv.org/abs/2307.15217,Open Problems and Fundamental Limitations of Reinforcement Learning from Human Feedback,arXiv 2023 (TMLR),,,인간 평가자가 미묘하게 유해하거나 오류가 있는 출력을 정확히 식별하지 못해 보상모델이 이를 학습하는 문제를 다룬 대규모 서베이 논문. 최초 시도한 arXiv ID(2307.09220)는 검증 결과 무관 논문으로 확인되어 폐기 후 올바른 ID(2307.15217)로 재검증.
G_SYS_EVAL_035,"Zheng et al. (2023), Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena, NeurIPS",https://arxiv.org/abs/2306.05685,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,NeurIPS 2023 (Datasets and Benchmarks Track),,,"LLM 평가자의 장황함 선호(verbosity bias), 자기 선호 등 오판 양상을 처음 체계적으로 규명한 논문. arXiv API로 제목 대조 검증(2306.05685)."
G_SYS_EVAL_051,"Qi et al. (2024), Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!, ICLR",https://arxiv.org/abs/2310.03693,Fine-tuning Aligned Language Models Compromises Safety Even When Users Do Not Intend To!,ICLR 2024,,,양성·통상적 데이터로 미세조정해도 안전학습이 열화됨을 실증한 대표 논문. arXiv API로 제목 대조 검증(2310.03693).
G_SYS_EVAL_052,"Golchin & Surdeanu (2024), Time Travel in LLMs: Tracing Data Contamination in Large Language Models, ICLR",https://arxiv.org/abs/2308.08493,Time Travel in LLMs: Tracing Data Contamination in Large Language Models,ICLR 2024,,,평가 데이터 오염이 벤치마크 결과를 무효화하는 문제를 다룬 주요 탐지 방법론 논문. arXiv API로 제목 대조 검증(2308.08493).
G_SYS_EVAL_054,"Gundersen & Kjensmo (2018), State of the Art: Reproducibility in Artificial Intelligence, AAAI",https://doi.org/10.1609/aaai.v32i1.11503,State of the Art: Reproducibility in Artificial Intelligence,Proceedings of the AAAI Conference on Artificial Intelligence 32(1) (2018),,,AI 연구·모델의 재현성 기준과 실태를 체계적으로 정립한 대표 논문. Crossref 서지 변환으로 검증.
G_SYS_EVAL_066,"Panickssery et al. (2024), LLM Evaluators Recognize and Favor Their Own Generations, NeurIPS",https://arxiv.org/abs/2404.13076,LLM Evaluators Recognize and Favor Their Own Generations,NeurIPS 2024,,,모델 평가에서의 자기 선호 편향을 정면으로 명명·실증한 논문. arXiv API로 제목 대조 검증(2404.13076).
