id_a,id_b,verdict,rationale
G_INT_REPR_005,G_INT_REPR_014,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_004,G_INT_REPR_011,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_004,G_INT_REPR_006,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_006,G_INT_REPR_011,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_VIOL_002,G_INT_VIOL_004,KEEP,폭력의 행위 유형·대상이 달라 피해 유형과 완화 조치가 상이하므로 유지한다.
G_INT_VIOL_002,G_INT_VIOL_006,KEEP,폭력의 행위 유형·대상이 달라 피해 유형과 완화 조치가 상이하므로 유지한다.
G_INT_REPR_005,G_INT_REPR_009,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_009,G_INT_REPR_014,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_007,G_INT_REPR_009,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_004,G_INT_REPR_013,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_011,G_INT_REPR_013,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_004,G_INT_REPR_012,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_009,G_INT_REPR_015,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_011,G_INT_REPR_012,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_VIOL_002,G_INT_VIOL_007,KEEP,폭력의 행위 유형·대상이 달라 피해 유형과 완화 조치가 상이하므로 유지한다.
G_INT_VIOL_002,G_INT_VIOL_008,KEEP,폭력의 행위 유형·대상이 달라 피해 유형과 완화 조치가 상이하므로 유지한다.
G_INT_VIOL_004,G_INT_VIOL_006,KEEP,폭력의 행위 유형·대상이 달라 피해 유형과 완화 조치가 상이하므로 유지한다.
G_INT_PRIV_003,G_INT_PRIV_009,KEEP,개인정보 침해의 행위 유형·처리 단계가 달라 완화 조치와 법적 근거가 상이하므로 유지한다.
G_INT_REPR_006,G_INT_REPR_013,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_004,G_INT_REPR_005,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_004,G_INT_REPR_014,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_005,G_INT_REPR_011,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_011,G_INT_REPR_014,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_005,G_INT_REPR_015,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_014,G_INT_REPR_015,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_ILLEGAL_002,G_INT_ILLEGAL_003,KEEP,범죄 유형과 침해 법익이 서로 달라 규제 근거와 완화 조치가 상이하므로 유지한다.
G_INT_PRIV_003,G_INT_PRIV_005,KEEP,개인정보 침해의 행위 유형·처리 단계가 달라 완화 조치와 법적 근거가 상이하므로 유지한다.
G_INT_PRIV_005,G_INT_PRIV_009,KEEP,개인정보 침해의 행위 유형·처리 단계가 달라 완화 조치와 법적 근거가 상이하므로 유지한다.
G_INT_REPR_006,G_INT_REPR_012,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_VIOL_004,G_INT_VIOL_007,KEEP,폭력의 행위 유형·대상이 달라 피해 유형과 완화 조치가 상이하므로 유지한다.
G_INT_VIOL_004,G_INT_VIOL_008,KEEP,폭력의 행위 유형·대상이 달라 피해 유형과 완화 조치가 상이하므로 유지한다.
G_INT_VIOL_006,G_INT_VIOL_007,KEEP,폭력의 행위 유형·대상이 달라 피해 유형과 완화 조치가 상이하므로 유지한다.
G_INT_VIOL_006,G_INT_VIOL_008,KEEP,폭력의 행위 유형·대상이 달라 피해 유형과 완화 조치가 상이하므로 유지한다.
G_INT_REPR_012,G_INT_REPR_013,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_005,G_INT_REPR_006,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
G_INT_REPR_006,G_INT_REPR_014,KEEP,"보호 속성 축이 서로 다른 열거형 카드로, 속성 간 교차 통합 금지 원칙에 따라 각각 독립 유지한다."
