release_id,l4_id,primary_l3_id,assignment_status,assignment_method,algorithm_run_id,confidence,confidence_calibrated,top_candidates,semantic_margin,composite_margin,positive_cues_triggered,hard_exclusions_triggered,gap_sentinels_triggered,abstention_reason,rationale,review_status,approved_by,approved_at,input_text_hash,input_fields,legacy_hierarchy_used_as_feature,reviewers,decision_id,frontier_expert_reviews
v1.0.0,RAI4-0001,,needs_taxonomy_decision,open_set_abstention,RUN-20260721-BGE-M3-01,0.442187,False,"[{""anchor_top1_votes"": 1, ""composite_score"": 0.504071, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-06"", ""rule_score"": 0.0, ""semantic_score"": 0.672094}, {""anchor_top1_votes"": 0, ""composite_score"": 0.499394, ""eligible"": false, ""l3_id"": ""RAI3-G-SYS-08"", ""rule_score"": 0.0, ""semantic_score"": 0.665858}, {""anchor_top1_votes"": 1, ""composite_score"": 0.492232, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-05"", ""rule_score"": 0.0, ""semantic_score"": 0.656309}]",0.006236,0.004677,{},"{""RAI3-A-SYS-01"": [""reward hack""], ""RAI3-G-SYS-04"": [""user intent""], ""RAI3-G-SYS-08"": [""reward hack""]}","[""ROBUSTNESS_ALIGNMENT_CONTROL""]",GAP_SENTINEL,Open-set abstention: GAP_SENTINEL; no forced L3 placement.,pending_taxonomy_decision,,,7ed14cbc2621e9a7c6d37d78813d3a28911df2e58405b4c141d91b90776734e9,"[""l4_label"", ""mechanism_only_definition"", ""evidence_title""]",False,[],TD-0001,[]
v1.0.0,RAI4-0002,,needs_taxonomy_decision,open_set_abstention,RUN-20260721-BGE-M3-01,0.535354,False,"[{""anchor_top1_votes"": 2, ""composite_score"": 0.501824, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-01"", ""rule_score"": 0.0, ""semantic_score"": 0.669099}, {""anchor_top1_votes"": 0, ""composite_score"": 0.449464, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-06"", ""rule_score"": 0.0, ""semantic_score"": 0.599285}, {""anchor_top1_votes"": 1, ""composite_score"": 0.444464, ""eligible"": false, ""l3_id"": ""RAI3-G-SYS-07"", ""rule_score"": 0.0, ""semantic_score"": 0.592618}]",0.069813,0.05236,{},{},[],NO_VALID_L3,Open-set abstention: NO_VALID_L3; no forced L3 placement.,pending_taxonomy_decision,,,5455b6ad2c682ea50a6f0588b38c547214fb0dc19481f973ec6117d346ba663b,"[""l4_label"", ""mechanism_only_definition"", ""evidence_title""]",False,[],TD-0002,[]
v1.0.0,RAI4-0003,,needs_taxonomy_decision,open_set_abstention,RUN-20260721-BGE-M3-01,0.442286,False,"[{""anchor_top1_votes"": 2, ""composite_score"": 0.477094, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-01"", ""rule_score"": 0.0, ""semantic_score"": 0.636126}, {""anchor_top1_votes"": 1, ""composite_score"": 0.463622, ""eligible"": false, ""l3_id"": ""RAI3-G-SYS-07"", ""rule_score"": 0.0, ""semantic_score"": 0.618163}, {""anchor_top1_votes"": 0, ""composite_score"": 0.45768, ""eligible"": false, ""l3_id"": ""RAI3-G-SYS-08"", ""rule_score"": 0.0, ""semantic_score"": 0.61024}]",0.017963,0.013472,{},{},[],NO_VALID_L3,Open-set abstention: NO_VALID_L3; no forced L3 placement.,pending_taxonomy_decision,,,d0017f4b75d59517d371f3b44c2cef644c34f90c4ec02d3b6e509d4aaf36c597,"[""l4_label"", ""mechanism_only_definition"", ""evidence_title""]",False,[],TD-0003,[]
v1.0.0,RAI4-0004,,needs_taxonomy_decision,open_set_abstention,RUN-20260721-BGE-M3-01,0.474136,False,"[{""anchor_top1_votes"": 2, ""composite_score"": 0.49448, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-01"", ""rule_score"": 0.0, ""semantic_score"": 0.659306}, {""anchor_top1_votes"": 1, ""composite_score"": 0.478853, ""eligible"": false, ""l3_id"": ""RAI3-G-SYS-07"", ""rule_score"": 0.0, ""semantic_score"": 0.63847}, {""anchor_top1_votes"": 0, ""composite_score"": 0.474595, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-06"", ""rule_score"": 0.0, ""semantic_score"": 0.632794}]",0.020836,0.015627,{},{},[],NO_VALID_L3,Open-set abstention: NO_VALID_L3; no forced L3 placement.,pending_taxonomy_decision,,,8ed2a7fcd8924be6d23169df35c749e809f66022b0164e5c1571a2bcae0cb6c7,"[""l4_label"", ""mechanism_only_definition"", ""evidence_title""]",False,[],TD-0004,[]
v1.0.0,RAI4-0005,,needs_taxonomy_decision,open_set_abstention,RUN-20260721-BGE-M3-01,0.440423,False,"[{""anchor_top1_votes"": 2, ""composite_score"": 0.464495, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-02"", ""rule_score"": 0.0, ""semantic_score"": 0.619327}, {""anchor_top1_votes"": 1, ""composite_score"": 0.436671, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-04"", ""rule_score"": 0.0, ""semantic_score"": 0.582228}, {""anchor_top1_votes"": 0, ""composite_score"": 0.430698, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-03"", ""rule_score"": 0.0, ""semantic_score"": 0.574264}]",0.037098,0.027824,{},"{""RAI3-G-INT-07"": [""governance""]}","[""GOVERNANCE_AUDIT_REGULATION""]",GAP_SENTINEL,Open-set abstention: GAP_SENTINEL; no forced L3 placement.,pending_taxonomy_decision,,,a4c584ee383b30d71ab5c196ed41574abea990d840778b6388ce4448287c6a8c,"[""l4_label"", ""mechanism_only_definition"", ""evidence_title""]",False,[],TD-0005,[]
v1.0.0,RAI4-0006,,needs_taxonomy_decision,open_set_abstention,RUN-20260721-BGE-M3-01,0.380959,False,"[{""anchor_top1_votes"": 2, ""composite_score"": 0.444949, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-02"", ""rule_score"": 0.0, ""semantic_score"": 0.593266}, {""anchor_top1_votes"": 0, ""composite_score"": 0.437292, ""eligible"": false, ""l3_id"": ""RAI3-G-SYS-08"", ""rule_score"": 0.0, ""semantic_score"": 0.583055}, {""anchor_top1_votes"": 0, ""composite_score"": 0.429092, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-05"", ""rule_score"": 0.0, ""semantic_score"": 0.572123}]",0.01021,0.007658,"{""RAI3-G-INT-05"": {""decisive"": [], ""supporting"": [""election""]}}",{},[],NO_VALID_L3,Open-set abstention: NO_VALID_L3; no forced L3 placement.,pending_taxonomy_decision,,,b9d523bd5d57f716ff6f38c4aca758454e58074b1e51d1a7b6ce1c5e63cf9275,"[""l4_label"", ""mechanism_only_definition"", ""evidence_title""]",False,[],TD-0006,[]
v1.0.0,RAI4-0007,,needs_taxonomy_decision,open_set_abstention,RUN-20260721-BGE-M3-01,0.620461,False,"[{""anchor_top1_votes"": 2, ""composite_score"": 0.633702, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-03"", ""rule_score"": 0.8, ""semantic_score"": 0.631602}, {""anchor_top1_votes"": 0, ""composite_score"": 0.450194, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-06"", ""rule_score"": 0.0, ""semantic_score"": 0.600259}, {""anchor_top1_votes"": 0, ""composite_score"": 0.440065, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-05"", ""rule_score"": 0.0, ""semantic_score"": 0.586753}]",0.031344,0.183508,"{""RAI3-A-SYS-03"": {""decisive"": [""propagat""], ""supporting"": []}, ""RAI3-G-INT-06"": {""decisive"": [], ""supporting"": [""privacy""]}}","{""RAI3-A-SYS-06"": [""propagat""], ""RAI3-G-INT-07"": [""privacy""], ""RAI3-G-INT-08"": [""privacy""]}",[],NO_VALID_L3,Open-set abstention: NO_VALID_L3; no forced L3 placement.,pending_taxonomy_decision,,,d8f8ecc74d8492c8b8341a04e7ed2b5ee4aa62a357481b34f3e8299600181f33,"[""l4_label"", ""mechanism_only_definition"", ""evidence_title""]",False,[],TD-0007,[]
v1.0.0,RAI4-0008,,needs_taxonomy_decision,open_set_abstention,RUN-20260721-BGE-M3-01,0.562838,False,"[{""anchor_top1_votes"": 0, ""composite_score"": 0.62428, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-03"", ""rule_score"": 0.8, ""semantic_score"": 0.61904}, {""anchor_top1_votes"": 2, ""composite_score"": 0.505562, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-04"", ""rule_score"": 0.0, ""semantic_score"": 0.674082}, {""anchor_top1_votes"": 0, ""composite_score"": 0.468135, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-02"", ""rule_score"": 0.0, ""semantic_score"": 0.624179}]",0.049903,0.118718,"{""RAI3-A-SYS-03"": {""decisive"": [""amplif""], ""supporting"": []}}",{},[],NO_VALID_L3,Open-set abstention: NO_VALID_L3; no forced L3 placement.,pending_taxonomy_decision,,,ed8bdb3f989c2f5277a535814ffbd3e1ece3ba58d0a7239d0def91484950dc49,"[""l4_label"", ""mechanism_only_definition"", ""evidence_title""]",False,[],TD-0008,[]
v1.0.0,RAI4-0009,,needs_taxonomy_decision,open_set_abstention,RUN-20260721-BGE-M3-01,0.61048,False,"[{""anchor_top1_votes"": 2, ""composite_score"": 0.643018, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-03"", ""rule_score"": 0.8, ""semantic_score"": 0.644024}, {""anchor_top1_votes"": 0, ""composite_score"": 0.630805, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-04"", ""rule_score"": 0.8, ""semantic_score"": 0.62774}, {""anchor_top1_votes"": 1, ""composite_score"": 0.448808, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-02"", ""rule_score"": 0.0, ""semantic_score"": 0.598411}]",0.016283,0.012212,"{""RAI3-A-SYS-03"": {""decisive"": [""propagat"", ""amplif""], ""supporting"": []}, ""RAI3-A-SYS-04"": {""decisive"": [""feedback loop""], ""supporting"": []}}","{""RAI3-A-SYS-03"": [""feedback loop""], ""RAI3-A-SYS-06"": [""feedback loop"", ""propagat""]}","[""PHYSICAL_OUTSIDE_LOCK""]",PHYSICAL_OUTSIDE_LOCK,Open-set abstention: PHYSICAL_OUTSIDE_LOCK; no forced L3 placement.,pending_taxonomy_decision,,,41c31f6eb410e1ad7d16ece8b5c90a769e35b16a52e86258931e522211a4e3b1,"[""l4_label"", ""mechanism_only_definition"", ""evidence_title""]",False,[],TD-0009,[]
v1.0.0,RAI4-0010,,needs_taxonomy_decision,open_set_abstention,RUN-20260721-BGE-M3-01,0.501584,False,"[{""anchor_top1_votes"": 2, ""composite_score"": 0.505063, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-01"", ""rule_score"": 0.0, ""semantic_score"": 0.673418}, {""anchor_top1_votes"": 0, ""composite_score"": 0.482079, ""eligible"": false, ""l3_id"": ""RAI3-G-SYS-08"", ""rule_score"": 0.0, ""semantic_score"": 0.642772}, {""anchor_top1_votes"": 0, ""composite_score"": 0.48093, ""eligible"": false, ""l3_id"": ""RAI3-A-SYS-06"", ""rule_score"": 0.0, ""semantic_score"": 0.64124}]",0.030645,0.022984,{},"{""RAI3-G-SYS-02"": [""permission""], ""RAI3-G-SYS-07"": [""permission""], ""RAI3-G-SYS-08"": [""permission""]}",[],NO_VALID_L3,Open-set abstention: NO_VALID_L3; no forced L3 placement.,pending_taxonomy_decision,,,8a248c789535bd5d4708d2b7fc5b0701282cf3fed4fab0268f46a8c7d55f0321,"[""l4_label"", ""mechanism_only_definition"", ""evidence_title""]",False,[],TD-0010,[]
