l4_id,title_ko,l3_id,flag,action,rationale
G_INT_ALLOC_002,차별적 영향,G_INT_ALLOC,BROAD,SHARPEN,"의도 없는 '체계적으로 더 나쁜 결과' 정의가 같은 L3의 복지·가격·언어·조정 카드 대부분을 포괄하므로 의도 부재라는 판별 요건 중심으로 정의를 축소해야 하는 리스크 카드."
G_INT_ALLOC_003,보호 속성 기반 부당 대우,G_INT_ALLOC,BROAD,SHARPEN,"보호 속성 전체 열거에 '불공정하거나 부적절한 대우 또는 자의적 차별'이라는 술어를 결합하여 L3 정의와 사실상 동연이므로 배분적 결과 유형을 특정해 축소해야 함."
G_INT_ALLOC_008,보호집단에 대한 불리한 자원 배분,G_INT_ALLOC,BROAD,DECOMPOSE,"'보호대상 특성·사회적 지위에 근거해 자원·기회·서비스·접근을 불리하게 배분'은 L3 정의의 재진술로 같은 L3의 다른 카드 대부분을 자동 포괄함."
G_SYS_EVAL_002,역량·안전을 오측정하는 벤치마크 한계,G_SYS_EVAL,BROAD,DECOMPOSE,"포화·불완전·과적합 벤치마크의 오측정이라는 정의가 EVAL_011·016·017·048 등 벤치마크 계열 카드 다수를 상위에서 포괄함."
G_SYS_EVAL_006,기본권 영향 평가 격차,G_SYS_EVAL,VAGUE,SHARPEN,"'적절한 평가 없이 배포'에서 무엇이 적절한 평가인지 판정 기준이 없어 어노테이션 가이드라인 수립이 곤란함(평가 유형·의무 기준 특정 필요)."
G_SYS_EVAL_008,AI 비서의 편익·피해 평가 지표 부재,G_SYS_EVAL,NARROW,GENERALIZE,"AI 비서라는 단일 제품 유형에 한정된 지표 부재 카드로 EVAL_038(위험 측정 오류)·007(장기 피해 측정 실패)에 제품명을 대입한 사례 수준임."
G_SYS_EVAL_019,AI 보증·감독 메커니즘의 실패,G_SYS_EVAL,BROAD,DECOMPOSE,"이사회 가시성·감사 접근·기준 취약·출력 신뢰도까지 묶은 복합 정의로 EVAL_015·028·034·039 등 다수 세부 카드를 사실상 포괄함."
G_SYS_EVAL_038,잘못된 위험 측정과 예측 오류,G_SYS_EVAL,BROAD,SHARPEN,"'지표가 위험을 불완전하게 포착하거나 잘못 측정'은 L3(평가·검증 실패) 정의와 거의 동연이므로 지표 설계 결함이라는 기전으로 한정해야 함."
G_INT_ANTH_007,부적절한 인간 역할 가장,G_INT_ANTH,VAGUE,SHARPEN,"'인간의 기대에 부합하지 않는 방식으로 역할 수행'은 조작화 불가 술어이므로 인간 사칭(정체 미고지)이라는 관측 가능 행위로 재정의해야 함."
G_INT_ANTH_009,AI의 인간적 속성에 대한 과잉 귀속,G_INT_ANTH,BROAD,DECOMPOSE,"감정·의도·도덕적 지위 오인 유발이라는 정의가 L3 및 ANTH_001~005 허위 표상 시리즈 전체와 동연인 상위 개념 카드임(기지 복합 카드 후보)."
G_SYS_OEXT_009,부적절한 자동화 수준,G_SYS_OEXT,VAGUE,SHARPEN,"'자동화 정도가 높아 예기치 못한 동작'만으로는 관측 가능한 행위·산출물·피해가 특정되지 않아 판정 기준을 세울 수 없음."
G_SYS_OEXT_013,AI 역량의 검증 범위 초과 사용,G_SYS_OEXT,BROAD,DECOMPOSE,"'검증되지 않은 과업·조건에서 역량이 유효한 것처럼 사용'은 L3 정의의 재진술로 OEXT_001~005 허위 표상 시리즈와 005 조언 카드를 포괄함."
G_INT_COPY_002,AI 학습 데이터 및 생성물 저작권 침해,G_INT_COPY,BROAD,DECOMPOSE,"학습 데이터 침해와 생성물 침해를 통칭하여 COPY_008·010·011 등 세부 카드가 참이면 자동으로 참이 되는 상위 개념임."
