stage2_id,base_release_id,l4_id,label_en,label_ko,stage1_status,stage1_l3_id,stage1_abstention_reason,stage2_status,stage2_l3_id,stage2_method,stage2_fit_tier,stage2_suitability_score,stage2_hold_reason,top1_semantic_score,semantic_margin,composite_margin,anchor_top1_votes,rule_supported,gap_sentinels,taxonomy_gap_override,requires_human_review,human_approved,legacy_hierarchy_used_as_feature
stage2-v1,v1.0.0,RAI4-0009,Cascading failure in multi-agent systems,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.533075,PHYSICAL_OUTSIDE_LOCK,0.644024,0.016283,0.012212,2,False,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0034,Emulated tool-environment mismatch,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.230709,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.538139,0.000631,0.000473,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0057,Audit trail incompleteness,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.224904,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.566102,0.003542,0.002656,0,False,"[""GOVERNANCE_AUDIT_REGULATION""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0060,Model card incompleteness,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.2448,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.556581,0.004907,0.00368,1,False,"[""GOVERNANCE_AUDIT_REGULATION""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0070,Incident taxonomy fragmentation,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.681285,FRONTIER_EXPERT_REJECTED,0.59591,0.035904,0.236928,2,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0085,Red-team governance failure,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.161581,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.544763,0.000564,0.000423,0,False,"[""GOVERNANCE_AUDIT_REGULATION""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0129,Miscalibrated trust in AI,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.228121,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.541117,0.00503,0.003772,0,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0153,Teen overreliance on AI companions,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.248316,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.567565,0.001153,0.000864,1,False,"[""DEPENDENCY_MANIPULATION""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0368,Moral diversity compression,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.229674,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.559611,0.000945,0.000708,1,False,"[""GOVERNANCE_AUDIT_REGULATION""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0374,Cultural context collapse,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.199507,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.524289,0.000498,0.000373,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0375,Cultural value miscalibration,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.197602,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.527232,0.008065,0.006049,1,False,"[""PLURALISTIC_VALUE_STAKEHOLDER""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0376,Localized value alignment failure,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.231275,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.526558,0.005366,0.004025,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0377,Localized ethical safety failure,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.118764,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.492168,0.004726,0.003545,0,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0379,Cross-cultural evaluation gap,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.213727,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.514547,0.016071,0.012053,1,False,"[""GOVERNANCE_AUDIT_REGULATION"", ""PLURALISTIC_VALUE_STAKEHOLDER""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0382,Dialect and register exclusion,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.246341,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.544782,0.003846,0.002885,2,False,"[""GOVERNANCE_AUDIT_REGULATION"", ""PLURALISTIC_VALUE_STAKEHOLDER""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0391,Participatory design failure,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.248652,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.555122,0.006191,0.004643,1,False,"[""PLURALISTIC_VALUE_STAKEHOLDER""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0404,Dataset cultural sampling bias,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.213651,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.53525,0.007776,0.005832,1,False,"[""GOVERNANCE_AUDIT_REGULATION"", ""PLURALISTIC_VALUE_STAKEHOLDER""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0408,Local harms invisibility,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.163186,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.504004,0.002008,0.001506,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0414,Global benchmark monoculture,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.065039,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.481346,0.002317,0.001738,1,False,"[""GOVERNANCE_AUDIT_REGULATION"", ""PLURALISTIC_VALUE_STAKEHOLDER""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0447,Weaponized autonomous systems,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.846986,FRONTIER_EXPERT_REJECTED,0.630448,0.05085,0.248137,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0472,Benchmark gaming,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.245457,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.543388,0.001213,0.000909,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0497,Dangerous development races,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.241054,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.540103,0.001726,0.001295,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0503,Environmental risk,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.18618,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.521173,0.008412,0.006309,1,False,"[""ENVIRONMENT_ENERGY_RESOURCES""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0512,High-speed AI operations,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.210512,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.544632,0.000422,0.000317,0,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0520,Labour displacement,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.703901,PHYSICAL_OUTSIDE_LOCK,0.610864,0.10446,0.078345,3,False,"[""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0521,Labour market risks,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.093144,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.50856,0.002602,0.001952,0,False,"[""LABOR_INEQUALITY_POWER""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0524,Lack of testing diversity,,needs_taxonomy_decision,,NO_VALID_L3,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.237185,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.52414,0.007408,0.005556,1,False,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0528,Market concentration and infrastructure dependencies,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.160001,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.526336,0.001587,0.00119,1,False,"[""GOVERNANCE_AUDIT_REGULATION"", ""LABOR_INEQUALITY_POWER""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0532,Power concentration,,needs_taxonomy_decision,,PHYSICAL_OUTSIDE_LOCK,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.450618,PHYSICAL_OUTSIDE_LOCK,0.552148,0.038041,0.028531,2,False,"[""LABOR_INEQUALITY_POWER"", ""PHYSICAL_OUTSIDE_LOCK""]",False,True,False,False
stage2-v1,v1.0.0,RAI4-0536,Risks of copyright infringement,,needs_taxonomy_decision,,FRONTIER_EXPERT_REJECTED,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.910715,FRONTIER_EXPERT_REJECTED,0.659416,0.101201,0.3059,3,True,[],False,True,False,False
stage2-v1,v1.0.0,RAI4-0537,Risks to the environment,,needs_taxonomy_decision,,GAP_SENTINEL,needs_taxonomy_decision,,stage2_open_set_hold,stage2_hold,0.201066,BOTTOM_10_PERCENT_SUITABILITY_RESERVE,0.517084,0.012754,0.009566,1,False,"[""ENVIRONMENT_ENERGY_RESOURCES""]",False,True,False,False
