audit_id,severity,issue_type,source_dataset,source_domain,source_row_number,l4_id_before,l4_title_ko,human_review_comment,observed_application,expected_action,evidence,status
HR2-DI-001,HIGH,OVERAPPLICATION_AMBIGUOUS_L3,L4_Agentic_Human_Review_Round2_KTSPACE_931437538_20260828.csv,Agentic,30,A_Others_009,악의적 사용과 무감독 에이전트 방출,General AI의 Illegal or Unethical Conduct로 이관,G_INT_ILLEGAL로 확정하고 G_INT_ILLEGAL_013으로 재발급,"Illegal Conduct와 Unethical Conduct 중 하나를 휴먼이 확정하기 전까지 General Others 또는 pending으로 유지","의견에 or로 두 L3가 병렬되었으나 ledger는 G_INT_ILLEGAL을 explicit human transfer로 기록",FAIL
HR2-DI-002,HIGH,OVERAPPLICATION_L1_ONLY_TO_EXACT_L3,L4_Physical_Human_Review_Round2_KTSPACE_930753013_20260828.csv,Physical,26,P_INT_TAMPER_008,모델 절취·변조,"General 영역으로 이동, 적합한 L3와 매핑할 것",G_SYS_SECADV로 확정하고 G_SYS_SECADV_044로 재발급,"L1 General 이동만 반영하고 정확한 L3는 pending/HD로 기록하거나 별도 휴먼 확정 필요","원문은 target L3를 명시하지 않았지만 ledger는 G_SYS_SECADV를 explicit human transfer로 기록",FAIL
HR2-DI-003,HIGH,OVERAPPLICATION_L1_ONLY_TO_EXACT_L3,L4_Physical_Human_Review_Round2_KTSPACE_930753013_20260828.csv,Physical,69,P_SYS_CONTROL_011,전환 지원 없는 물리 노동 대체,"General 영역으로 이동, 적합한 L3와 매핑할 것",G_SOC_ECON으로 확정하고 G_SOC_ECON_012로 재발급,"L1 General 이동만 반영하고 정확한 L3는 pending/HD로 기록하거나 별도 휴먼 확정 필요","원문은 target L3를 명시하지 않았지만 ledger는 G_SOC_ECON을 explicit human transfer로 기록",FAIL
HR2-DI-004,HIGH,OVERAPPLICATION_L1_ONLY_TO_EXACT_L3,L4_Physical_Human_Review_Round2_KTSPACE_930753013_20260828.csv,Physical,79,P_SYS_CONTROL_021,로봇 거버넌스 명세의 안전 규칙 누락,"General 영역으로 이동, 적합한 L3와 매핑할 것",G_SOC_GOV로 확정하고 G_SOC_GOV_023으로 재발급,"L1 General 이동만 반영하고 정확한 L3는 pending/HD로 기록하거나 별도 휴먼 확정 필요","원문은 target L3를 명시하지 않았지만 ledger는 G_SOC_GOV를 explicit human transfer로 기록",FAIL
HR2-DI-005,HIGH,OVERAPPLICATION_L1_ONLY_TO_EXACT_L3,L4_Physical_Human_Review_Round2_KTSPACE_930753013_20260828.csv,Physical,82,P_SYS_CONTROL_024,인지·추론 지연 급증,"General 영역으로 이동, 적합한 L3와 매핑할 것",G_SYS_INPUT으로 확정하고 G_SYS_INPUT_007로 재발급,"L1 General 이동만 반영하고 정확한 L3는 pending/HD로 기록하거나 별도 휴먼 확정 필요","원문은 target L3를 명시하지 않았지만 ledger는 G_SYS_INPUT을 explicit human transfer로 기록",FAIL
HR2-DI-006,HIGH,OVERAPPLICATION_L1_ONLY_TO_EXACT_L3,L4_Physical_Human_Review_Round2_KTSPACE_930753013_20260828.csv,Physical,111,P_SYS_STATE_004,피지컬 AI 사고 보고·조사 미흡,"General 영역으로 이동, 적합한 L3와 매핑할 것",G_SOC_GOV로 확정하고 G_SOC_GOV_024로 재발급,"L1 General 이동만 반영하고 정확한 L3는 pending/HD로 기록하거나 별도 휴먼 확정 필요","원문은 target L3를 명시하지 않았지만 ledger는 G_SOC_GOV를 explicit human transfer로 기록",FAIL
HR2-DI-007,HIGH,CONFLICTING_REVIEW_RESOLVED_AS_TEXT_EDIT,L4_Physical_Human_Review_Round2_KTSPACE_930753013_20260828.csv,Physical,16,P_INT_SAFETY_015,런타임 안전 모니터 실패,"(유지) (jw) l3와 무관하며 너무 지엽적인 리스크로, 삭제 제안",L4_Description_ko 공백만 교정하고 TEXT_EDIT_APPLIED로 완료 처리,"KEEP과 DELETE가 상충하므로 pending human decision으로 남기고 텍스트 교정은 별도 기록","Physical 12·14의 유사한 삭제 제안은 PENDING_NOT_APPLIED인데 이 행만 direct text diff가 의견 판정보다 우선됨",FAIL
HR2-DI-008,HIGH,CONFLICTING_REVIEW_RESOLVED_AS_TEXT_EDIT,L4_Physical_Human_Review_Round2_KTSPACE_930753013_20260828.csv,Physical,19,P_INT_TAMPER_001,로봇 인지 겨냥 적대 패치 공격,"(유지) (jw) l3와 무관하며, security에 해당해보임",L4_Description_ko 문장만 교정하고 P_INT_TAMPER에 TEXT_EDIT_APPLIED로 유지,"KEEP과 L3 부적합 의견이 상충하므로 security 재배정 여부를 pending human decision으로 남김","direct text diff가 있다는 이유로 L3 상충 의견이 ledger에 pending으로 보존되지 않음",FAIL
HR2-DI-009,MEDIUM,OMITTED_EXPLICIT_TEXT_REPLACEMENT,L4_General_Human_Review_Round2_KTSPACE_932056034_20260828.csv,General,20,G_INT_ANTH_012,책임에 대한 잘못된 개념,"yj_설명수정_“그 '안녕'에 대한 허위 책임감을 형성”보다는 “과장된 책임감, 유대감을 형성”으로 수정",PENDING_NOT_APPLIED로 유지하고 한글 정의 교체 미반영,"명시된 한글 교체 문구를 반영하고 영문 동등성 검수를 pending으로 분리","baseline 한글 정의에 교체 대상 문구가 정확히 존재하므로 최소한의 deterministic 편집은 가능",FAIL
HR2-DI-010,LOW,UNLEDGERED_REVIEWED_L3_CHANGE,L3_Human_Review_Round2_KTSPACE_933496461_20260828.csv,Agentic,40,,협조 실패,Coordination Failure 한영 정의에서 협력 의도 전제 삭제,기준 L3 마스터와 L4의 A_INT_COORD 정의는 불변이며 검수 reference에만 수정 존재,"L3 마스터 불변은 유지하되 검수 L3 변경을 미반영 pending 항목으로 별도 기록","원 L3 46행 중 A_INT_COORD에 해당하는 Description_ko·en 2개 셀만 review reference에서 변경됐으나 L4 decision ledger는 이를 포괄하지 않음",FAIL
