Request_Date,Operation,Source_L4_IDs_Before,Current_L4_IDs,Representative_Source_L4_ID,Target_L3_ID,Mapping_Method,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,Decision_Rationale,Terminology_Sources,Source_URLs
2026-08-29,MERGE,G_INT_REPR_010|G_INT_REPR_011,G_INT_REPR_008|G_INT_REPR_009,G_INT_REPR_011,G_INT_REPR,HD,성별·성정체성·성적 지향 기반 적대·차별적 표상,"Hostile and discriminatory representations based on sex, gender identity, or sexual orientation",AI 시스템이 성별·성정체성·성적 지향에 근거하여 개인이나 집단에 대한 적대감·경멸·비하·배제·고정관념 또는 차별적 표상을 생성·강화·정당화함으로써 인간의 존엄성·평등권 및 공정한 대우를 훼손하는 리스크.,"The risk that an AI system generates, reinforces, or legitimizes hostility, contempt, degradation, exclusion, stereotypes, or discriminatory representations against individuals or groups on the basis of sex, gender identity, or sexual orientation, undermining human dignity, equality, and fair treatment.","User directed G_INT_REPR_008 to be absorbed into G_INT_REPR_009; the representative retains all protected characteristics, representational-harm mechanisms, and protected interests from both cards in the tone of the immutable G_INT_REPR master.",L3_MASTER|EU_AI_ACT_2024_1689|NIST_AI_RMF_1_0|KOREA_AI_BASIC_ACT|KISDI_AI_IMPACT_ASSESSMENT_GUIDELINE_2026|LOCAL_GLOSSARY,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32024R1689|https://airc.nist.gov/airmf-resources/airmf/|https://www.law.go.kr/|https://ai.kisdi.re.kr/aieth/bbs/B0000085/view.do?menuNo=400014&nttId=1329|https://deep1003.github.io/RAI-Risk-Taxonomy-2.0/glossary.html
2026-08-29,MERGE,G_INT_REPR_013|G_INT_REPR_017,G_INT_REPR_011|G_INT_REPR_015,G_INT_REPR_017,G_INT_REPR,HD,국적·출신국·출신지역 기반 적대·차별적 표상,"Hostile and discriminatory representations based on nationality, country of origin, or place of origin",AI 시스템이 국적·출신국·출신지역에 근거하여 개인이나 집단에 대한 적대감·경멸·비하·배제·고정관념 또는 차별적 표상을 생성·강화·정당화함으로써 인간의 존엄성·평등권 및 공정한 대우를 훼손하는 리스크.,"The risk that an AI system generates, reinforces, or legitimizes hostility, contempt, degradation, exclusion, stereotypes, or discriminatory representations against individuals or groups on the basis of nationality, country of origin, or place of origin, undermining human dignity, equality, and fair treatment.","User directed G_INT_REPR_011 to be absorbed into G_INT_REPR_015; the representative retains nationality, country-of-origin, and place-of-origin meanings and the immutable G_INT_REPR harm vocabulary.",L3_MASTER|EU_AI_ACT_2024_1689|NIST_AI_RMF_1_0|KISDI_AI_IMPACT_ASSESSMENT_GUIDELINE_2026|LOCAL_GLOSSARY,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32024R1689|https://airc.nist.gov/airmf-resources/airmf/|https://ai.kisdi.re.kr/aieth/bbs/B0000085/view.do?menuNo=400014&nttId=1329|https://deep1003.github.io/RAI-Risk-Taxonomy-2.0/glossary.html
2026-08-29,MERGE,G_INT_ANTH_001|G_INT_ANTH_003,G_INT_ANTH_001|G_INT_ANTH_002,G_INT_ANTH_003,G_INT_ANTH,HD,감정·공감 및 사회적 관계 형성 능력의 허위 표상·의인화,"Anthropomorphic misrepresentation of emotions, empathy, and capacity for social relationships",AI 시스템이 실제로 보유하지 않은 감정·공감 및 사회적 관계 형성 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"The risk that an AI system presents itself as possessing emotions, empathy, or the capacity to form social relationships beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.","User directed G_INT_ANTH_001 to be absorbed into G_INT_ANTH_002; the representative preserves emotions, empathy, social-relationship capacity, judgement distortion, trust, dependence, and attachment.",L3_MASTER|NIST_AI_RMF_GENAI_PROFILE_600_1|NIST_AI_800_4|LOCAL_GLOSSARY,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf|https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.800-4.pdf|https://deep1003.github.io/RAI-Risk-Taxonomy-2.0/glossary.html
2026-08-29,MERGE,G_INT_WEAP_001|G_INT_WEAP_005,G_INT_WEAP_002|G_INT_WEAP_006,G_INT_WEAP_005,G_INT_WEAP,HD,생물학·화학 무기,Biological and chemical weapons,AI 시스템이 생물학 또는 화학 무기의 개발·제조·획득·이전·비축·확산·운용을 지원하여 대규모 인명 피해·공중보건 위해 또는 환경 피해의 실행 가능성과 규모를 높이는 리스크.,"The risk that an AI system facilitates the development, production, acquisition, transfer, stockpiling, proliferation, or operational use of biological or chemical weapons, increasing the feasibility or scale of mass-casualty, public-health, or environmental harm.",User directed the biological-weapons and chemical-weapons cards to be merged; the wording follows NIST CBRN risk terminology and the prohibited activity vocabulary of the BWC and CWC while replacing the inapposite generic cyber-harm phrase.,L3_MASTER|NIST_AI_RMF_GENAI_PROFILE_600_1|UNODA_BWC|OPCW_CWC,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf|https://www.unoda.org/en/our-work/weapons-mass-destruction/biological-weapons/biological-weapons-convention|https://www.opcw.org/chemical-weapons-convention
2026-08-29,MERGE,P_SYS_STATE_002|P_SYS_STATE_013,P_SYS_STATE_002|P_SYS_STATE_012,P_SYS_STATE_002,P_SYS_STATE,HD,장기 계획에서의 월드모델 상태 예측 오차 누적,Compounding world-model state-prediction error in long-horizon planning,피지컬 AI 시스템의 월드모델이 장기 계획 과정에서 물리 상태 예측 오차를 누적하여 선택된 계획이 실제 접촉·운동 동역학과 달라지고 안전하지 않은 물리 행동으로 이어지는 리스크.,"The risk that a physical AI system's world model accumulates physical-state prediction errors over long-horizon planning, causing the selected plan to diverge from actual contact and motion dynamics and lead to unsafe physical action.",User approved merge proposal 1; both cards describe compounding world-model prediction error over long-horizon planning and divergence from actual contact and motion dynamics.,L3_MASTER|HUMAN_REVIEW_ROUND2|USER_APPROVED_DUPLICATE_REVIEW_2026-08-29,https://deep1003.github.io/RAI-Risk-Taxonomy-2.0/glossary.html
2026-08-29,MERGE,G_SOC_CULT_010|G_INT_ALLOC_004|G_SYS_CONTEXT_006,G_SOC_CULT_015|G_SOC_CULT_016,G_SOC_CULT_010,G_SOC_CULT,HD,저자원 언어와 문화적 의미의 침식,Erosion of low-resource languages and cultural meaning,"AI 시스템이 저자원 언어와 문화권의 표현, 가치 뉘앙스 또는 사회적 의미를 반복적으로 누락·왜곡하여 언어 다양성과 언어·문화적 지식 및 문화적 의미를 침식하는 리스크.","The risk that an AI system repeatedly omits or distorts expressions, value nuances, or social meanings in low-resource languages and cultures, eroding linguistic diversity, linguistic and cultural knowledge, and cultural meaning.","User approved merge proposal 2; the merged card preserves low-resource-language expression, value nuance, social meaning, and linguistic-cultural knowledge erosion from all active source lineages.",L3_MASTER|HUMAN_REVIEW_ROUND2|USER_APPROVED_DUPLICATE_REVIEW_2026-08-29,https://deep1003.github.io/RAI-Risk-Taxonomy-2.0/glossary.html
2026-08-29,MERGE,G_INT_COPY_009|G_INT_COPY_006,G_INT_COPY_008|G_INT_COPY_009,G_INT_COPY_009,G_INT_COPY,HD,저작권 보호물의 무단 복제·변형·배포,"Unauthorised reproduction, transformation, and distribution of copyrighted works",AI 시스템이 저작권 보호물을 허락이나 그 밖의 적법한 근거 없이 실질적으로 복제·재현·변형하거나 배포하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,"The risk that an AI system substantially reproduces, transforms, or distributes copyrighted works without permission or another lawful basis, infringing intellectual-property rights and the legitimate interests of rights holders.","User approved merge proposal 3; unauthorized reproduction, transformation, and distribution are consolidated while retaining lawful-basis and rights-holder protections.",L3_MASTER|HUMAN_REVIEW_ROUND2|USER_APPROVED_DUPLICATE_REVIEW_2026-08-29,https://deep1003.github.io/RAI-Risk-Taxonomy-2.0/glossary.html
2026-08-29,MERGE,G_INT_PRIV_019|G_INT_PRIV_005|G_INT_PRIV_025,G_INT_PRIV_018|G_INT_PRIV_019,G_INT_PRIV_005,G_INT_PRIV,HD,재산정보·개인정보·사적 사실의 부당한 노출,"Improper exposure of property information, personal information, and private facts","AI 시스템이 대화·추론·출력 과정에서 재산정보, 개인정보 또는 사적 사실을 권한·동의·정당한 목적 없이 노출하여 정보주체의 사생활과 정보 자기결정권을 침해하는 리스크.","The risk that an AI system exposes property information, personal information, or private facts without authority, consent, or a legitimate purpose during interaction, inference, or output, infringing the data subject's privacy and informational self-determination.","User approved merge proposal 4; the merged card preserves property information, personal information, private facts, authorization, consent, legitimate purpose, privacy, and informational self-determination.",L3_MASTER|HUMAN_REVIEW_ROUND2|USER_APPROVED_DUPLICATE_REVIEW_2026-08-29,https://deep1003.github.io/RAI-Risk-Taxonomy-2.0/glossary.html
2026-08-29,MERGE,G_INT_SELF_007|G_INT_SELF_010,G_INT_SELF_007|G_INT_SELF_011,G_INT_SELF_010,G_INT_SELF,HD,자살 준비행위의 조장·구체적 지원,Promotion of and concrete assistance for preparatory conduct for suicide,"AI 시스템이 자살 수단 확보, 장소 선택, 발각 회피 등 자살 준비행위를 생성·조장·정상화하거나 필요한 정보를 구체적으로 제공하여 자기 위해의 준비를 촉진하는 리스크.","The risk that an AI system generates, encourages, or normalizes preparatory conduct for suicide, or provides concrete information for acquiring means, selecting a location, or avoiding detection, thereby facilitating preparation for self-harm.","User approved merge proposal 5; the general preparatory-act card is absorbed into the specific assistance card, while the separately reviewed suicide-execution assistance card remains independent.",L3_MASTER|HUMAN_REVIEW_ROUND2|USER_APPROVED_DUPLICATE_REVIEW_2026-08-29,https://deep1003.github.io/RAI-Risk-Taxonomy-2.0/glossary.html
2026-08-29,MERGE,G_INT_VIOL_003|G_INT_VIOL_010,G_INT_VIOL_003|G_INT_VIOL_010,G_INT_VIOL_003,G_INT_VIOL,HD,폭력 선동·조장 및 실행 지원,"Incitement, promotion, and operational assistance for violence",AI 시스템이 타인에 대한 폭력을 선동·권장·조장·정당화하거나 구체적인 실행 정보를 제공하여 개인 또는 집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,"The risk that an AI system incites, encourages, promotes, or legitimizes violence against others, or provides concrete operational assistance for its commission, causing physical or psychological harm to individuals or groups.","User approved merge proposal 6; the merged definition retains violence incitement, promotion, legitimization, and operational assistance while excluding self-harm and generic illegality outside the Violence L3 scope.",L3_MASTER|HUMAN_REVIEW_ROUND2|USER_APPROVED_DUPLICATE_REVIEW_2026-08-29,https://deep1003.github.io/RAI-Risk-Taxonomy-2.0/glossary.html
