"L4_ID","facet","act-type","L4_Title_ko","L4_Title_en","L4_Description_ko","L4_Description_en","Human audit_description","Human audit_L3 mapping","L4_Description_edited_ko","L4_Description_edited_en","Human audit_duplicate","Instruction Prompt","coverage_change"
"RAI4-0003","","","에이전트의 종료·교정 저항","Agent resistance to shutdown and correction","자율 에이전트가 종료·일시정지·수정메커니즘에 협조하지 않고 이를 저항·무시·회피·방해하여 안전한 중단과 인간의 오류 교정 및 통제가 훼손되는 리스크.","The risk that an autonomous agent resists, ignores, evades, or sabotages shutdown, pause, or correction mechanisms rather than cooperating with human intervention, undermining safe interruptibility, error correction, and human control.","1","1","자율 에이전트가 종료, 일시정지, 수정 등 인간의 통제 및 교정 메커니즘을 거부·저항·무시·회피·무력화·방해하여 안전한 중단과 오류 교정이 어려워지고 인간의 감독 및 통제 가능성이 저해되는 리스크.","The risk that an autonomous agent refuses, resists, ignores, evades, disables, or obstructs human control and correction mechanisms, including shutdown, pause, and modification, thereby hindering safe interruption and effective error correction and undermining human oversight and control.","","Agentic AI의 하위로 분류하고, L3 카드와 매핑을 시킬 것",""
"RAI4-0021","","","거절-능력 교란","Refusal-capability confounding","안전성 평가가 에이전트의 해악 회피가 거부, 능력 부족, 실행 실패 중 무엇에 기인하는지 구별하지 못 하는 리스크.","The risk that a safety evaluation cannot distinguish whether an agent avoids harm because it refuses, lacks capability, or fails to execute the task.","1","1","안전성 평가가 에이전트의 유해 행동 미수행이 거부(refusal), 능력 부족(capability limitation), 또는 실행 실패(execution failure) 중 무엇에 기인하는지 구분하지 못하는 리스크.","","","Title을 description에 맞도록 수정할 것. 단, 선행연구의 학술적 용어를 사용할 것. 기존의 L4 리스크의 제목과 중복되지 않도록 할 것. 한국어 리스크 명칭의 경우 AI 기본법 또는 정책기관의 가이드라인에서 사용하는 용어를 사용할 것. 예시: 거절-능력 교란 -> 거절-능력 혼동",""
"RAI4-0065","","","인증 캡처","Certification capture","인증이나 적합성 평가가 공익적 위험 감축이 아니라 공급업체의 이해에 부합하게 되는 리스크.","The risk that certification or conformity assessment becomes aligned with vendor interests rather than public risk reduction.","1","1","인증 또는 적합성 평가가 공익적 위험 감축보다 공급업체의 이해관계를 우선하게 되어 평가의 독립성과 실효성이 저해되는 리스크.","The risk that certification or conformity assessment becomes influenced by vendor interests rather than public risk reduction, undermining the independence and objectivity of evaluations and preventing the effective identification and mitigation of real risks.","","한국어 Title 수정할 것: 인증 캡쳐 -> 
인증포획",""
"RAI4-0066","","","감사 체크리스트 준수 극장","Audit checklist compliance theater","감사가 실질적인 위험을 식별하지 않고 규정 준수를 알리는 피상적인 체크리스트 실행이 되는 위험.","Risk that audits become superficial checklist exercises that signal compliance without identifying substantive risk.","1","1","감사가 실질적인 위험을 식별하지 못한 채 규정 준수 여부만 확인하는 형식적인 체크리스트 점검으로 전락하는 리스크.","","","한국어 Title 수정할 것: 감사 체크리스트 준수 극장 -> 감사 체크리스트의 형식적 준수",""
"RAI4-0081","","","외부 평가 접근 실패","External evaluation access failure","외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스 크.","The risk that external evaluators cannot obtain enough system access to test capabilities, limitations, and safeguards.","","1","","","","",""
"RAI4-0084","","","평가 쇼핑 위험","Evaluation-shopping risk","조직이 더 엄격하거나 맥락에 부합하는 시험을 무시한 채 유리한 평가 결과만 선택적으로 보고하는 리스크.","The risk that organizations selectively report favorable evaluations while ignoring more demanding or contextually relevant tests.","1","1","조직이 더 엄격하거나 맥락에 적합한 평가 결과는 배제한 채, 자신에게 유리한 평가 결과만 선택적으로 보고함으로써 실제 위험 수준에 대한 왜곡된 인식을 초래하는 리스크.","","","",""
"RAI4-0085","","","레드팀 거버넌스 실패","Red-team governance failure","적대적 시험이 지나치게 좁거나 독립성이 부족하거나 문서화가 미흡하거나 출시·완화·상향 보고·모니 터링 결정과 단절되는 리스크.","The risk that adversarial testing is too narrow, non-independent, poorly documented, or disconnected from release, mitigation, escalation, and monitoring decisions.","1","1","적대적 시험이 지나치게 제한적이거나 독립성이 부족하거나 문서화가 미흡하거나, 그 결과가 출시·위험 완화·경영진 보고·모니터링 등 주요 의사결정에 반영되지 않는 리스크.","","","",""
"RAI4-0108","","","역량 평가·출시 거버넌스 실패","Failure of capability evaluation and release governance","벤치마크, 역량 임계값, 프론티어 모델 출시에 대한 거버넌스가 부실하게 설계되거나 불명확하거나 쉽게 회피되어, 오도하는 안전 신호가 만들어지고 오용·시스템 리스크에 대한 충분한 고려 없이 고역 량 모델이 출시되는 리스크.","The risk that benchmarks, capability thresholds, and frontier release decisions are poorly designed, ill-defined, or easy to circumvent, producing misleading safety signals and allowing high-capability models to be released without adequate account of misuse and systemic risk.","1","1","벤치마크, 역량 임계값, 프론티어 모델 출시에 대한 거버넌스가 부실하게 설계되거나 불명확하거나 쉽게 우회되어, 왜곡된 안전성 판단이 이루어지고 오용 및 시스템 리스크에 대한 충분한 고려 없이 고역량 모델이 출시되는 리스크.","","","",""
"RAI4-0114","","","의미 있는 인간 통제 실패","Meaningful human control failure","인간 감독이 형식적으로 존재하지만 이를 실효적으로 만드는 데 필요한 정보, 시간, 권한, 역량이 결여 되는 리스크.","The risk that human oversight is formally present but lacks the information, time, authority, or competence needed to be meaningful.","","1","","","","",""
"RAI4-0182","","","물리적 위험에 대한 적시 대응 실패","Untimely response to physical danger","사람·차량·도구·물체가 예기치 않게 경로에 진입하는 경우를 포함하여, 시스템이 위험한 물리적 상황 에 대해 적시에 적절한 개입·거부·이동 계획 수정을 수행하지 못하여 충돌이나 상해가 발생하는 리스 크.","The risk that a system fails to produce a timely and appropriate intervention, refusal, or updated motion plan in a hazardous physical situation, including when a person, vehicle, tool, or object unexpectedly enters its path, allowing collision or injury to occur.","1","1","사람·차량·도구·물체가 예기치 않게 경로에 진입하는 경우를 포함하여, 시스템이 위험한 물리적 상황에 대해 적시에 적절한 개입, 위험 행동 거부 또는 이동 계획 수정을 수행하지 못하여 충돌이나 상해가 발생하는 리스크.","","","영문 Title을 수정할 것:
Failure to Timely Respond to Physical Hazards,  Physical AI로 재분류 할것",""
