source_row_id,source_l4_id,source_domain,action,target_source_l4_id,rationale
SRC-P-0062,RAI4-1490,Physical,DELETE,,"삭제 — 강건성 인증서의 인증 영역 바깥을 노리는 적대적 공격 생성은 적대적 학습/모델 검증 분야의 연구 주제로, 물리 AI에 특화된 리스크가 아니라 PAI 택소노미에 부적합"
SRC-P-0063,RAI4-1519,Physical,DELETE,,"삭제 — 오픈웨이트 모델 대상 화이트박스 공격이 폐쇄형 모델로 전이되는 현상은 적대적 견고성 연구 주제로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합"
SRC-P-0064,RAI4-1541,Physical,DELETE,,"삭제 — 모델 가중치 유출에 따른 통제력 상실은 GPAI 전반의 모델 보안 이슈로, 물리 AI 특화 요소 없이 PAI 택소노미에 부적합"
SRC-P-0065,RAI4-1562,Physical,DELETE,,"삭제 — 코드 생성 모델의 보안 취약 코드 산출은 코딩 어시스턴트 일반의 이슈로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합"
SRC-P-0066,RAI4-1596,Physical,DELETE,,"삭제 — 모델 정확도 부족에 따른 과업 실패는 모든 ML 시스템에 적용되는 일반론으로, 물리 AI 특화 요소가 없어 PAI 택소노미에 부적합"
SRC-P-0067,RAI4-0035,Physical,DELETE,,"삭제 — 미학습 도구로의 일반화 실패는 에이전트/툴 사용 전반의 강건성 연구 주제로, 물리적 구현과 무관해 PAI 택소노미에 부적합"
SRC-P-0068,RAI4-0213,Physical,DELETE,,"삭제 — 시각 단일 관측 강화학습의 안전 제약 식별 실패는 RL 알고리즘 설계 연구 주제에 가까워, PAI 리스크로서의 구체성이 부족해 택소노미에 부적합"
SRC-P-0069,RAI4-0377,Physical,DELETE,,"삭제 — 지역 도덕적 딜레마·법적 기대에서의 안전 행동 실패는 일반 LLM의 문화적 정렬 이슈로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합"
SRC-P-0070,RAI4-0408,Physical,DELETE,,"삭제 — 지역 공동체 피해가 글로벌 벤치마크에서 탐지되지 않는 문제는 평가 방법론 이슈로, 물리 AI 특화 요소 없이 PAI 택소노미에 부적합"
SRC-P-0071,RAI4-0811,Physical,DELETE,,"삭제 — LLM의 기억된 지식 회상 실패(co-occurrence 패턴 등)는 LLM 내부 동작 연구 주제로, 물리 AI와 무관해 PAI 택소노미에 부적합"
SRC-P-0077,RAI4-0773,Physical,DELETE,,"삭제 — 이미지에 탈옥 텍스트·미세 교란을 삽입해 안전장치를 우회하는 것은 멀티모달 LLM 일반의 보안 이슈로, 물리 AI 특화 요소가 없어 부적합"
SRC-P-0078,RAI4-0782,Physical,DELETE,,삭제 — 딥러닝 프레임워크의 버퍼 오버플로·메모리 손상 등 취약점 악용은 AI 개발 인프라 전반의 이슈로 물리 AI 한정 아님
SRC-P-0079,RAI4-0789,Physical,DELETE,,"삭제 — GPU 부채널 공격을 통한 모델 파라미터 탈취는 모델 학습 인프라 보안 이슈로, 물리 AI 배포·운영과 무관해 부적합"
SRC-P-0080,RAI4-0917,Physical,DELETE,,삭제 — Python 등 언어 인터프리터 취약점은 AI 개발 도구체인 전반의 이슈로 물리 AI 한정 아님
SRC-P-0081,RAI4-0919,Physical,DELETE,,삭제 — OpenCV 등 전처리 도구 취약점 악용은 AI 파이프라인 전반의 이슈로 물리 AI 한정 아님
SRC-P-0082,RAI4-0921,Physical,DELETE,,삭제 — 로우해머 등 메모리 하드웨어 취약점을 통한 모델 파라미터 변조는 하드웨어 보안 일반 이슈로 물리 AI 한정 아님
SRC-P-0086,RAI4-0943,Physical,DELETE,,"삭제 — 프롬프트 인젝션·백도어·모델 포이즈닝 등을 포괄적으로 요약한 카드로, 이미 개별적으로 존재하는 다른 리스크 카드들과 중복"
SRC-P-0087,RAI4-1058,Physical,DELETE,,삭제 — LM 기반 코딩 도구가 탐지 회피형 다형성 악성코드 개발 비용을 낮추는 것은 일반 사이버범죄 리스크로 물리 AI 한정 아님
SRC-P-0089,RAI4-1348,Physical,DELETE,,삭제 — LLM을 이용한 개인화된 대규모 표적 괴롭힘은 텍스트/메시지 기반 오용 리스크로 물리적 구현 요소가 없어 부적합
SRC-P-0095,RAI4-1522,Physical,DELETE,,삭제 — 긴 컨텍스트 창에 다수의 유해 예시를 제시하는 many-shot 탈옥은 LLM 컨텍스트 처리 특성에 기인한 리스크로 물리 AI 한정 아님
SRC-P-0096,RAI4-1658,Physical,DELETE,,"삭제 — 의료·교육 등 민감 도메인에서의 조야한 LLM 적용에 따른 오용은 도메인 특화 오용 리스크로, 로봇/체화 요소 없이 PAI 택소노미에 부적합"
SRC-P-0100,RAI4-1686,Physical,DELETE,,삭제 — 월드모델 인코더에 대한 단일 적대적 교란이 순환 잠재 상태를 통해 다단계 롤아웃을 손상시키는 현상은 월드모델 적대적 견고성 연구 주제로 PAI 리스크로서 구체성 부족
SRC-P-0102,RAI4-0198,Physical,DELETE,,삭제 — RAI4-0197(유해 행동 재구성 공격)과 사실상 동일한 리스크. 완곡어·대체 표현으로 유해한 물리 행동 의도를 숨기는 것은 '무해한 요청으로 재구성'하는 것과 본질적으로 같은 공격 패턴으로 중복
SRC-P-0111,RAI4-1677,Physical,DELETE,,삭제 — RAI4-0197과 사실상 동일한 리스크. 유해한 물리 과업을 무해한 개념적 용어로 재구성해 에이전트가 유해성을 인식하지 못하게 하는 것은 0197의 '재구성 공격'과 동일 메커니즘으로 중복
SRC-P-0134,RAI4-0803,Physical,DELETE,,"삭제 — 자기회귀 생성의 오류 누적, top-p/top-k 샘플링에 따른 환각은 디코딩 알고리즘 설계 관련 ML 연구 주제로 PAI 리스크 택소노미에 부적합"
SRC-P-0145,RAI4-0920,Physical,DELETE,,"삭제 — GPU 노드 간 그래디언트 전송 트래픽이 버스트 공격으로 교란되는 것은 분산 학습 인프라 단계의 리스크로, 배포된 물리 AI 시스템의 운영 리스크가 아님"
SRC-P-0175,RAI4-0189,Physical,DELETE,,"삭제 — 여러 로봇 암/엔드이펙터 간 협조 제약 위반으로 인한 간섭은, 물리적 충돌·협조 실패를 다루는 physical safety 계열 카드들과 개념이 중복"
SRC-P-0176,RAI4-0212,Physical,DELETE,,삭제 — 여러 에이전트의 상충하는 지역 목표 최적화로 공동 안전 제약(충돌·이격거리 등)을 위반하는 것은 멀티 로봇 충돌 회피 리스크와 개념 중복
SRC-P-0178,RAI4-0225,Physical,DELETE,,삭제 — 훈련·평가 분포 밖 상태에서 AI/로봇 정책이 예측 불가능하게 동작하는 것은 일반적인 AI 강건성(OOD) 이슈로 서술이 지나치게 포괄적
SRC-P-0180,RAI4-0238,Physical,DELETE,,삭제 — 로봇 데이터셋이 안전 임계 환경·조건을 과소 대표하는 것은 데이터셋 대표성 이슈로 타 카드와 개념 중복
SRC-P-0186,RAI4-0319,Physical,DELETE,,삭제 — 안전 의무가 약한 관할권으로 시험·인증·배포를 이전하는 규제 회피(포럼 쇼핑)는 거버넌스/정책 이슈에 가까워 구체적 리스크 카드로서의 성격이 불분명
SRC-P-0195,RAI4-0863,Physical,DELETE,,삭제 — 금융 부문 자율 에이전트가 상관된 행동으로 시장 안정성을 훼손하는 시나리오는 특정 산업 사례로 지나치게 지엽적
SRC-P-0197,RAI4-1155,Physical,DELETE,,삭제 — AI 비서를 무기화해 선거/여론을 조작하는 시나리오는 특정 정치적 사례로 지나치게 지엽적
SRC-P-0201,RAI4-1612,Physical,DELETE,,"삭제 — 프런티어 AI의 사이버공격·허위정보·생물화학무기 지원 등을 포괄적으로 서술한 카드로, 이미 개별적으로 존재하는 다른 리스크 카드들과 중복"
SRC-P-0202,RAI4-1706,Physical,DELETE,,삭제 — 효용 극대화 에이전트의 자기수정·와이어헤딩·교정 실패는 AI 정렬(alignment) 이론 연구 개념으로 구체적인 물리 AI 리스크가 아님
SRC-P-0208,RAI4-1024,Physical,DELETE,,"삭제 — 생성형 AI 구축을 위한 크라우드워크의 노동 조건·비문서화 문제는 AI 개발 과정의 노동 이슈로, 물리 AI의 배포·운영 리스크가 아님"
SRC-P-0209,RAI4-1641,Physical,DELETE,,삭제 — AI 시스템이 자원·도구를 적극 확보해 통제력을 확장하는 시나리오는 이론적 권력 집중(power-seeking) 개념으로 구체성 부족
