Phase,Domain,Seed,Iterations,Final_Objective,Objective_Trace
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,General,20260826,4,0.8561081886291504,"[0.8120719194412231, 0.8560125827789307, 0.8561072945594788, 0.8561081886291504]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,General,20260827,3,0.8561011552810669,"[0.8128417730331421, 0.856004536151886, 0.8561011552810669]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,General,20260828,4,0.856103777885437,"[0.813225269317627, 0.855911135673523, 0.8560918569564819, 0.856103777885437]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,General,20260829,4,0.8561320304870605,"[0.8115552663803101, 0.8560183644294739, 0.8561316728591919, 0.8561320304870605]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,General,20260830,4,0.856116771697998,"[0.8125704526901245, 0.8560019731521606, 0.8561074137687683, 0.856116771697998]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,Agentic,20260826,3,0.8429806232452393,"[0.7909424901008606, 0.8428929448127747, 0.8429806232452393]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,Agentic,20260827,3,0.8429969549179077,"[0.7897837162017822, 0.8429179787635803, 0.8429969549179077]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,Agentic,20260828,4,0.8429969549179077,"[0.7905160784721375, 0.8428301215171814, 0.8429268002510071, 0.8429969549179077]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,Agentic,20260829,2,0.8430352807044983,"[0.7910107374191284, 0.8430352807044983]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,Agentic,20260830,3,0.8430352807044983,"[0.7916059494018555, 0.8428850769996643, 0.8430352807044983]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,Physical,20260826,4,0.798591673374176,"[0.7530099153518677, 0.7985624074935913, 0.7985841631889343, 0.798591673374176]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,Physical,20260827,3,0.7986056804656982,"[0.7512648701667786, 0.7984949350357056, 0.7986056804656982]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,Physical,20260828,3,0.798591673374176,"[0.7529897093772888, 0.7984256148338318, 0.798591673374176]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,Physical,20260829,3,0.798591673374176,"[0.7510675191879272, 0.7985701560974121, 0.798591673374176]"
POST_GROUNDING_NEAR_DUPLICATE_REVIEW,Physical,20260830,3,0.798591673374176,"[0.7533857822418213, 0.7984802722930908, 0.798591673374176]"
