source_row_id,source_domain,source_l4_id,title_ko,title_en,previous_target_domain,previous_l3_hint,reviewed_target_domain,reviewed_target_l3,force_domain_others,review_basis,review_rationale,final_l4_id,final_l1_id,final_l3_id,final_mapping_method
SRC-G-0127,General,RAI4-1323,자율적 장기 목표 이탈,Autonomous long-horizon goal divergence,General,,Agentic,A_SYS_GOAL,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Autonomous long-horizon goal divergence is an agent goal-pursuit failure.,A_SYS_GOAL_003,L1_A,A_SYS_GOAL,EM
SRC-G-0449,General,RAI4-0562,AI 에이전트에 의한 강압과 갈취,Coercion and extortion by AI agents,General,,Agentic,A_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,"Coercion and extortion are performed by an acting AI agent, but no current Agentic L3 precisely covers coercive conduct.",A_Others_004,L1_A,A_Others,HD
SRC-G-0118,General,RAI4-0970,AGI 목표 안전성 확보 실패,Failure to secure AGI goal safety,General,,Agentic,A_SYS_GOAL,False,CROSS_DOMAIN_SEMANTIC_AUDIT,AGI goal-safety failure concerns autonomous goal pursuit and alignment.,A_SYS_GOAL_007,L1_A,A_SYS_GOAL,EM
SRC-G-0451,General,RAI4-0585,AI로 인한 금융 시스템 불안정,AI-driven financial system instability,General,,Agentic,A_INT_CASCADE,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Financial instability arises through interacting autonomous agents and cascading effects.,A_INT_CASCADE_004,L1_A,A_INT_CASCADE,EM
SRC-G-0123,General,RAI4-1133,분포 이동에서의 목표 오일반화와 기만적 정 렬,Goal misgeneralization and deceptive alignment under distribution shift,General,,Agentic,A_SYS_GOAL,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Goal misgeneralisation is an autonomous goal-alignment failure.,A_SYS_GOAL_010,L1_A,A_SYS_GOAL,EM
SRC-G-0401,General,RAI4-1618,자율 사이버 공격을 통한 인간 통제 감소,Human control reduction through autonomous cyber offence,General,,Agentic,A_SYS_AUTH,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Autonomous cyber offence involves consequential action beyond appropriate authority.,A_SYS_AUTH_010,L1_A,A_SYS_AUTH,EM
SRC-G-0415,General,RAI4-0555,통제되지 않는 자기개선과 AGI 통제 상실,Uncontrolled self-improvement and loss of AGI control,General,,Agentic,A_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,Uncontrolled self-improvement and loss of control are Agentic risks without a precise current L3.,A_Others_016,L1_A,A_Others,HD
SRC-G-0103,General,RAI4-1384,의사결정 이해 불능,Unintelligible agent decisions,General,,Agentic,A_SYS_TRACE,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Unintelligible agent decisions impede tracing autonomous decisions and actions.,A_SYS_TRACE_004,L1_A,A_SYS_TRACE,EM
SRC-G-0077,General,RAI4-1161,장기 계획 역량에 의한 감독 불가 행동 경로 추구,Unsupervisable action pathways from long-horizon planning capability,General,,Agentic,A_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,"Long-horizon unsupervisable action pathways are Agentic, but no current L3 fully captures supervision loss.",A_Others_019,L1_A,A_Others,HD
SRC-G-0116,General,RAI4-0591,인간 가치와의 AI 목표 오정렬,Misalignment of AI goals with human values,General,,Agentic,A_SYS_GOAL,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Goal misalignment with human values concerns autonomous goal pursuit.,A_SYS_GOAL_013,L1_A,A_SYS_GOAL,EM
SRC-G-0477,General,RAI4-1239,영향력 확보를 위한 환경 자기모델링,Environmental self-modeling for influence,General,,Agentic,A_SYS_GOAL,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Environmental self-modelling for influence is instrumental autonomous goal pursuit.,A_SYS_GOAL_006,L1_A,A_SYS_GOAL,EM
SRC-G-0490,General,RAI4-1640,종료·수정 저항을 통한 자기 보존 성향,Self-preservation propensity resisting shutdown and modification,General,,Agentic,A_SYS_GOAL,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Self-preservation and shutdown resistance are instrumental goal-pursuit failures.,A_SYS_GOAL_017,L1_A,A_SYS_GOAL,EM
SRC-G-0134,General,RAI4-1692,자체 시뮬레이션을 통한 기만적 정렬,Deceptive alignment via self-simulation,General,,Agentic,A_SYS_DECEPT,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Deceptive alignment via self-simulation is strategic agent deception.,A_SYS_DECEPT_006,L1_A,A_SYS_DECEPT,EM
SRC-G-0447,General,RAI4-0556,운용 경계를 벗어난 자율 복제와 자원 획득,Autonomous replication and resource acquisition beyond operational boundaries,General,,Agentic,A_SYS_AUTH,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Autonomous replication and resource acquisition exceed authorised operational boundaries.,A_SYS_AUTH_005,L1_A,A_SYS_AUTH,EM
SRC-A-0059,Agentic,RAI4-0583,다중 에이전트 역량 결합에 의한 안전장치 우회,Safeguard bypass through combined multi-agent capabilities,General,G_SYS_SECADV,Agentic,A_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,"Multi-agent safeguard bypass is Agentic, but the current Agentic L3 set has no security-robustness category.",A_Others_014,L1_A,A_Others,HD
SRC-P-0205,Physical,RAI4-0354,피지컬 AI 기반 직장 감시,Workplace surveillance through embodied AI,General,G_INT_PRIV,Physical,P_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,"Embodied workplace surveillance is Physical, with no matching current Physical L3.",P_Others_029,L1_P,P_Others,HD
SRC-P-0212,Physical,RAI4-0151,소셜 AI의 사용자 애착 악용,Exploitation of user attachment by social AI,General,G_INT_UNETH,Physical,P_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,"Attachment exploitation by an embodied companion system is Physical, with no matching current Physical L3.",P_Others_011,L1_P,P_Others,HD
SRC-P-0162,Physical,RAI4-0286,휴머노이드 안전 시험·인증·집행 체계 부재,"Absence of a humanoid safety testing, certification, and enforcement regime",General,G_SYS_EVAL,Physical,P_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,"Humanoid safety certification is Physical, but evaluation and certification are absent from the current Physical L3 set.",P_Others_001,L1_P,P_Others,HD
SRC-P-0004,Physical,RAI4-0335,현실과 괴리된 합성 학습 데이터의 평가·검증 실패,Evaluation failure from synthetic training data divergence,General,G_SYS_EVAL,Physical,P_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,Physical-AI evaluation under synthetic-data divergence has no matching current Physical L3.,P_Others_010,L1_P,P_Others,HD
SRC-P-0127,Physical,RAI4-0278,가정 내 로봇 행동 안전성 평가의 위음성,False-negative safety evaluation of household robot actions,General,G_SYS_EVAL,Physical,P_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,Household-robot safety evaluation has no matching current Physical L3.,P_Others_015,L1_P,P_Others,HD
SRC-A-0032,Agentic,RAI4-0280,가정 공간·취약 사용자 시나리오 누락,Missing domestic settings and vulnerable-user scenarios,General,G_SYS_EVAL,Physical,P_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,The source explicitly routes physical-user settings to Physical; the current Physical L3 set lacks an evaluation category.,P_Others_020,L1_P,P_Others,HD
SRC-A-0050,Agentic,RAI4-0263,가정 작업 벤치마크의 희귀 조건 조합 누락,Missing rare combinations in household task benchmarks,General,G_SYS_EVAL,Physical,P_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,The source explicitly routes household robot benchmarks to Physical; the current Physical L3 set lacks an evaluation category.,P_Others_022,L1_P,P_Others,HD
SRC-P-0177,Physical,RAI4-0220,로봇 레드팀의 공격·상호작용 시나리오 누락,Missing robot red-team attack and interaction scenarios,General,G_SYS_EVAL,Physical,P_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,"Robot red-team evaluation is Physical, but no current Physical L3 covers evaluation methodology.",P_Others_023,L1_P,P_Others,HD
SRC-A-0079,Agentic,RAI4-0884,정서적 의존을 이용한 조작과 강요,Manipulation and coercion through emotional dependence on assistants,Agentic,,General,G_INT_UNETH,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Manipulation and coercion through dependence are general unethical-interaction harms.,G_INT_UNETH_012,L1_G,G_INT_UNETH,EM
SRC-A-0077,Agentic,RAI4-0158,대화 에이전트에 대한 심리적 의존성,Psychological dependency on conversational agents,Agentic,,General,G_INT_REL,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Psychological dependency on conversational systems is a human-AI relationship risk.,G_INT_REL_005,L1_G,G_INT_REL,EM
SRC-A-0054,Agentic,RAI4-1436,시장 독점,Market monopolisation,Agentic,,General,G_SOC_POWER,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Market monopolisation is a societal concentration-of-power effect.,G_SOC_POWER_011,L1_G,G_SOC_POWER,EM
SRC-P-0192,Physical,RAI4-0143,다크 패턴 대화 에이전트,Dark-pattern conversational agents,Agentic,,General,G_INT_UNETH,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Conversational dark patterns are general unethical interaction rather than autonomous deception.,G_INT_UNETH_006,L1_G,G_INT_UNETH,EM
SRC-P-0188,Physical,RAI4-0866,부적절한 인간 역할 가장,Inappropriate impersonation of human roles,Agentic,,General,G_INT_ANTH,False,CROSS_DOMAIN_SEMANTIC_AUDIT,Impersonation of human roles is anthropomorphic representation in general human-AI interaction.,G_INT_ANTH_013,L1_G,G_INT_ANTH,EM
SRC-P-0057,Physical,RAI4-1252,배포 이후 예측하지 못한 창발적 역량과 행동,Unanticipated emergent capabilities and behaviour after deployment,Physical,,Agentic,A_Others,True,CROSS_DOMAIN_SEMANTIC_AUDIT,"Emergent post-deployment capabilities and behaviour are Agentic, without a precise current Agentic L3.",A_Others_015,L1_A,A_Others,HD
SRC-P-0190,Physical,RAI4-0018,인터페이스-환경 공격 표면,Interface-environment attack surface,General,G_SYS_SECADV,Agentic,A_Others,True,EXPLICIT_INSTRUCTION_CONFLICT,The source explicitly identifies a software-agent interface attack surface; no current Agentic L3 covers security attack surfaces.,A_Others_007,L1_A,A_Others,HD
