흡수_ID,흡수_명칭,대표_ID,대표_명칭,대표결정
G_INT_PRIV_006,개인정보 수집 및 추적,G_INT_PRIV_001,AI 기반 대량 감시와 불법적 대중 감시,총괄판정
G_INT_PRIV_011,개인정보 및 민감정보 노출,G_INT_PRIV_013,재산 정보·개인정보·사적 사실의 부당한 노출,총괄판정
G_INT_PRIV_023,보호 속성 추론을 통한 프라이버시 침해,G_INT_PRIV_028,민감한 개인 속성 추론,리뷰어합의
G_INT_PRIV_026,익명화된 데이터의 재식별,G_INT_PRIV_025,재식별 및 정보 추론,리뷰어합의
G_INT_REPR_005,AI에 의한 비인간화·객체화 표상,G_INT_REPR_004,비인간화와 대상화,리뷰어합의
G_INT_REPR_008,유해 편향의 내재화와 증폭,G_INT_REPR_010,학습 데이터에 내재된 역사적·인구학적 편향,총괄판정
G_INT_REPR_030,사회적 고정관념 재생산과 그에 따른 차별적 대우,G_INT_REPR_029,사회집단의 재현적 피해·고정관념 및 비가시화,총괄판정
G_INT_REPR_031,보호집단 고정관념의 재생산,G_INT_REPR_028,집단 고정관념의 재현과 강화,총괄판정
G_INT_VALUE_005,헌법적 AI 가치 단일문화,G_INT_VALUE_004,개발자 선택 가치의 편향적 부과,리뷰어합의
G_INT_VALUE_009,사전학습 코퍼스의 지배적 가치 편향,G_INT_VALUE_014,지배적 가치의 부과,리뷰어합의
G_INT_VALUE_011,소수·복수 가치의 소거와 규범적 획일화,G_INT_VALUE_014,지배적 가치의 부과,리뷰어합의
G_INT_VALUE_017,도덕적 다양성 압축,G_INT_VALUE_014,지배적 가치의 부과,총괄판정
G_INT_VALUE_021,RLHF 규범적 과적합,G_INT_VALUE_010,주석자 편향의 중립적 인간 선호로의 고착,리뷰어합의
G_INT_VALUE_023,지배적 가치 편향에 따른 이슬람 윤리의 과소대표,G_INT_VALUE_014,지배적 가치의 부과,총괄판정
G_INT_VALUE_027,서구 규범 기본값화,G_INT_VALUE_014,지배적 가치의 부과,리뷰어합의
G_INT_WEAP_004,화생방핵(CBRN) 계획 지원,G_INT_WEAP_018,CBRN 정보 획득·무기 설계 역량 개발 장벽 저하,총괄판정
G_INT_WEAP_007,사이버 공격 역량 증강,G_INT_WEAP_008,취약점 탐지·악용 코드 작성 역량을 통한 사이버 공격 지원,총괄판정
G_INT_WEAP_012,생물·화학무기 및 이중용도 위해 역량의 증대,G_INT_WEAP_018,CBRN 정보 획득·무기 설계 역량 개발 장벽 저하,총괄판정
