l4_id,stage1_status,stage1_l3_id,stage2_status,stage2_l3_id,changed
RAI4-0001,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-06,True
RAI4-0002,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0003,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0004,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0005,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-02,True
RAI4-0006,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-02,True
RAI4-0007,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-03,True
RAI4-0008,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-03,True
RAI4-0009,needs_taxonomy_decision,,needs_taxonomy_decision,,False
RAI4-0010,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0011,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-03,True
RAI4-0012,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0013,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0014,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-06,True
RAI4-0015,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0016,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0017,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-06,True
RAI4-0018,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-04,True
RAI4-0019,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0020,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0021,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-05,True
RAI4-0022,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-07,True
RAI4-0023,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-03,True
RAI4-0024,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-02,True
RAI4-0025,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-07,True
RAI4-0026,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0027,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0028,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0029,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-11,True
RAI4-0030,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0031,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-05,True
RAI4-0032,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0033,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0034,needs_taxonomy_decision,,needs_taxonomy_decision,,False
RAI4-0035,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0036,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-02,True
RAI4-0037,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0038,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0039,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0040,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-05,True
RAI4-0041,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-05,True
RAI4-0042,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-04,True
RAI4-0043,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0044,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-06,True
RAI4-0045,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0046,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-02,True
RAI4-0047,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0048,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-06,True
RAI4-0049,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-03,True
RAI4-0050,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-01,True
RAI4-0051,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0052,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-02,True
RAI4-0053,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0054,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0055,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-09,True
RAI4-0056,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-10,True
RAI4-0057,needs_taxonomy_decision,,needs_taxonomy_decision,,False
RAI4-0058,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-02,True
RAI4-0059,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-11,True
RAI4-0060,needs_taxonomy_decision,,needs_taxonomy_decision,,False
RAI4-0061,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-08,True
RAI4-0062,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-INT-11,True
RAI4-0063,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-06,True
RAI4-0064,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-A-SYS-06,True
RAI4-0065,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-08,True
RAI4-0066,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-07,True
RAI4-0067,needs_taxonomy_decision,,algorithm_proposed_stage2,RAI3-G-SYS-07,True
