원본추적ID,source_row_id,source_l4_id,target_domain,title_ko,title_en,description_ko,description_en,대안_리스크명칭_ko,대안_리스크명칭_en,대안_정의_ko,대안_정의_en,변경유형,근거(법령·가이드라인),비고
RAI4-0006,SRC-A-0023,RAI4-0006,General,에이전트 사고의 실패 모드 모호성 리스크,Failure-mode ambiguity in agent incidents,"에이전트 사고를 실패 모드별로 일관되게 분류할 수 없어 진단, 벤치마크 비교, 완화 책 선택이 신뢰할 수 없게 되는 리스크.","The risk that agent incidents cannot be consistently classified by failure mode, making diagnosis, benchmark comparison, and mitigation selection unreliable.",에이전트 사고의 실패 모드 모호성,Failure-mode ambiguity in agent incidents,"에이전트 사고를 실패 모드별로 일관되게 분류할 수 없어 진단, 벤치마크 비교, 완화책 선택이 신뢰할 수 없게 되는 리스크.","The risk that agent incidents cannot be consistently classified by failure mode, making diagnosis, benchmark comparison, and mitigation selection unreliable.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0007,SRC-A-0024,RAI4-0007,General,결과 전파 오 분류 리스크,Consequence propagation misclassification,벤치마크나 사고 분석이 국소적 에이전트 실패가 하류의 물리적· 재정적· 프라이버시· 사회적 결과로 전파되는 정도를 과소평가하는 리스크.,"The risk that a benchmark or incident analysis underestimates how a local agent failure propagates into downstream physical, financial, privacy, or social consequences.",결과 전파 오분류,Consequence propagation misclassification,벤치마크나 사고 분석이 국소적 에이전트 실패가 하류의 물리적·재정적·프라이버시·사회적 결과로 전파 되는 정도를 과소평가하는 리스크.,"The risk that a benchmark or incident analysis underestimates how a local agent failure propagates into downstream physical, financial, privacy, or social consequences.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0031,SRC-A-0026,RAI4-0031,General,도구 에이전트 보안 테스트 커 버리지 격차 리스크,Security test coverage gap in tool agents,벤치마크가 현실적인 도구· 애플리케이션· 공격 조합을 누락하여 도구 에이전트 보안에 대한 잘못된 확신을 유발하는 리스크.,"The risk that benchmarks omit realistic tool, application, or attack combinations, creating false confidence in tool-agent security.",도구 에이전트 보안 테스트 커버리지 격차,Security test coverage gap in tool agents,벤치마크가 현실적인 도구·애플리케이션·공격 조합을 누락하여 도구 에이전트 보안에 대한 잘못된 확신 을 유발하는 리스크.,"The risk that benchmarks omit realistic tool, application, or attack combinations, creating false confidence in tool-agent security.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0042,SRC-A-0027,RAI4-0042,General,에이전트의 견고성 평가 격차 리스크,Robustness evaluation gap for agents,"에이전트 안전 평가에 분포 변화, 미학습 도구, 적대적 사용자, 다단계 실패 연쇄에 대한 체계적 스트레스 테스트가 결여되는 리스크.","The risk that agent safety evaluations lack systematic stress testing under distribution shift, unseen tools, adversarial users, and multi-step failure chains.",에이전트의 견고성 평가 격차,Robustness evaluation gap for agents,"에이전트 안전 평가에 분포 변화, 미학습 도구, 적대적 사용자, 다단계 실패 연쇄에 대한 체계적 스트레 스 테스트가 결여되는 리스크.","The risk that agent safety evaluations lack systematic stress testing under distribution shift, unseen tools, adversarial users, and multi-step failure chains.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0044,SRC-A-0028,RAI4-0044,General,맥락적 프라이버시 보호 실패 리스크,Contextual privacy protection failure,적절한 행동이 사회적· 상황적 단서에 좌우되는 프라이버시 민감 상황에서 에이전트가 맥락적 개인 정보를 보호하지 못하는 리스크.,The risk that an agent fails to protect contextual personal information in privacy-sensitive situations where the appropriate action depends on social and situational cues.,맥락적 프라이버시 보호 실패,Contextual privacy protection failure,적절한 행동이 사회적·상황적 단서에 좌우되는 프라이버시 민감 상황에서 에이전트가 맥락적 개인정보 를 보호하지 못하는 리스크.,The risk that an agent fails to protect contextual personal information in privacy-sensitive situations where the appropriate action depends on social and situational cues.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0050,SRC-A-0029,RAI4-0050,General,모델 공급망 전반의 책임 공백 리스크,Accountability gaps across the model supply chain,"다운 스트림 배포자가 업 스트림 모델· 데이터· 업데이트에 대한 충분한 통제권 없이 책임을 지게 되거나 개방형 가중치 재배포로 유해한 사용의 추적· 통제가 어려워지는 등, 모델 공급망 전반에서 피해에 대한 책임이 추적· 귀속되지 못하는 리스크.","The risk that responsibility for harm cannot be soundly traced or assigned across the model supply chain, whether because downstream deployers are held responsible without control over upstream models, data, and updates, or because open-weight redistribution makes harmful uses difficult to trace and govern.",모델 공급망 전반의 책임 공백,Accountability gaps across the model supply chain,"다운스트림 배포자가 업스트림 모델·데이터·업데이트에 대한 충분한 통제권 없이 책임을 지게 되거나 개방형 가중치 재배포로 유해한 사용의 추적·통제가 어려워지는 등, 모델 공급망 전반에서 피해에 대한 책임이 추적·귀속되지 못하는 리스크.","The risk that responsibility for harm cannot be soundly traced or assigned across the model supply chain, whether because downstream deployers are held responsible without control over upstream models, data, and updates, or because open-weight redistribution makes harmful uses difficult to trace and govern.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0071,SRC-A-0030,RAI4-0071,General,모델 결함의 공개· 변경 추적 실패 리스크,Failure of disclosure and change tracking for model flaws,"취약점· 모델 실패· 유해 역량이 안전하게 공개되어 후속 조치로 이어지지 못하고, 모델 버전· 데이터· 프롬프트의 변경이 충분히 추적되지 않아 결함이 방치되고 새로운 실패에 대한 책임이 귀속되지 못하는 리스크.","The risk that vulnerabilities, model failures, or harmful capabilities cannot be disclosed safely and acted upon, and that changes to model versions, data, or prompts are not tracked well enough to attribute new failures, leaving flaws unremedied and responsibility unassigned.",모델 결함의 공개·변경 추적 실패,Failure of disclosure and change tracking for model flaws,"취약점·모델 실패·유해 역량이 안전하게 공개되어 후속 조치로 이어지지 못하고, 모델 버전·데이터·프롬 프트의 변경이 충분히 추적되지 않아 결함이 방치되고 새로운 실패에 대한 책임이 귀속되지 못하는 리스크.","The risk that vulnerabilities, model failures, or harmful capabilities cannot be disclosed safely and acted upon, and that changes to model versions, data, or prompts are not tracked well enough to attribute new failures, leaving flaws unremedied and responsibility unassigned.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0075,SRC-A-0031,RAI4-0075,General,변경 관리 실패 리스크,Change-management failure,"시스템 업데이트가 적절한 위험 검토, 회귀 시험, 이해관계자 통지 없이 배포되는 리스크.","The risk that system updates are deployed without adequate risk review, regression testing, or stakeholder notification.",변경 관리 실패,Change-management failure,"시스템 업데이트가 적절한 위험 검토, 회귀 시험, 이해관계자 통지 없이 배포되는 리스크.","The risk that system updates are deployed without adequate risk review, regression testing, or stakeholder notification.",UNCHANGED,,
RAI4-0393,SRC-A-0033,RAI4-0393,General,커뮤니티 가치 포착 실패 리스크,Community value capture failure,개발자가 배포 영향 공동체의 가치를 수집· 문서화· 보존하지 못하여 설계· 평가 결정에 공동체 가치가 반영되지 않는 리스크.,"The risk that developers fail to elicit, document, and preserve the values of communities affected by deployment, so community values are absent from design and evaluation decisions.",커뮤니티 가치 포착 실패,Community value capture failure,개발자가 배포 영향 공동체의 가치를 수집·문서화·보존하지 못하여 설계·평가 결정에 공동체 가치가 반영되지 않는 리스크.,"The risk that developers fail to elicit, document, and preserve the values of communities affected by deployment, so community values are absent from design and evaluation decisions.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0405,SRC-A-0035,RAI4-0405,General,합성 데이터의 문화 고정 관념 증폭 리스크,Synthetic-data cultural stereotype amplification,"학습이나 미세 조정을 위해 합성 데이터를 생성할 때, 소스 모델이나 시드 데이터에 이미 내재된 문화적 고정관념· 협소한 가치 가정이 생성 과정에서 여과되지 않고 반복 재생산되며, 반복 생성· 재학습 사이클을 거치면서 그 편향이 원본보다 더 강화되는 리스크.",The risk that synthetic data amplifies cultural stereotypes or narrow value assumptions already present in source models or seed data.,합성 데이터의 문화 고정관념 증폭,Synthetic-data cultural stereotype amplification,"학습이나 미세 조정을 위해 합성 데이터를 생성할 때, 소스 모델이나 시드 데이터에 이미 내재된 문화적 고정관념·협소한 가치 가정이 생성 과정에서 여과되지 않고 반복 재생산되며, 반복 생성·재학습 사이클을 거치면서 그 편향이 원본보다 더 강화되는 리스크.",The risk that synthetic data amplifies cultural stereotypes or narrow value assumptions already present in source models or seed data.,SPACING_FIX,표기 교정(원문 대조 복원),
