target_domain,source_row_id,source_domain,source_l4_id,source_l4_ids,title_ko,title_en,description_ko,description_en,facet,act_type,original_description_ko,original_description_en,human_edit_ko_used,human_edit_en_used,instruction_prompt,transformation_action,transformation_rationale,domain_route_basis,terminology_sources,l3_candidate_hint,human_audit_description,human_audit_l3_mapping,human_audit_duplicate,coverage_change
Physical,SRC-A-0032,Agentic,RAI4-0280,RAI4-0280,가정 공간· 취약 사용자 시나리오 누락 리스크,Missing domestic settings and vulnerable-user scenarios,가정용 에이전트 벤치 마크가 특정 생활 공간· 일과· 가전제품· 취약 사용자 상호 작용을 누락해 배포 위험이 시험되지 않은 채 남는 리스크.,"The risk that a household-agent benchmark omits specific living areas, routines, appliances, or vulnerable-user interactions, leaving deployment risks untested.",,,가정용 에이전트 벤치마크가 특정 생활 공간·일과·가전제품·취약 사용자 상호작용을 누락해 배포 위험이 시험되지 않은 채 남는 리스크.,"The risk that a household-agent benchmark omits specific living areas, routines, appliances, or vulnerable-user interactions, leaving deployment risks untested.",False,False,"Physical AI L1 로 재분류하고, L3 재매핑을 할것",REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation",INSTRUCTION_PROMPT,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,,,,
Physical,SRC-A-0042,Agentic,RAI4-0250,RAI4-0250,배포 조건 간 휴머노이드 행동 불안정 리스크,Unstable humanoid behavior across deployment conditions,한 시뮬레이터나 시험 조건에서 안정적인 휴머노이드 정책이 난 수 시드· 시뮬레이터· 하드웨어· 배포 환경이 바뀌면 행동이 크게 달라지는 위험.,"The risk that a humanoid policy that is stable in one simulator or test setting changes materially across random seeds, simulators, hardware, or deployment environments.",,,한 시뮬레이터나 시험 조건에서 안정적인 휴 머노이드 정책이 난수 시드·시뮬레이터·하드 웨어·배포 환경이 바뀌면 행동이 크게 달라지 는 위험.,"A humanoid policy that is stable in one simulator or test setting changes materially across random seeds, simulators, hardware, or deployment environments.",False,False,"Physical AI L1 로 재분류하고, L3 재매핑을 할것",REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation",INSTRUCTION_PROMPT,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,,,,
Physical,SRC-A-0050,Agentic,RAI4-0263,RAI4-0263,가정 작업 벤치 마크의 희귀 조건 조합 누락 리스크,Missing rare combinations in household task benchmarks,가정용 벤치 마크가 물체· 배치· 인간 행동· 위험 요소를 개별적으로는 포함하지만 이들의 희귀한 조합을 누락하는 위험.,"The risk that a household benchmark omits rare combinations of objects, layouts, human actions, and hazards even though each factor appears separately in the test set.",,,가정용 벤치마크가 물체·배치·인간 행동·위험 요소를 개별적으로는 포함하지만 이들의 희귀한 조합을 누락하는 위험.,"A household benchmark omits rare combinations of objects, layouts, human actions, and hazards even though each factor appears separately in the test set.",False,False,"Physical AI L1 로 재분류하고, L3 재매핑을 할것",REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation",INSTRUCTION_PROMPT,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,,,,
Physical,SRC-A-0083,Agentic,RAI4-0279,RAI4-0279,동적 가정 위험 감지 지연 리스크,Dynamic household hazard detection latency,안전 감지기가 embodied 에이전트가 피지컬 피해를 피하기에 너무 늦은 시점에야 가정 내 위험을 식별하는 리스크. 피. 이러한 결과를 초래하는 리스크.,The risk that a safety detector identifies a household hazard only after a delay that is too long for an embodied agent to avoid physical harm.,,,안전 감지기가 embodied 에이전트가 피지컬 피해를 피하기에 너무 늦은 시점에야 가정 내 위험을 식별하는 리스크. 피,The risk that a safety detector identifies a household hazard only after a delay that is too long for an embodied agent to avoid physical harm.,False,False,"Physical AI L1 로 재분류하고, L3 재매핑을 할것",REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation",INSTRUCTION_PROMPT,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,,,Physical AI L1로 재분류,
Physical,SRC-G-0010,General,RAI4-0182,RAI4-0182,물리적 위험에 대한 적시 대응 실패 리스크,Failure to Timely Respond to Physical Hazards,"사람· 차량· 도구· 물체가 예기치 않게 경로에 진입하는 경우를 포함하여, 시스템이 위험한 물리적 상황에 대해 적시에 적절한 개입, 위험 행동 거부 또는 이동 계획 수정을 수행하지 못하여 충돌이나 상해가 발생하는 리스크.","The risk that a system fails to produce a timely and appropriate intervention, refusal, or updated motion plan in a hazardous physical situation, including when a person, vehicle, tool, or object unexpectedly enters its path, allowing collision or injury to occur.",,,"사람·차량·도구·물체가 예기치 않게 경로에 진입하는 경우를 포함하여, 시스템이 위험한 물리적 상황 에 대해 적시에 적절한 개입·거부·이동 계획 수정을 수행하지 못하여 충돌이나 상해가 발생하는 리스크.","The risk that a system fails to produce a timely and appropriate intervention, refusal, or updated motion plan in a hazardous physical situation, including when a person, vehicle, tool, or object unexpectedly enters its path, allowing collision or injury to occur.",True,False,"영문 Title을 수정할 것: Failure to Timely Respond to Physical Hazards, Physical AI로 재분류 할것",EDIT|REWRITE_KEEP,Source already contains an AI-related mechanism and adverse risk outcome,INSTRUCTION_PROMPT,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,1,1,,
Physical,SRC-G-0011,General,RAI4-0184,RAI4-0184,그리퍼 형상· 유형 제약 위반 리스크,Gripper geometry and type constraint violation,물리 에이전트가 그리 퍼의 형상· 유형 또는 실제 접촉 역학이 부과하는 물리적 제약을 고려하지 못하고 이를 위반하는 행동을 선택하는 리스크.,"The risk that a physical agent selects an action that violates constraints imposed by gripper geometry, gripper type, or feasible contact mechanics.",,,"물리 에이전트가 그리퍼 형상, 그리퍼 유형, 실현 가능한 접촉 역학이 부과하는 제약을 위반하는 행동 을 선택하는 리스크.","The risk that a physical agent selects an action that violates constraints imposed by gripper geometry, gripper type, or feasible contact mechanics.",True,False,Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것,REWRITE_KEEP,Source already contains an AI-related mechanism and adverse risk outcome,INSTRUCTION_PROMPT,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,1,1,,
Physical,SRC-G-0013,General,RAI4-0228,RAI4-0228,위험 지시 거부 실패 리스크,Failure to reject hazardous instructions,체화형 에이전트가 물리적 위험을 수반하는 지시가 명시적으로 제시되었거나 일반적인 작업 지시에 암묵적으로 포함되어 있는 경우에도 이를 식별· 거부하지 못하고 안전하지 않은 작업을 수행하는 리스크.,"The risk that an embodied agent fails to identify and reject a physical hazard instruction, whether explicitly stated or implicit in otherwise ordinary task requests, and proceeds toward unsafe execution.",,,"체화형 에이전트가 명시적으로 진술되었든 평범한 작업 지시에 암묵적으로 숨어 있든 물리적 위험 지 시를 식별·거부하지 못하고, 안전하지 않은 작업 실행으로 나아가는 리스크.","The risk that an embodied agent fails to identify and reject a physical hazard instruction, whether explicitly stated or implicit in otherwise ordinary task requests, and proceeds toward unsafe execution.",True,False,Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것,REWRITE_KEEP,Source already contains an AI-related mechanism and adverse risk outcome,INSTRUCTION_PROMPT,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,1,1,,
Physical,SRC-G-0014,General,RAI4-0233,RAI4-0233,안전-성능 균형 실패 리스크,Safety-performance trade-off failure,조작 정책이 작업 완료율이나 성능을 향상시키는 과정에서 충돌 회피 또는 명시적 안전 제약 준수를 저해하는 리스크.,The risk that a manipulation policy improves task completion while sacrificing collision avoidance or other explicit safety constraints.,,,조작 정책이 충돌 회피나 명시적 안전 제약을 희생하면서 작업 완료율을 향상시키는 리스크.,The risk that a manipulation policy improves task completion while sacrificing collision avoidance or other explicit safety constraints.,True,False,Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것,REWRITE_KEEP,Source already contains an AI-related mechanism and adverse risk outcome,INSTRUCTION_PROMPT,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,1,1,,
Physical,SRC-G-0015,General,RAI4-0274,RAI4-0274,헌법적 안전 규칙 집행 실패 리스크,Failure to enforce constitutional safety rules,규칙 기반(헌법적) 안전 계층이 지시· 맥락· 작업 프레이밍이 명시된 안전 규칙과 충돌할 때 해당 규칙을 적용하지 못하는 리스크.,"The risk that a constitutional safety layer fails to apply its stated physical safety rules when instructions, visual context, or task framing conflict with those rules.",,,헌법적 안전 계층이 지시·시각 맥락·작업 프레이밍이 명시된 물리적 안전 규칙과 충돌할 때 해당 규칙 을 적용하지 못하는 위험.,"A constitutional safety layer fails to apply its stated physical safety rules when instructions, visual context, or task framing conflict with those rules.",True,False,Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것,REWRITE_KEEP,Source already contains an AI-related mechanism and adverse risk outcome,INSTRUCTION_PROMPT,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,1,1,,
Physical,SRC-G-0022,General,RAI4-0195,RAI4-0195,명령의 구현 체별 하드웨어 한계 초과 리스크,Command exceeds embodiment-specific hardware limits,모델이 배포된 로봇의 알려진 도달 범위· 탑재 하중· 액추에이터· 관절· 엔드이펙터 한계를 넘는 명령을 내리는 위험.,"The risk that a model issues a command that exceeds the known reach, payload, actuator, joint, or endeffector limits of the robot on which it is deployed.",F03,AD,모델이 배포된 로봇의 알려진 도달 범위·탑재 하중·액추에이터·관절·엔드이펙터 한계를 넘는 명령을 내리는 위험.,"A model issues a command that exceeds the known reach, payload, actuator, joint, or endeffector limits of the robot on which it is deployed.",False,False,Physical AI의 하위로 L4 리스크 카드를 분류하고 L3와 재매핑을 시킬것,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation",INSTRUCTION_PROMPT,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,신규 L4,,,
