source_row_id,source_l4_id,source_domain,peer_review_change_type,decision,title_ko_before,title_ko_after,title_en_before,title_en_after,description_ko_before,description_ko_after,description_en_before,description_en_after,review_note
SRC-G-0001,RAI4-0003,General,SPACING_FIX,ACCEPT,에이전트의 종료· 교정 저항 리스크,에이전트의 종료·교정 저항,Agent resistance to shutdown and correction,Agent resistance to shutdown and correction,"자율 에이전트가 종료, 일시 정지, 수정 등 인간의 통제 및 교정 메커니즘을 거부· 저항· 무시· 회피· 무력화· 방해하여 안전한 중단과 오류 교정이 어려워지고 인간의 감독 및 통제 가능성이 저해되는 리스크.","자율 에이전트가 종료, 일시정지, 수정 등 인간의 통제 및 교정 메커니즘을 거부·저항·무시·회피·무력화·방해하여 안전한 중단과 오류 교정이 어려워지고 인간의 감독 및 통제 가능성이 저해되는 리스크.","The risk that an autonomous agent refuses, resists, ignores, evades, disables, or obstructs human control and correction mechanisms, including shutdown, pause, and modification, thereby hindering safe interruption and effective error correction and undermining human oversight and control.","The risk that an autonomous agent refuses, resists, ignores, evades, disables, or obstructs human control and correction mechanisms, including shutdown, pause, and modification, thereby hindering safe interruption and effective error correction and undermining human oversight and control.",
SRC-G-0002,RAI4-0021,General,SPACING_FIX,ACCEPT,거절-능력 혼동 리스크,거절-능력 혼동,Refusal-capability confusion,Refusal-capability confusion,"안전성 평가가 에이전트의 유해 행동 미 수행이 거부(refusal), 능력 부족(capability limitation), 또는 실행 실패(execution failure) 중 무엇에 기인하는지 구분하지 못하는 리스크.","안전성 평가가 에이전트의 유해 행동 미수행이 거부(refusal), 능력 부족(capability limitation), 또는 실행 실패(execution failure) 중 무엇에 기인하는지 구분하지 못하는 리스크.","The risk that a safety evaluation cannot distinguish whether an agent avoids harm because it refuses, lacks capability, or fails to execute the task.","The risk that a safety evaluation cannot distinguish whether an agent avoids harm because it refuses, lacks capability, or fails to execute the task.",
SRC-G-0003,RAI4-0065,General,UNCHANGED,ACCEPT,인증 포획 리스크,인증 포획,Certification capture,Certification capture,인증 또는 적합성 평가가 공익적 위험 감축보다 공급업체의 이해관계를 우선하게 되어 평가의 독립성과 실효성이 저해되는 리스크.,인증 또는 적합성 평가가 공익적 위험 감축보다 공급업체의 이해관계를 우선하게 되어 평가의 독립성과 실효성이 저해되는 리스크.,"The risk that certification or conformity assessment becomes influenced by vendor interests rather than public risk reduction, undermining the independence and objectivity of evaluations and preventing the effective identification and mitigation of real risks.","The risk that certification or conformity assessment becomes influenced by vendor interests rather than public risk reduction, undermining the independence and objectivity of evaluations and preventing the effective identification and mitigation of real risks.",
SRC-G-0004,RAI4-0066,General,SPACING_FIX,ACCEPT,감사 체크 리스트의 형식적 준수 리스크,감사 체크리스트의 형식적 준수,Formalistic audit-checklist compliance,Formalistic audit-checklist compliance,감사가 실질적인 위험을 식별하지 못한 채 규정 준수 여부만 확인하는 형식적인 체크 리스트 점검으로 전락하는 리스크.,감사가 실질적인 위험을 식별하지 못한 채 규정 준수 여부만 확인하는 형식적인 체크리스트 점검으로 전락하는 리스크.,The risk that audits become superficial checklist exercises that signal compliance without identifying substantive risk.,The risk that audits become superficial checklist exercises that signal compliance without identifying substantive risk.,
SRC-G-0005,RAI4-0081,General,UNCHANGED,ACCEPT,외부 평가 접근 실패 리스크,외부 평가 접근 실패,External evaluation access failure,External evaluation access failure,"외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스크.","외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스크.","The risk that external evaluators cannot obtain enough system access to test capabilities, limitations, and safeguards.","The risk that external evaluators cannot obtain enough system access to test capabilities, limitations, and safeguards.",
SRC-G-0006,RAI4-0084,General,UNCHANGED,ACCEPT,평가 쇼핑 위험,평가 쇼핑,Evaluation-shopping risk,Evaluation-shopping risk,"조직이 더 엄격하거나 맥락에 적합한 평가 결과는 배제한 채, 자신에게 유리한 평가 결과만 선택적으로 보고함으로써 실제 위험 수준에 대한 왜곡된 인식을 초래하는 리스크.","조직이 더 엄격하거나 맥락에 적합한 평가 결과는 배제한 채, 자신에게 유리한 평가 결과만 선택적으로 보고함으로써 실제 위험 수준에 대한 왜곡된 인식을 초래하는 리스크.",The risk that organizations selectively report favorable evaluations while ignoring more demanding or contextually relevant tests.,The risk that organizations selectively report favorable evaluations while ignoring more demanding or contextually relevant tests.,
SRC-G-0007,RAI4-0085,General,SPACING_FIX,ACCEPT,레드 팀 거버넌스 실패 리스크,레드팀 거버넌스 실패,Red-team governance failure,Red-team governance failure,"적대적 시험이 지나치게 제한적이거나 독립성이 부족하거나 문서화가 미흡하거나, 그 결과가 출시· 위험 완화· 경영진 보고· 모니터링 등 주요 의사 결정에 반영되지 않는 리스크.","적대적 시험이 지나치게 제한적이거나 독립성이 부족하거나 문서화가 미흡하거나, 그 결과가 출시·위험 완화·경영진 보고·모니터링 등 주요 의사결정에 반영되지 않는 리스크.","The risk that adversarial testing is too narrow, non-independent, poorly documented, or disconnected from release, mitigation, escalation, and monitoring decisions.","The risk that adversarial testing is too narrow, non-independent, poorly documented, or disconnected from release, mitigation, escalation, and monitoring decisions.",
SRC-G-0008,RAI4-0108,General,SPACING_FIX,ACCEPT,역량 평가· 출시 거버넌스 실패 리스크,역량 평가·출시 거버넌스 실패,Failure of capability evaluation and release governance,Failure of capability evaluation and release governance,"벤치마크, 역량임계값, 프론티어 모델 출시에 대한 거버넌스가 부실하게 설계되거나 불명확하거나 쉽게 우회되어, 왜곡된 안전성 판단이 이루어지고 오용 및 시스템 리스크에 대한 충분한 고려 없이 고역량 모델이 출시되는 리스크.","벤치마크, 역량 임계값, 프론티어 모델 출시에 대한 거버넌스가 부실하게 설계되거나 불명확하거나 쉽게 우회되어, 왜곡된 안전성 판단이 이루어지고 오용 및 시스템 리스크에 대한 충분한 고려 없이 고역량 모델이 출시되는 리스크.","The risk that benchmarks, capability thresholds, and frontier release decisions are poorly designed, ill-defined, or easy to circumvent, producing misleading safety signals and allowing high-capability models to be released without adequate account of misuse and systemic risk.","The risk that benchmarks, capability thresholds, and frontier release decisions are poorly designed, ill-defined, or easy to circumvent, producing misleading safety signals and allowing high-capability models to be released without adequate account of misuse and systemic risk.",
SRC-G-0009,RAI4-0114,General,SPACING_FIX,ACCEPT,의미 있는 인간 통제 실패 리스크,의미 있는 인간 통제 실패,Meaningful human control failure,Meaningful human control failure,"인간 감독이 형식적으로 존재하지만 이를 실효적으로 만드는 데 필요한 정보, 시간, 권한, 역량이 결여되는 리스크.","인간 감독이 형식적으로 존재하지만 이를 실효적으로 만드는 데 필요한 정보, 시간, 권한, 역량이 결여 되는 리스크.","The risk that human oversight is formally present but lacks the information, time, authority, or competence needed to be meaningful.","The risk that human oversight is formally present but lacks the information, time, authority, or competence needed to be meaningful.",
SRC-G-0010,RAI4-0182,General,SPACING_FIX,ACCEPT,물리적 위험에 대한 적시 대응 실패 리스크,물리적 위험에 대한 적시 대응 실패,Failure to Timely Respond to Physical Hazards,Failure to Timely Respond to Physical Hazards,"사람· 차량· 도구· 물체가 예기치 않게 경로에 진입하는 경우를 포함하여, 시스템이 위험한 물리적 상황에 대해 적시에 적절한 개입, 위험 행동 거부 또는 이동 계획 수정을 수행하지 못하여 충돌이나 상해가 발생하는 리스크.","사람·차량·도구·물체가 예기치 않게 경로에 진입하는 경우를 포함하여, 시스템이 위험한 물리적 상황에 대해 적시에 적절한 개입, 위험 행동 거부 또는 이동 계획 수정을 수행하지 못하여 충돌이나 상해가 발생하는 리스크.","The risk that a system fails to produce a timely and appropriate intervention, refusal, or updated motion plan in a hazardous physical situation, including when a person, vehicle, tool, or object unexpectedly enters its path, allowing collision or injury to occur.","The risk that a system fails to produce a timely and appropriate intervention, refusal, or updated motion plan in a hazardous physical situation, including when a person, vehicle, tool, or object unexpectedly enters its path, allowing collision or injury to occur.",
