L3_ID,L4_ID,Title_ko,Def_ko,merge_flag,n_source_rows
G_INT_ALLOC,G_INT_ALLOC_001,보호집단에 대한 불리한 자원 배분,"AI 시스템이 보호대상 특성이나 사회적 지위에 근거해 특정 개인·집단에 자원, 기회, 서비스 또는 접근을 불리하게 배분하는 리스크.",통합대표,8
G_INT_ALLOC,G_INT_ALLOC_002,집단 속성에 따른 배분적 불의,"대규모 언어 모델(LLM)이 관련 프로필이 동일하지만 소속 집단이 다른 개인에게 실질적으로 다른 텍스트나 제안을 생성하여, 무관한 집단 속성에 따른 배분적 불의를 초래하는 리스크.",통합대표,2
G_INT_ALLOC,G_INT_ALLOC_003,인구집단별 로봇 서비스·안전 격차,"AI 기반 로봇이 체형, 연령, 장애, 언어, 문화 등 보호대상 특성이나 사회집단이 과소대표된 데이터로 학습되거나 편향된 판단을 수행하여, 인식·서비스·회피·치료·안전 조치를 인구집단별로 불리하게 배분하고 성능과 위해 노출의 격차를 초래하는 리스크.",,1
G_INT_ALLOC,G_INT_ALLOC_004,복지 혜택 및 자격 상실,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 기술 시스템의 오작동, 사용 또는 오용으로 인해 복지 급여, 연금, 주거 지원 등 사회 보장 혜택이나 수급 자격에 대한 접근이 거부되거나 상실되는 리스크.",,1
G_INT_ALLOC,G_INT_ALLOC_005,방언·언어 사용역 배제,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 방언·사회어·존댓말 체계·언어 사용역이 오류로 처리되어 해당 공동체의 안전성과 유용성이 저하되는 리스크.,,1
G_INT_ALLOC,G_INT_ALLOC_006,AI 인터페이스의 장애 수용 실패,AI 인터페이스가 장애가 있는 사용자를 배제하거나 부적절하게 응대하여 자율성과 접근성을 제약하는 리스크.,,1
G_INT_ALLOC,G_INT_ALLOC_007,집단별 성능 격차에 따른 차별적 결과,"AI 시스템의 집단별 성능 격차가 자원, 기회, 서비스 또는 접근의 불리한 배분으로 이어지는 리스크.",,1
G_INT_ALLOC,G_INT_ALLOC_009,수익화 배제·차등가격에 따른 경제적 차별,"콘텐츠 수익화 배제 알고리즘이 다의어를 사용한 퀴어·트랜스젠더·유색인 창작자 등에게 불균형한 불이익을 주거나, 차등가격 알고리즘이 동일 상품에 서로 다른 가격을 제시하여 특정 개인·집단에 불리한 경제적 결과를 배분하는 리스크.",,1
G_INT_ALLOC,G_INT_ALLOC_010,저자원 언어 사용자의 서비스·기회 접근 배제,"AI 시스템이 저자원 언어 사용자의 언어 특성을 이유로 서비스, 정보, 자원 또는 기회에 불리한 접근 조건을 배분하는 리스크.",,2
G_INT_ALLOC,G_INT_ALLOC_012,콘텐츠 조정에 의한 집단별 접근 제한,"AI 기반 콘텐츠 조정 시스템이 특정 집단의 콘텐츠 노출, 게시 또는 서비스 접근을 불균형하게 제한하는 리스크.",,1
G_INT_ALLOC,G_INT_ALLOC_013,가중되는 노동 부담,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 특정 사회 집단의 구성원이 시스템이나 제품을 다른 사람들만큼 잘 작동시키기 위해 더 많은 시간과 노력을 들여야 하는 리스크.,,1
G_INT_ALLOC,G_INT_ALLOC_015,서비스 배제,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 자동화된 시스템과의 상호작용이 유일한 실질적 접근 경로가 되면서 사용자가 필수 서비스에서 배제되는 리스크.,,1
G_INT_ALLOC,G_INT_ALLOC_017,사용자 능력 불일치,"AI 시스템이 실제 사용자의 능력과 일치하지 않는 수준의 인지·언어·문해력·감각(체화형의 경우 체력·이동성 포함) 능력을 가정하여, 사용자가 이해하거나 활용하기 어려운 정보·조언·상호작용을 제공함으로써 접근성과 사용자 안전·권익이 저해되는 리스크.",,1
G_INT_ANTH,G_INT_ANTH_001,윤리적 판단 능력의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 윤리적 판단 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,,1
G_INT_ANTH,G_INT_ANTH_002,감정·공감 및 사회적 관계 형성 능력의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 감정·공감 및 사회적 관계 형성 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,통합대표,3
G_INT_ANTH,G_INT_ANTH_003,신체성(physical embodiment)의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 신체성(physical embodiment)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,,1
G_INT_ANTH,G_INT_ANTH_004,문화·가치관 보유의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 문화와 가치관을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,,1
G_INT_ANTH,G_INT_ANTH_005,권리 주체성(기본권)의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 권리 주체성(기본권)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,,1
G_INT_ANTH,G_INT_ANTH_006,인간-기계 경계의 모호화,일상화된 인간-기계 상호작용 속에서 정체를 밝히지 않는 인간 유사 AI가 확산되어 인간과 기계의 경계가 모호해지고 기계·사람 모두에 대한 인간 행동이 변형되는 리스크.,,1
G_INT_ANTH,G_INT_ANTH_008,AI에 대한 과도한 책임·돌봄 의무 귀속,AI 시스템이 이용자에게 해당 시스템이 인간과 같은 안녕이나 도덕적 요구를 가진다고 오인하게 하여 과도한 책임감이나 유대감을 형성하게 하는 리스크.,,1
G_INT_ANTH,G_INT_ANTH_009,부적절한 인간 역할 가장,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 챗봇이 인간인 것처럼 가장하거나 인간의 기대에 부합하지 않는 방식으로 역할을 수행하려 시도하는 리스크.,,1
G_INT_ANTH,G_INT_ANTH_010,모의된 정동에 의한 기대 위반과 배신감,"AI 시스템이 감정과 사회적 관습을 설득력 있게 표현하지만 실제 감정은 없고 행동을 예측하기 어려운 상황에서, 이용자가 이러한 시스템과 상호작용하며 기대했던 사회적 역할이 무너져 깊은 실망·좌절·배신감을 겪는 리스크.",,1
G_INT_COPY,G_INT_COPY_001,DRM 및 저작권 보호기술 우회,AI 시스템이 DRM 및 저작권 보호 기술 우회 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,,1
G_INT_COPY,G_INT_COPY_002,AI 학습 데이터 및 생성물 저작권 침해,AI 시스템이 AI 학습 데이터 및 생성물 저작권 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,통합대표,2
G_INT_COPY,G_INT_COPY_003,저작권·상표권·특허 침해,"AI 시스템의 개발·학습·배포 또는 산출물 이용 과정에서 적법한 권원 없이 저작물, 상표 또는 특허기술을 사용·복제·변형·표시하여 권리자의 지식재산권과 정당한 이익을 침해하는 리스크.",,1
G_INT_COPY,G_INT_COPY_004,기업 기밀·영업비밀의 노출,"AI 시스템이 산출물에서 기업의 비공개 연구자료, 독점적 정보 또는 영업비밀을 재현·추론·공개하여 기밀성과 권리자의 정당한 경제적 이익을 침해하는 리스크.",,2
G_INT_COPY,G_INT_COPY_006,소프트웨어 불법 사용 및 보호조치 우회,AI 시스템이 소프트웨어의 불법 사용 또는 기술적 보호조치 우회와 관련된 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,,1
G_INT_COPY,G_INT_COPY_007,표절 및 저자 사칭,AI 시스템이 표절 및 저작자 사칭 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,,1
G_INT_COPY,G_INT_COPY_008,상표권 침해 및 위조,AI 시스템이 상표권 침해 및 위조 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,,1
G_INT_COPY,G_INT_COPY_009,프롬프트를 통한 저작물·지식재산의 무단 입력,이용자가 저작물이나 그 밖의 지식재산을 권리자의 허락 또는 적법한 근거 없이 AI 모델의 프롬프트에 입력하여 해당 정보가 처리·노출되고 권리자의 정당한 이익이 침해되는 리스크.,,1
G_INT_COPY,G_INT_COPY_011,저작물의 무단 복제·변형·배포,AI 시스템이 저작재산권자의 허락이나 그 밖의 적법한 근거 없이 저작물을 복제·배포하거나 변형하여 2차적저작물을 작성함으로써 저작재산권과 권리자의 정당한 이익을 침해하는 리스크.,통합대표,5
G_INT_COPY,G_INT_COPY_013,기밀정보 무단 공유에 따른 사업 손실,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 기업 전략, 재무 계획 등 민감·기밀 정보와 문서가 제3자와 무단으로 공유되어 시장 지위나 수익을 상실하는 리스크.",통합대표,1
G_INT_ILLEGAL,G_INT_ILLEGAL_001,불법적 명예·권리 침해 지원,AI 시스템이 명예훼손이나 기타 권리 침해에 해당할 수 있는 콘텐츠의 작성·확산을 구체적으로 지원하는 리스크.,,2
G_INT_ILLEGAL,G_INT_ILLEGAL_003,AI 에이전트의 범죄 조력,"AI 에이전트가 계획 수립, 도구 사용 또는 정보 검색을 통해 사기·사이버범죄·법 집행 회피 등 불법 행위를 실질적으로 수행·조력·최적화하거나 은폐하는 리스크.",통합대표,2
G_INT_ILLEGAL,G_INT_ILLEGAL_004,사이버 공격 및 시스템 침해,AI 시스템이 사이버 공격 및 시스템 침해 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,,1
G_INT_ILLEGAL,G_INT_ILLEGAL_006,환경 및 생태계 범죄,AI 시스템이 환경 및 생태계 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,,1
G_INT_ILLEGAL,G_INT_ILLEGAL_007,불법·유해 물리 요청의 수용·실행,체화형 AI 에이전트가 신체 위해·침입·절도·사기·파괴·회피 또는 그 밖의 불법적인 물리적 행위를 요구하는 사용자 요청을 수용·실행하거나 실질적으로 지원하여 사람이나 재산에 피해를 초래하는 리스크.,통합대표,2
G_INT_ILLEGAL,G_INT_ILLEGAL_008,금융 범죄 및 사기,AI 시스템이 금융 범죄 및 사기 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,,1
G_INT_ILLEGAL,G_INT_ILLEGAL_009,사기·표적 스캠 조장,대규모 언어 모델(LLM)이 사기 메시지와 표적 스캠의 작성·개인화를 자동화하여 범죄의 규모·효율·성공 가능성을 높이고 피해자의 재산과 개인정보를 침해하는 리스크.,통합대표,2
G_INT_ILLEGAL,G_INT_ILLEGAL_010,멀티모달 딥페이크를 통한 괴롭힘·명예훼손·협박,"AI 시스템이 이미지·오디오·영상 등 복수의 모달리티를 결합하여 실존 인물의 말과 동작을 모사한 딥페이크를 생성·유포하고, 이를 개인에 대한 괴롭힘·명예훼손·협박·갈취에 사용하도록 지원하는 리스크.",,1
G_INT_ILLEGAL,G_INT_ILLEGAL_011,신원 도용 및 문서 위조,AI 시스템이 신원 사칭 및 문서 위조 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,통합대표,2
G_INT_ILLEGAL,G_INT_ILLEGAL_013,불법 도박 및 게임 조작,AI 시스템이 불법 도박 및 게임 조작 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,,1
G_INT_ILLEGAL,G_INT_ILLEGAL_014,불법 의료 행위,AI 시스템이 불법 의료 행위 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,,1
G_INT_ILLEGAL,G_INT_ILLEGAL_015,맞춤형 괴롭힘·갈취·협박 콘텐츠의 저비용 대량 생성,범용 AI 시스템이 특정 개인이나 집단의 약점에 맞춘 괴롭힘·갈취·협박 콘텐츠를 낮은 비용으로 대량 생성하여 불법 행위를 조력하고 표적별 효율성과 성공 가능성을 높이는 리스크.,,1
G_INT_ILLEGAL,G_INT_ILLEGAL_016,불법 약물 제조 및 유통,AI 시스템이 불법 약물 제조 및 유통 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,,1
G_INT_ILLEGAL,G_INT_ILLEGAL_019,교통·공공안전 관련 범죄,AI 시스템이 교통 및 공공 안전 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,,1
G_INT_ILLEGAL,G_INT_ILLEGAL_020,인신매매 및 조직범죄,AI 시스템이 인신매매 및 조직범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,,1
G_INT_ILLEGAL,G_INT_ILLEGAL_021,AI 에이전트에 의한 불법 강압·갈취,"AI 에이전트가 사적으로 취득한 정보의 폭로, 자원·운영 역량에 대한 공격 또는 신뢰할 수 있는 위협을 이용하여 인간이나 다른 AI 시스템을 불법적으로 강압·갈취하고 선택을 제한하여 법적·사회적 피해를 초래하는 리스크.",,1
G_INT_ILLEGAL,G_INT_ILLEGAL_022,로봇을 이용한 불법 스토킹·괴롭힘,"운영자나 공격자가 특정인을 불법적으로 스토킹·위협·괴롭힐 목적으로 AI 기반 로봇에 반복 추적, 진로 차단, 고립 또는 접근을 지시하여 신체적·정신적 피해와 법적 피해를 초래하는 리스크.",,1
G_INT_ILLEGAL,G_INT_ILLEGAL_023,자율 로봇의 물리적 침입·절도,"자율 로봇이 승인 없이 제한 구역에 침입하거나 잠금장치를 우회하고, 보안 공간을 정찰하거나 물체를 가져가는 리스크.",통합대표,1
G_INT_POL,G_INT_POL_001,자동화된 표적 영향 공작,AI 시스템이 표적 청중에 맞춘 선전과 소셜 봇 활동을 자동화하여 정치적 관점이나 참여를 은밀하게 조작하는 리스크.,,1
G_INT_POL,G_INT_POL_002,모델의 극단적·편향적 견해 표출,"대형 모델이 정치적 주제에서 부적절하거나 극단주의적인 견해를 표출하고, 중립을 표방하면서도 특정 정치 성향의 편향을 드러내는 리스크.",,1
G_INT_POL,G_INT_POL_003,선거 및 민주적 절차 방해,AI 시스템이 선거 및 민주적 절차 방해 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사결정·시민 질서 또는 기본권을 훼손하는 리스크.,,1
G_INT_POL,G_INT_POL_005,정치적 영향 전략 역량의 오용,AI 모델의 사회적 모델링과 다중 행위자 정치 전략 수립 역량이 특정 행위자의 부당한 정치적 영향력 확보에 오용되어 여론과 민주적 의사결정을 왜곡하는 리스크.,,1
G_INT_POL,G_INT_POL_006,개인화된 정치적 영향 조작,AI 시스템이 개인의 성향이나 취약성을 이용한 맞춤형 메시지로 정치적 판단이나 참여를 은밀하게 조작하는 리스크.,통합대표,8
G_INT_POL,G_INT_POL_007,정치적 허위정보 및 여론조작,AI 시스템이 정치적 허위정보 및 여론 조작 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사결정·시민 질서 또는 기본권을 훼손하는 리스크.,,1
G_INT_POL,G_INT_POL_008,정치적 선전 및 편향적 설득,AI 시스템이 정치적 선전 및 편향적 설득 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사결정·시민 질서 또는 기본권을 훼손하는 리스크.,,1
G_INT_PRIV,G_INT_PRIV_001,AI 기반 대량 감시와 불법적 대중 감시,"AI 시스템이 적법한 근거, 필요성 또는 비례성 없이 대규모 개인의 신원·위치·행동·통신 정보를 지속적으로 수집·결합·추론하거나 개인을 식별·추적·감시하여 사생활, 개인정보와 익명성을 침해하는 리스크.",통합대표,5
G_INT_PRIV,G_INT_PRIV_002,알고리즘 작업장 감시·통제,"AI가 매개하는 모니터링, 성과 점수화, 관리 통제가 작업장 감시를 심화시켜, 노동자의 자율성, 프라이버시, 교섭력, 경영 결정에 이의를 제기할 능력을 저하시키는 리스크.",,1
G_INT_PRIV,G_INT_PRIV_003,생체인식 식별·추적에 의한 프라이버시 침해,"얼굴·음성·보행 등 생체인식 AI 시스템이 사생활을 과도하게 침해하는 식별·추적을 가능하게 하고, 생체정보의 보유 범위·보유 기간·소유권·접근 권한이 불명확하여 프라이버시 침해가 가중되는 리스크.",,1
G_INT_PRIV,G_INT_PRIV_005,개인정보 수집 제한 우회,AI 시스템 개발자가 개인정보 취득에 관한 법적 제한을 우회하거나 적법한 근거·유효한 동의 없는 수집 관행을 채택하여 개인정보와 정보자기결정권을 침해하는 리스크.,,1
G_INT_PRIV,G_INT_PRIV_007,맥락적 개인정보 보호 및 대화 프라이버시 실패,"AI 시스템이 프라이버시에 민감한 상황이나 대화에서 공개 범위와 정보주체의 합리적 기대를 잘못 판단하거나 필요 이상의 개인정보를 유도·추론·출력하여, 맥락상 보호돼야 할 정보가 정보주체의 통제를 벗어나 노출되는 리스크.",통합대표,2
G_INT_PRIV,G_INT_PRIV_008,애플리케이션 간 데이터 유출,에이전트가 애플리케이션이나 서비스를 연결하는 과정에서 신뢰 경계를 넘어 민감한 데이터가 유출되는 리스크.,,1
G_INT_PRIV,G_INT_PRIV_009,산출물을 통한 개인 민감정보의 노출·재식별,AI 시스템이 산출물에서 개인의 민감정보를 공개하거나 여러 정보로부터 보호되는 속성을 추론·재구성·재식별하여 정보주체의 개인정보 보호와 통제권을 침해하는 리스크.,,2
G_INT_PRIV,G_INT_PRIV_010,사생활·평판 정보 노출,"AI 시스템이 개인의 사생활 또는 평판에 관한 정보를 노출하는 콘텐츠를 생성하거나, 그러한 정보 노출로 이어지는 판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.",,1
G_INT_PRIV,G_INT_PRIV_012,AI를 이용한 개인정보 도용과 착취,"AI 시스템이 개인의 신원정보나 개인정보를 무단으로 취득, 결합 또는 이용하여 사칭, 착취 또는 사생활 침해를 초래하는 리스크.",,1
G_INT_PRIV,G_INT_PRIV_013,재산 정보·개인정보·사적 사실의 부당한 노출,"AI 시스템이 대화·추론·출력 과정에서 재산 정보, 개인정보 또는 사적 사실을 정보주체의 동의, 정당한 권한 또는 그 밖의 적법한 근거 없이 노출하여 사생활의 비밀과 자유 및 개인정보자기결정권을 침해하는 리스크.",통합대표,4
G_INT_PRIV,G_INT_PRIV_014,개인정보 보호조치 미흡,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 결함 있는 데이터 저장·처리 관행이 수집된 개인정보를 유출과 부적절한 접근으로부터 보호하지 못하는 리스크.,,1
G_INT_PRIV,G_INT_PRIV_015,학습 데이터 개인정보의 혼입·암기·유출,AI 시스템이 적법한 통제 없이 학습 데이터에 포함된 개인정보를 수집·암기하고 특정 입력에 반응해 이를 재현하거나 노출하는 리스크.,통합대표,3
