Phase,Domain,Seed,Iterations,Final_Objective,Objective_Trace
FINAL_POST_GROUNDING,General,20260826,4,0.853192925453186,"[0.8091185092926025, 0.8530967235565186, 0.8531920313835144, 0.853192925453186]"
FINAL_POST_GROUNDING,General,20260827,3,0.8531894683837891,"[0.8098994493484497, 0.8530920743942261, 0.8531894683837891]"
FINAL_POST_GROUNDING,General,20260828,4,0.8531934022903442,"[0.8102848529815674, 0.8529993295669556, 0.8531814217567444, 0.8531934022903442]"
FINAL_POST_GROUNDING,General,20260829,4,0.8532229065895081,"[0.808601438999176, 0.8531075716018677, 0.8532224893569946, 0.8532229065895081]"
FINAL_POST_GROUNDING,General,20260830,4,0.8532068133354187,"[0.8096256852149963, 0.8530912399291992, 0.853197455406189, 0.8532068133354187]"
FINAL_POST_GROUNDING,Agentic,20260826,3,0.8429806232452393,"[0.7909424901008606, 0.8428929448127747, 0.8429806232452393]"
FINAL_POST_GROUNDING,Agentic,20260827,3,0.8429969549179077,"[0.7897837162017822, 0.8429179787635803, 0.8429969549179077]"
FINAL_POST_GROUNDING,Agentic,20260828,4,0.8429969549179077,"[0.7905160784721375, 0.8428301215171814, 0.8429268002510071, 0.8429969549179077]"
FINAL_POST_GROUNDING,Agentic,20260829,2,0.8430352807044983,"[0.7910107374191284, 0.8430352807044983]"
FINAL_POST_GROUNDING,Agentic,20260830,3,0.8430352807044983,"[0.7916059494018555, 0.8428850769996643, 0.8430352807044983]"
FINAL_POST_GROUNDING,Physical,20260826,4,0.798591673374176,"[0.7530099153518677, 0.7985624074935913, 0.7985841631889343, 0.798591673374176]"
FINAL_POST_GROUNDING,Physical,20260827,3,0.7986056804656982,"[0.7512648701667786, 0.7984949350357056, 0.7986056804656982]"
FINAL_POST_GROUNDING,Physical,20260828,3,0.798591673374176,"[0.7529897093772888, 0.7984256148338318, 0.798591673374176]"
FINAL_POST_GROUNDING,Physical,20260829,3,0.798591673374176,"[0.7510675191879272, 0.7985701560974121, 0.798591673374176]"
FINAL_POST_GROUNDING,Physical,20260830,3,0.798591673374176,"[0.7533857822418213, 0.7984802722930908, 0.798591673374176]"
