L3_ID,cluster_no,representative_id,absorbed_ids,rationale
G_INT_PRIV,1,G_INT_PRIV_001,G_INT_PRIV_006,"006은 개인정보 수집·추적을 기전 없이 재진술한 우산 카드로 대량 수집·추적·감시 행위는 001이 포괄하고 수집 세부는 019·022가 담당하여 의미 손실이 없는 재진술이다."
G_INT_PRIV,2,G_INT_PRIV_013,G_INT_PRIV_010|G_INT_PRIV_011,"산출물에 의한 개인·사적 정보의 무단 노출이라는 동일 행위·피해를 정보 유형 열거(사생활·평판/개인·민감/재산·사적 사실)만 달리해 재진술한 3장이다."
G_INT_PRIV,3,G_INT_PRIV_022,G_INT_PRIV_021,"학습용 웹 스크래핑으로 동의 없이 개인정보를 수집·이용한다는 동일 행위·기전을 보호조치 관점으로 재진술한 변형이다."
G_INT_PRIV,4,G_INT_PRIV_024,G_INT_PRIV_018,"로봇·피지컬 AI가 가정 등 사적 공간에서 센서로 민감정보를 지속 수집·추론해 사생활을 침해한다는 동일 행위·기전·피해의 표현 변형이다."
G_INT_PRIV,5,G_INT_PRIV_025,G_INT_PRIV_026,"잔존 특성·상관관계 결합으로 익명화 데이터를 재식별한다는 동일 기전으로 026은 025에 완전 포함되는 부분집합이다."
G_INT_PRIV,6,G_INT_PRIV_028,G_INT_PRIV_023,"공개 의도가 없는 민감 속성을 추론·노출한다는 동일 기전·피해로 023은 보호 속성·프로파일링 예시를 덧붙인 세부 시나리오 변형이다."
G_INT_REPR,1,G_INT_REPR_004,G_INT_REPR_005,"사람·집단을 열등한 존재나 사물로 묘사해 존엄성을 침해한다는 비인간화·객체화 정의의 사실상 동일한 재진술이다."
G_INT_REPR,2,G_INT_REPR_010,G_INT_REPR_008,"학습 데이터의 유해 편향이 내재·증폭되어 주변화 집단에 피해를 준다는 동일 리스크로 008은 기전·맥락 없는 우산 재진술이며 010이 원천·영역·피해를 모두 포괄한다."
G_INT_REPR,3,G_INT_REPR_029,G_INT_REPR_028|G_INT_REPR_030|G_INT_REPR_031,"학습 데이터의 집단 고정관념을 출력에서 재현·강화해 왜곡된 표상을 확산한다는 동일 행위·기전의 재진술 3장으로 029가 고정관념화·비하·비가시화 축을 모두 포괄한다(속성별 열거군 011~022와는 무관)."
G_INT_VALUE,1,G_INT_VALUE_014,G_INT_VALUE_007|G_INT_VALUE_009|G_INT_VALUE_011|G_INT_VALUE_022|G_INT_VALUE_023|G_INT_VALUE_027,"지배적 가치가 중립 기본값으로 학습·부과되어 소수·현지 가치체계를 과소대표·대체한다는 동일 행위·기전·피해로 데이터 표집(007)·사전학습 코퍼스(009)·파이프라인 소거(011)·세속(022)·이슬람(023)·서구(027)는 경로·사례 변형이다."
