Register_ID,판정,원인코드,원인분석
HR2-0002,APPLIED,,
HR2-0004,APPLIED,,
HR2-0005,APPLIED,,
HR2-0007,APPLIED,,
HR2-0009,APPLIED,,
HR2-0012,APPLIED,,
HR2-0016,APPLIED,,
HR2-0017,APPLIED,,
HR2-0019,APPLIED,,
HR2-0021,APPLIED,,
HR2-0027,APPLIED,,
HR2-0042,APPLIED,,
HR2-0044,APPLIED,,
HR2-0050,APPLIED,,
HR2-0051,APPLIED,,
HR2-0053,APPLIED,,
HR2-0056,APPLIED,,
HR2-0057,APPLIED,,
HR2-0063,APPLIED,,
HR2-0066,APPLIED,,
HR2-0070,APPLIED,,
HR2-0072,APPLIED,,
HR2-0075,APPLIED,,
HR2-0082,APPLIED,,
HR2-0084,APPLIED,,
HR2-0104,APPLIED,,
HR2-0117,APPLIED,,
HR2-0130,APPLIED,,
HR2-0133,APPLIED,,
HR2-0142,APPLIED,,
HR2-0143,APPLIED,,
HR2-0144,APPLIED,,
HR2-0145,APPLIED,,
HR2-0146,APPLIED,,
HR2-0151,APPLIED,,
HR2-0179,APPLIED,,
HR2-0192,APPLIED,,
HR2-0225,APPLIED,,
HR2-0229,APPLIED,,
HR2-0273,APPLIED,,
HR2-0283,APPLIED,,
HR2-0284,APPLIED,,
HR2-0285,APPLIED,,
HR2-0317,APPLIED,,
HR2-0340,NOT_APPLIED,IGNORED,"성능·신뢰성 실패(Performance and Reliability Failure)로 이관하라는 지시였으나 최종 처분이 DELETE로 처리되어 카드 자체가 소멸, 계보가 단절됨(AC07 MECE 큐레이션 제거 대상으로 처리 추정)."
HR2-0355,APPLIED,,
HR2-0356,APPLIED,,
HR2-0357,APPLIED,,
HR2-0361,APPLIED,,
HR2-0362,APPLIED,,
HR2-0434,APPLIED,,
HR2-0436,APPLIED,,
HR2-0439,APPLIED,,
HR2-0443,APPLIED,,
HR2-0444,APPLIED,,
HR2-0459,APPLIED,,
HR2-0483,PARTIAL,PARTIAL_SCOPE,의견은 Value Imposition·비일관성·Allocative Discrimination·Representational Harm 4축 혼재를 지적했으나 최종본은 VALUE_010(주석자 편향 고착)과 INCONS_001(피드백 비일관성) 2축만 반영하고 배분적 차별·표상 왜곡 축은 별도 카드로 분해되지 않음.
HR2-0484,APPLIED,,
HR2-0485,APPLIED,,
HR2-0486,APPLIED,,
HR2-0488,APPLIED,,
HR2-0489,APPLIED,,
HR2-0490,APPLIED,,
HR2-0491,APPLIED,,
HR2-0492,APPLIED,,
HR2-0493,APPLIED,,
HR2-0494,APPLIED,,
HR2-0495,APPLIED,,
HR2-0496,APPLIED,,
HR2-0497,APPLIED,,
HR2-0498,APPLIED,,
HR2-0500,APPLIED,,
HR2-0501,APPLIED,,
HR2-0503,APPLIED,,
HR2-0509,PARTIAL,PARTIAL_SCOPE,Misinformation(허위정보)과 illegal conduct(명예훼손 등 불법행위) 혼재를 분해하라는 의견이었으나 최종본은 G_SYS_MISINFO_012(개인 대상 허위정보) 한 축만 남고 명예훼손·권리침해 축(illegal conduct)은 별도 카드로 분리되지 않아 미처리.
HR2-0510,APPLIED,,
HR2-0522,APPLIED,,
HR2-0523,APPLIED,,
HR2-0527,APPLIED,,
HR2-0529,APPLIED,,
HR2-0532,APPLIED,,
HR2-0533,APPLIED,,
HR2-0535,APPLIED,,
HR2-0536,APPLIED,,
HR2-0537,APPLIED,,
HR2-0538,APPLIED,,
HR2-0541,APPLIED,,
HR2-0542,APPLIED,,
HR2-0571,APPLIED,,
HR2-0600,PARTIAL,CONFLICT,"A_INT_CASCADE_001~003 정의 유사성에 대한 병합 필요성 검토 요청이었으나, 동일 문구가 적용된 COLLUSION 계열(001/002)은 실제 병합된 반면 CASCADE 계열은 병합되지 않고 AC07 이후 오히려 004·007까지 카드가 증가해 검토가 이행된 근거가 없음."
HR2-0601,PARTIAL,CONFLICT,"위 HR2-0600과 동일한 CASCADE 계열 병합 검토 요청이 반영되지 않고 A_INT_CASCADE_003으로 별도 존속, 검토 이행 근거 부재."
HR2-0602,PARTIAL,CONFLICT,"위 HR2-0600과 동일한 CASCADE 계열 병합 검토 요청이 반영되지 않고 A_INT_CASCADE_004로 별도 존속, 검토 이행 근거 부재."
HR2-0606,APPLIED,,
HR2-0607,APPLIED,,
HR2-0608,APPLIED,,
HR2-0609,APPLIED,,
HR2-0611,APPLIED,,
HR2-0613,APPLIED,,
HR2-0618,APPLIED,,
HR2-0620,APPLIED,,
HR2-0621,APPLIED,,
HR2-0622,APPLIED,,
HR2-0623,APPLIED,,
HR2-0624,APPLIED,,
HR2-0625,APPLIED,,
HR2-0626,APPLIED,,
HR2-0627,APPLIED,,
HR2-0628,APPLIED,,
HR2-0629,APPLIED,,
HR2-0630,APPLIED,,
HR2-0631,APPLIED,,
HR2-0632,APPLIED,,
HR2-0633,APPLIED,,
HR2-0634,APPLIED,,
HR2-0635,APPLIED,,
HR2-0636,APPLIED,,
HR2-0637,APPLIED,,
HR2-0638,APPLIED,,
HR2-0640,APPLIED,,
HR2-0645,APPLIED,,
HR2-0655,APPLIED,,
HR2-0656,APPLIED,,
HR2-0657,APPLIED,,
HR2-0665,APPLIED,,
HR2-0668,APPLIED,,
HR2-0670,APPLIED,,
HR2-0675,NOT_APPLIED,LOST_IN_TRANSFER,Agentic 도메인의 Excessive Authority and Agency(A_SYS_AUTH 계열)로 이관하라는 지시였으나 최종 카드는 A_SYS_GOAL_011(목표 정렬 실패 계열)로 배치되어 지시된 이관 목적지가 이행되지 않음.
HR2-0677,APPLIED,,
HR2-0680,APPLIED,,
HR2-0681,APPLIED,,
HR2-0683,APPLIED,,
HR2-0684,APPLIED,,
HR2-0688,APPLIED,,
HR2-0690,APPLIED,,
HR2-0691,APPLIED,,
HR2-0692,APPLIED,,
HR2-0693,APPLIED,,
HR2-0694,APPLIED,,
HR2-0695,APPLIED,,
HR2-0696,APPLIED,,
HR2-0697,APPLIED,,
HR2-0698,APPLIED,,
HR2-0699,APPLIED,,
HR2-0700,PARTIAL,CONFLICT,"동일 행에 상반된 의견(유지 vs jw의 '너무 지엽적, 삭제 제안')이 병존. 최종 처분은 OUTPUT(유지)으로 '유지' 의견만 반영되고 jw의 삭제 의견은 미반영."
HR2-0701,APPLIED,,
HR2-0702,PARTIAL,CONFLICT,"동일 행에 상반된 의견(유지 vs jw의 '너무 지엽적, 삭제 제안')이 병존. 최종 처분은 OUTPUT(유지)으로 '유지' 의견만 반영되고 jw의 삭제 의견은 미반영."
HR2-0703,APPLIED,,
HR2-0704,PARTIAL,IGNORED,jw 의견은 'L3와 무관하며 너무 지엽적이므로 삭제'였으나 최종 카드는 Physical/P_SYS_CONTROL_042로 그대로 유지되어 L3 재배치·삭제 제안이 모두 미반영.
HR2-0705,PARTIAL,IGNORED,jw 의견은 'L3와 무관하며 General 도메인에 해당'이었으나 최종 카드는 Physical/P_SYS_CONTROL_043에 그대로 잔류하여 General 이관 제안이 미반영.
HR2-0706,APPLIED,,
HR2-0707,APPLIED,,
HR2-0708,APPLIED,,
HR2-0709,APPLIED,,
