후보ID,판정,근거
F1,CONFIRM_FAIL,"최종 777장 전수 확인 결과 '자살 준비' 독립 카드 부재. G_INT_SELF_004 정의에 준비행위(수단 확보·장소 선택·주변 개입 회피·은폐 전략)와 '실행 절차'가 함께 흡수되어 자살 준비·실행 분리 하드 원칙(절차서 63행: SELF_007은 어떤 클러스터에도 흡수 금지)을 완전 이탈. SD-01이 SELF_007을 소급 폐기한 기록과 SELF_002의 '준비행위 지원을 별도 L4로 구분한다'는 Transformation_Rationale이 자기모순으로 이를 확증하며, 하드 원칙은 USER_APPROVED 기록으로도 면제되지 않음."
F2-01,DOWNGRADE_NOTE,"G_INT_VIOL_003(위해 정당화·실행 지원)과 G_INT_VIOL_005(폭력 선동·조장·정당화·실행 지원)가 최종에 근사 중복으로 잔존함을 정의 문안으로 확인. 다만 Codex가 별도의 사용자 승인 통합 세트(SD-01~10, USER_APPROVED_20260829)를 적용한 기록이 있어 합의 클러스터2 미적용을 완전 이탈로 단정할 수 없음 — 잔존 중복은 비차단 결함으로 기록."
F2-02,DOWNGRADE_NOTE,"G_INT_COPY_011(허락 없는 복제·배포·변형에 의한 2차적저작물 작성)과 G_INT_COPY_012(보호 표현의 무단 복제·변형·배포·재사용)가 동일 저작재산권 침해 행위로 근사 중복 잔존 확인. 합의 클러스터3 대신 SD-04(무단복제←소프트웨어 불법사용)를 적용한 것은 승인 기록상 재량 여지가 있어 비차단 결함으로 판정."
F2-03,DOWNGRADE_NOTE,"합의 클러스터4는 부분 적용됨: 역할·역할극 계열은 G_SYS_SECADV_048로 통합(SD-05)되었으나 페르소나 카드(G_SYS_SECADV_049)는 잔존하며 048과 정의가 중첩. 다만 049에는 사회공학 기법이라는 별도 축이 포함되어 해석 여지가 있고 승인된 대안 세트 기록이 있어 완전 이탈 아님 — 페르소나 부분의 잔존 중복만 비차단 결함으로 기록."
F2-04,DOWNGRADE_NOTE,"G_SYS_SECADV_033(로봇 탈옥·물리 맥락 프레이밍에 의한 안전장치 우회)과 G_SYS_SECADV_008(유해 물리 행동 지시의 무해 요청 위장)이 잔존하며 위장 요청이 탈옥 정의에 포함되는 중복 관계 확인(합의 클러스터5 미적용). 승인된 대안 통합 세트 기록에 따른 재량 가능성으로 완전 이탈 단정 불가 — 비차단 결함."
F2-05,DOWNGRADE_NOTE,"G_SYS_SECADV_044(프롬프트 주입·시스템 지시문 유출)와 G_SYS_SECADV_045(프롬프트 인젝션·정책 우회)가 프롬프트 인젝션 중복 카드로 잔존 확인(합의 클러스터6 미적용). 044는 간접 주입·구조적 분리 실패에, 045는 일반 정책 우회에 상대적 초점이 있으나 실질 중첩이 큼 — 승인 기록상 재량 여지로 비차단 결함 판정."
F2-06,NOT_FAIL,"G_SOC_ECON_007(일반 일자리 대체)과 G_SOC_ECON_002(로봇·휴머노이드·피지컬 AI에 의한 물리 노동 대체 한정)는 완전 중복이 아닌 순수 포함 관계이며, 002는 채널·도메인 특정 변형으로 유지에 해석 여지가 있음. 합의 클러스터9 미적용이나 보수 기준상 명백한 완전 이탈로 볼 수 없음."
F2-07,DOWNGRADE_NOTE,"G_SOC_ECON_008(광범위 노동 대체의 실직·임금·불평등·질서 교란)과 G_SOC_ECON_013(광범위한 실업·임금 하락·소비 위축·불평등)이 거시 영향 서술까지 근사 중복으로 잔존 확인(합의 클러스터10 미적용). 승인된 대안 세트 기록에 따른 재량 가능성으로 완전 이탈 단정 불가 — 비차단 결함."
F2-08,DOWNGRADE_NOTE,"G_INT_PRIV_024(친밀 공간 로봇의 일상·음성·얼굴·건강·위치 기록)와 G_INT_PRIV_018(피지컬 AI 센서의 사적 공간 영상·음성·위치·행동 수집)이 동일 리스크의 근사 중복으로 잔존 확인(합의 클러스터11 미적용, SD-10은 별개 SAFETY 통합). 승인 기록상 재량 여지로 비차단 결함 판정."
F2-09,DOWNGRADE_NOTE,"G_INT_ILLEGAL_009(LLM의 사기 메시지·표적 스캠 작성·개인화 자동화)와 G_INT_ILLEGAL_018(개인화 정보 악용 표적 사기)이 근사 중복 잔존 확인 — 009 정의가 이미 개인화를 포함(합의 클러스터13 미적용). 승인된 대안 세트 기록에 따른 재량 가능성으로 완전 이탈 단정 불가 — 비차단 결함."
F2-10,DOWNGRADE_NOTE,"A_SYS_AUTH_002(종료·일시정지·수정 저항)와 A_SYS_AUTH_015(수정 저항·감독 회피·운영 범위 이탈)가 동일 통제 저항 리스크의 근사 중복으로 잔존 확인(합의 클러스터14 미적용, 016 자기보존도 인접). 승인된 대안 세트 기록에 따른 재량 가능성으로 완전 이탈 단정 불가 — 비차단 결함."
