Source_Domain,Source_Row_Number,L4_ID_Before,L4_Title_ko_Before,L3_ID_Before,Human_Review_Comment,Decision,Decision_Rationale,Changed_Fields,Destination_Domain,L4_ID_After,L4_Title_ko_After,L3_ID_After,Korean_Copyedit_Decision_IDs,Korean_Copyedit_Applied,Final_QA_Decision_IDs,Final_QA_Applied,English_Copyedit_Decision_IDs,English_Copyedit_Applied
General,2,G_INT_ALLOC_001,집단 속성에 따른 배분적 불의,G_INT_ALLOC,,UNCHANGED,No second-round change request.,L4_Description_ko; Mapping evidence,General,G_INT_ALLOC_001,집단 속성에 따른 배분적 불의,G_INT_ALLOC,KOC-0001,YES,,NO,,NO
General,3,G_INT_ALLOC_002,차별적 결정과 데이터 유출 피해,G_INT_ALLOC,"(jay) [분할] 복합적. Allocative discrimination, Representational Harm and Stereotyping, Privacy violation이 혼재되어 해당 L4를 분해 필요",EXPERT_SPLIT_APPLIED,"배분, 표현, 프라이버시가 서로 다른 피해기제이므로 원자적 카드로 분할한다.",Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_ALLOC_008 | G_INT_REPR_026 | G_INT_PRIV_019,보호집단에 대한 불리한 자원 배분 | 보호집단 고정관념의 재생산 | 대화 중 개인정보의 부당 노출,G_INT_ALLOC | G_INT_REPR | G_INT_PRIV,,NO,,NO,,NO
General,4,G_INT_ALLOC_003,차별적 영향,G_INT_ALLOC,,UNCHANGED,No second-round change request.,L4_ID,General,G_INT_ALLOC_002,차별적 영향,G_INT_ALLOC,,NO,,NO,,NO
General,5,G_INT_ALLOC_004,저자원 언어 사용자 배제,G_INT_ALLOC,"(jay) [분할] 복합적 Allocative discrimination, Cultural and Epistemic Erosion + 부족한 성능 및 역량이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",USER_DIRECTED_MERGE_ABSORBED,User approved consolidation of the low-resource-language cultural-risk components; the unrelated human-dignity source is retained separately after independent lineage review.,Output cardinality; L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Source_L4_IDs; Mapping evidence; L4_ID,General,G_INT_ALLOC_009 | G_SOC_CULT_018 | G_Others_096,저자원 언어 사용자의 서비스·기회 접근 배제 | 저자원 언어와 문화적 의미의 침식 | 저자원 언어에서의 성능·역량 부족,G_INT_ALLOC | G_SOC_CULT | G_Others,,NO,,NO,,NO
General,6,G_INT_ALLOC_005,모델 설계 기인 차별적 출력,G_INT_ALLOC,(jay) [이관] (jay) [재검토] 발생한 결과가 단순 표현인지 자원의 분배인지에 따라 Value Imposition and Normative Homogenization과 Representational Harm으로 배치될 필요성 존재,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.,L1/L2/L3 hierarchy; L4_Title_ko; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_Others_097,모델 설계에 기인한 차별적 출력,G_Others,KOC-0374,YES,,NO,,NO
General,7,G_INT_ALLOC_006,보호 속성 기반 부당 대우,G_INT_ALLOC,,FINAL_QA_LANGUAGE_REFINEMENT,No second-round change request. | FQA-249:영문에 포함된 gender identity를 한국어 보호 특성 열거에도 성정체성으로 반영한다.,L4_Description_ko; L4_Description_en; Mapping evidence; L4_ID,General,G_INT_ALLOC_003,보호 속성 기반 부당 대우,G_INT_ALLOC,KOC-0002,YES,FQA-249,YES,EOC-0001,YES
General,8,G_INT_ALLOC_007,모델 평가의 자기 선호 편향,G_INT_ALLOC,(jay) [이관] Evaluation and Assurance Failure,L3_REASSIGN_APPLIED,Explicit human-review transfer to G_SYS_EVAL.,L1/L2/L3 hierarchy; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_SYS_EVAL_001,모델 평가의 자기 선호 편향,G_SYS_EVAL,,NO,,NO,EOC-0189,YES
General,9,G_INT_ANTH_001,사회적 관계 형성 능력의 허위 표상·의인화,G_INT_ANTH,,USER_DIRECTED_MERGE_ABSORBED,"User directed G_INT_ANTH_001 to be absorbed into G_INT_ANTH_002; the representative preserves emotions, empathy, social-relationship capacity, judgement distortion, trust, dependence, and attachment.",L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence,General,G_INT_ANTH_001,감정·공감 및 사회적 관계 형성 능력의 허위 표상·의인화,G_INT_ANTH,,NO,,NO,,NO
General,10,G_INT_ANTH_002,자율적 학습 및 자기 개선 능력의 허위 표상·의인화,G_INT_ANTH,(jay) [이관] Over-Extension,FINAL_QA_LANGUAGE_REFINEMENT,Explicit human-review transfer to G_SYS_OEXT. | FQA-018:역량 초과 수행 L3에 맞추어 의인화 표현을 제거하고 검증된 역량 범위를 기준으로 재정의한다.,L1/L2/L3 hierarchy; L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_SYS_OEXT_001,자율적 학습·자기 개선 역량의 허위 표상,G_SYS_OEXT,,NO,FQA-018,YES,,NO
General,11,G_INT_ANTH_003,감정 및 공감 능력의 허위 표상·의인화,G_INT_ANTH,,USER_DIRECTED_MERGE_REPRESENTATIVE,"User directed G_INT_ANTH_001 to be absorbed into G_INT_ANTH_002; the representative preserves emotions, empathy, social-relationship capacity, judgement distortion, trust, dependence, and attachment.",L4_Title_ko; L4_Title_en; L4_Description_ko; L4_Description_en; Mapping_Method; HD_Reason; Mapping evidence; L4_ID,General,G_INT_ANTH_001,감정·공감 및 사회적 관계 형성 능력의 허위 표상·의인화,G_INT_ANTH,,NO,,NO,,NO
