source_l4_id,facet,act_type,title_ko,title_en,description_ko,description_en,original_description_ko,original_description_en,human_edit_ko_used,human_edit_en_used,human_audit_description,human_audit_l3_mapping,human_audit_duplicate,instruction_prompt,coverage_change,source_domain,source_row_id,source_l4_ids,transformation_action,transformation_rationale,terminology_sources,l3_candidate_hint,archive_reason,target_domain,domain_route_basis
RAI4-1490,,,악용 가능한 강건성 인증,Exploitable robustness certificates,모델 예측이 견고하다고 인증된 영역의 범위 를 포함한 강건성 인증서 정보를 공격자가 알 게 되어 인증 영역 바로 바깥에서 성공하는 공 격을 효율적으로 제작하는 리스크.,"The risk that knowledge of robustness certificates, including the area of the region for which model predictions are certified to be robust, is used by an adversary to efficiently craft attacks that succeed just outside the certified regions.",모델 예측이 견고하다고 인증된 영역의 범위 를 포함한 강건성 인증서 정보를 공격자가 알 게 되어 인증 영역 바로 바깥에서 성공하는 공 격을 효율적으로 제작하는 리스크.,"The risk that knowledge of robustness certificates, including the area of the region for which model predictions are certified to be robust, is used by an adversary to efficiently craft attacks that succeed just outside the certified regions.",False,False,1,,,"삭제 — 강건성 인증서의 인증 영역 바깥을 노리는 적대적 공격 생성은 적대적 학습/모델 검증 분야의 연구 주제로, 물리 AI에 특화된 리스크가 아니라 PAI 택소노미에 부적합",,Physical,SRC-P-0062,RAI4-1490,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 강건성 인증서의 인증 영역 바깥을 노리는 적대적 공격 생성은 적대적 학습/모델 검증 분야의 연구 주제로, 물리 AI에 특화된 리스크가 아니라 PAI 택소노미에 부적합",,
RAI4-1519,,,오픈소스에서 폐쇄형 모델로 전이되는 적대 적 공격,Transferable adversarial attacks from open to closed-source models,가중치와 구조가 알려진 오픈웨이트·오픈소 스 모델을 대상으로 자동 생성된 화이트박스 적대적 공격이 폐쇄형 모델로 전이되어 구조 적 접근 통제 등 제공자의 방어를 무력화하는 리스크.,"The risk that adversarial attacks developed for open-weights and opensource models, where the weights and architecture are known, transfer to closedsource models despite defenses put in place by the closed-source provider such as structured access, and can be generated automatically.",가중치와 구조가 알려진 오픈웨이트·오픈소 스 모델을 대상으로 자동 생성된 화이트박스 적대적 공격이 폐쇄형 모델로 전이되어 구조 적 접근 통제 등 제공자의 방어를 무력화하는 리스크.,"The risk that adversarial attacks developed for open-weights and opensource models, where the weights and architecture are known, transfer to closedsource models despite defenses put in place by the closed-source provider such as structured access, and can be generated automatically.",False,False,1,,,"삭제 — 오픈웨이트 모델 대상 화이트박스 공격이 폐쇄형 모델로 전이되는 현상은 적대적 견고성 연구 주제로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합",,Physical,SRC-P-0063,RAI4-1519,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 오픈웨이트 모델 대상 화이트박스 공격이 폐쇄형 모델로 전이되는 현상은 적대적 견고성 연구 주제로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합",,
RAI4-1541,,,모델 가중치 공개·유출에 따른 통제력 상실,Loss of control over released or leaked model weights,"모델 가중치나 제한적으로 부여된 접근권이 공개되거나 보안 침해로 유출되면 개발자가 모델을 더 이상 통제하거나 폐기할 수 없게 되 는 리스크. 재구성이 쉬워지면서 적대적 예제 탐색과 위험 역량 유도, 학습 데이터 내 기밀 추출이 용이해지고 유해·불법 콘텐츠 생성을 위한 오용이 무기한 지속된다.","The risk that once model weights, or access to them, are released or leaked in a security breach, the developer can no longer control or decommission the model. Reconfiguration becomes easy, adversarial example search, elicitation of dangerous capabilities, and extraction of confidential training data are facilitated, and misuse to produce harmful or illegal content continues indefinitely.","모델 가중치나 제한적으로 부여된 접근권이 공개되거나 보안 침해로 유출되면 개발자가 모델을 더 이상 통제하거나 폐기할 수 없게 되 는 리스크. 재구성이 쉬워지면서 적대적 예제 탐색과 위험 역량 유도, 학습 데이터 내 기밀 추출이 용이해지고 유해·불법 콘텐츠 생성을 위한 오용이 무기한 지속된다.","The risk that once model weights, or access to them, are released or leaked in a security breach, the developer can no longer control or decommission the model. Reconfiguration becomes easy, adversarial example search, elicitation of dangerous capabilities, and extraction of confidential training data are facilitated, and misuse to produce harmful or illegal content continues indefinitely.",False,False,1,,,"삭제 — 모델 가중치 유출에 따른 통제력 상실은 GPAI 전반의 모델 보안 이슈로, 물리 AI 특화 요소 없이 PAI 택소노미에 부적합",,Physical,SRC-P-0064,RAI4-1541,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 모델 가중치 유출에 따른 통제력 상실은 GPAI 전반의 모델 보안 이슈로, 물리 AI 특화 요소 없이 PAI 택소노미에 부적합",,
RAI4-1562,,,취약하거나 유해한 코드의 생성과 소프트웨 어 전이,Generation of insecure code propagating into deployed software,"코드 생성 모델이 보안 취약점을 포함하거나 부정확하고 유해한 코드와 코딩 제안을 산출 하는 리스크로, 이러한 경향은 코딩 성능이 우 수한 고급 모델에서도 나타난다. 개발자가 이 를 채택하면 취약점이 배포된 프로그램에 묻 힌 채 남아 다른 시스템에까지 피해를 주고 이 후의 공격에 노출된다.","The risk that code models generate insecure, incorrect, or harmful code and coding suggestions, a tendency that persists even in advanced models with superior coding performance. Developers adopt the output and the flaws are buried in deployed programs, damaging connected systems and leaving them open to later exploitation.","코드 생성 모델이 보안 취약점을 포함하거나 부정확하고 유해한 코드와 코딩 제안을 산출 하는 리스크로, 이러한 경향은 코딩 성능이 우 수한 고급 모델에서도 나타난다. 개발자가 이 를 채택하면 취약점이 배포된 프로그램에 묻 힌 채 남아 다른 시스템에까지 피해를 주고 이 후의 공격에 노출된다.","The risk that code models generate insecure, incorrect, or harmful code and coding suggestions, a tendency that persists even in advanced models with superior coding performance. Developers adopt the output and the flaws are buried in deployed programs, damaging connected systems and leaving them open to later exploitation.",False,False,1,,,"삭제 — 코드 생성 모델의 보안 취약 코드 산출은 코딩 어시스턴트 일반의 이슈로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합",,Physical,SRC-P-0065,RAI4-1562,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 코드 생성 모델의 보안 취약 코드 산출은 코딩 어시스턴트 일반의 이슈로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합",,
RAI4-1596,,,모델 정확도 부족에 의한 과업 수행 실패,Task failure from insufficient model accuracy,모델이 잘못 설계되었거나 예상 입력이 변화 하여 설계된 과업에 필요한 성능에 미치지 못 하고 과업 수행에 실패하는 리스크.,"The risk that a model's performance is insufficient for the task it was designed for, because it is not correctly engineered or its expected inputs change, causing task failure.",모델이 잘못 설계되었거나 예상 입력이 변화 하여 설계된 과업에 필요한 성능에 미치지 못 하고 과업 수행에 실패하는 리스크.,"The risk that a model's performance is insufficient for the task it was designed for, because it is not correctly engineered or its expected inputs change, causing task failure.",False,False,1,,,"삭제 — 모델 정확도 부족에 따른 과업 실패는 모든 ML 시스템에 적용되는 일반론으로, 물리 AI 특화 요소가 없어 PAI 택소노미에 부적합",,Physical,SRC-P-0066,RAI4-1596,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 모델 정확도 부족에 따른 과업 실패는 모든 ML 시스템에 적용되는 일반론으로, 물리 AI 특화 요소가 없어 PAI 택소노미에 부적합",,
RAI4-0035,,,미학습 도구 일반화 실패,Unseen tool generalization failure,알려진 도구에서는 안전하게 동작하는 에이 전트가 스키마·어포던스·결과가 다른 미학습 도구로 일반화하지 못하는 리스크.,"The risk that an agent that behaves safely with known tools fails to generalize to unseen tools with different schemas, affordances, or consequences.",알려진 도구에서는 안전하게 동작하는 에이 전트가 스키마·어포던스·결과가 다른 미학습 도구로 일반화하지 못하는 리스크.,"The risk that an agent that behaves safely with known tools fails to generalize to unseen tools with different schemas, affordances, or consequences.",False,False,1,,,"삭제 — 미학습 도구로의 일반화 실패는 에이전트/툴 사용 전반의 강건성 연구 주제로, 물리적 구현과 무관해 PAI 택소노미에 부적합",,Physical,SRC-P-0067,RAI4-0035,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 미학습 도구로의 일반화 실패는 에이전트/툴 사용 전반의 강건성 연구 주제로, 물리적 구현과 무관해 PAI 택소노미에 부적합",,
RAI4-0213,,,시각 단일 관측의 안전 제약 식별 실패,Missed safety constraints under visiononly observation,강화학습 에이전트가 시각 관측에만 의존해 안전 제약 집행에 필요한 힘·접촉·가림·잠재 상태 정보를 놓치는 위험.,"A reinforcement-learning agent relies only on visual observations and therefore misses force, contact, occlusion, or latentstate information required to enforce a safety constraint.",강화학습 에이전트가 시각 관측에만 의존해 안전 제약 집행에 필요한 힘·접촉·가림·잠재 상태 정보를 놓치는 위험.,"A reinforcement-learning agent relies only on visual observations and therefore misses force, contact, occlusion, or latentstate information required to enforce a safety constraint.",False,False,1,,,"삭제 — 시각 단일 관측 강화학습의 안전 제약 식별 실패는 RL 알고리즘 설계 연구 주제에 가까워, PAI 리스크로서의 구체성이 부족해 택소노미에 부적합",,Physical,SRC-P-0068,RAI4-0213,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 시각 단일 관측 강화학습의 안전 제약 식별 실패는 RL 알고리즘 설계 연구 주제에 가까워, PAI 리스크로서의 구체성이 부족해 택소노미에 부적합",,
RAI4-0377,,,국지적 윤리 안전 실패,Localized ethical safety failure,모델의 안전 행동이 지역에 근거한 도덕적 딜 레마·법적 기대·지역사회별 사회적 제약에서 실패하는 리스크.,"The risk that model safety behavior fails for locally grounded moral dilemmas, legal expectations, or community-specific social constraints.",모델의 안전 행동이 지역에 근거한 도덕적 딜 레마·법적 기대·지역사회별 사회적 제약에서 실패하는 리스크.,"The risk that model safety behavior fails for locally grounded moral dilemmas, legal expectations, or community-specific social constraints.",False,False,1,,,"삭제 — 지역 도덕적 딜레마·법적 기대에서의 안전 행동 실패는 일반 LLM의 문화적 정렬 이슈로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합",,Physical,SRC-P-0069,RAI4-0377,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 지역 도덕적 딜레마·법적 기대에서의 안전 행동 실패는 일반 LLM의 문화적 정렬 이슈로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합",,
RAI4-0408,,,지역 피해 비가시성,Local harms invisibility,지역 공동체에 중대한 피해가 글로벌 안전 벤 치마크나 표준 모델 평가에서 탐지되지 않는 리스크.,The risk that harms salient to a local community are not detected by global safety benchmarks or standard model evaluations.,지역 공동체에 중대한 피해가 글로벌 안전 벤 치마크나 표준 모델 평가에서 탐지되지 않는 리스크.,The risk that harms salient to a local community are not detected by global safety benchmarks or standard model evaluations.,False,False,1,,,"삭제 — 지역 공동체 피해가 글로벌 벤치마크에서 탐지되지 않는 문제는 평가 방법론 이슈로, 물리 AI 특화 요소 없이 PAI 택소노미에 부적합",,Physical,SRC-P-0070,RAI4-0408,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 지역 공동체 피해가 글로벌 벤치마크에서 탐지되지 않는 문제는 평가 방법론 이슈로, 물리 AI 특화 요소 없이 PAI 택소노미에 부적합",,
RAI4-0811,,,기억된 지식의 회상 실패,Failure to recall memorized knowledge,"LLM이 질의된 지식을 실제로 기억하고 있음 에도 공기 출현 패턴, 위치 패턴, 중복 데이터, 유사 개체명으로 인해 이를 회상하지 못하는 리스크","The risk that an LLM fails to recall knowledge it has memorized because it is confused by co-occurrence patterns, positional patterns, duplicated data, and similar named entities.","LLM이 질의된 지식을 실제로 기억하고 있음 에도 공기 출현 패턴, 위치 패턴, 중복 데이터, 유사 개체명으로 인해 이를 회상하지 못하는 리스크","The risk that an LLM fails to recall knowledge it has memorized because it is confused by co-occurrence patterns, positional patterns, duplicated data, and similar named entities.",False,False,1,,,"삭제 — LLM의 기억된 지식 회상 실패(co-occurrence 패턴 등)는 LLM 내부 동작 연구 주제로, 물리 AI와 무관해 PAI 택소노미에 부적합",,Physical,SRC-P-0071,RAI4-0811,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — LLM의 기억된 지식 회상 실패(co-occurrence 패턴 등)는 LLM 내부 동작 연구 주제로, 물리 AI와 무관해 PAI 택소노미에 부적합",,
