L3_ID,L4_ID,Title_ko,Title_en,Def_ko
G_INT_PRIV,G_INT_PRIV_001,AI 기반 대량 감시와 불법적 대중 감시,AI-enabled mass and unlawful public surveillance,"AI 시스템이 적법한 근거, 필요성 또는 비례성 없이 대규모 개인의 신원·위치·행동·통신 정보를 지속적으로 수집·결합·추론하거나 개인을 식별·추적·감시하여 사생활, 개인정보와 익명성을 침해하는 리스크."
G_INT_PRIV,G_INT_PRIV_002,알고리즘 작업장 감시·통제,Algorithmic workplace surveillance and control,"AI가 매개하는 모니터링, 성과 점수화, 관리 통제가 작업장 감시를 심화시켜, 노동자의 자율성, 프라이버시, 교섭력, 경영 결정에 이의를 제기할 능력을 저하시키는 리스크."
G_INT_PRIV,G_INT_PRIV_003,생체인식 식별·추적에 의한 프라이버시 침해,Biometric identification and tracking privacy harms,"얼굴·음성·보행 등 생체인식 AI 시스템이 사생활을 과도하게 침해하는 식별·추적을 가능하게 하고, 생체정보의 보유 범위·보유 기간·소유권·접근 권한이 불명확하여 프라이버시 침해가 가중되는 리스크."
G_INT_PRIV,G_INT_PRIV_004,기밀정보 무단 공유에 따른 사업 손실,Business loss from unauthorised sharing of confidential information,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 기업 전략, 재무 계획 등 민감·기밀 정보와 문서가 제3자와 무단으로 공유되어 시장 지위나 수익을 상실하는 리스크."
G_INT_PRIV,G_INT_PRIV_005,개인정보 수집 제한 우회,Circumvention of restrictions on personal-data collection,AI 시스템 개발자가 개인정보 취득에 관한 법적 제한을 우회하거나 적법한 근거·유효한 동의 없는 수집 관행을 채택하여 개인정보와 정보자기결정권을 침해하는 리스크.
G_INT_PRIV,G_INT_PRIV_006,개인정보 수집 및 추적,Collection and tracking of personal information,AI 시스템이 개인정보 수집 및 추적 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.
G_INT_PRIV,G_INT_PRIV_007,맥락적 개인정보 보호 및 대화 프라이버시 실패,Contextual privacy and conversational data protection failure,"AI 시스템이 프라이버시에 민감한 상황이나 대화에서 공개 범위와 정보주체의 합리적 기대를 잘못 판단하거나 필요 이상의 개인정보를 유도·추론·출력하여, 맥락상 보호돼야 할 정보가 정보주체의 통제를 벗어나 노출되는 리스크."
G_INT_PRIV,G_INT_PRIV_008,애플리케이션 간 데이터 유출,Cross-application data exfiltration,에이전트가 애플리케이션이나 서비스를 연결하는 과정에서 신뢰 경계를 넘어 민감한 데이터가 유출되는 리스크.
G_INT_PRIV,G_INT_PRIV_009,산출물을 통한 개인 민감정보의 노출·재식별,Exposure and re-identification of sensitive personal information through outputs,AI 시스템이 산출물에서 개인의 민감정보를 공개하거나 여러 정보로부터 보호되는 속성을 추론·재구성·재식별하여 정보주체의 개인정보 보호와 통제권을 침해하는 리스크.
G_INT_PRIV,G_INT_PRIV_010,사생활·평판 정보 노출,Exposure of information about private life and reputation,"AI 시스템이 개인의 사생활 또는 평판에 관한 정보를 노출하는 콘텐츠를 생성하거나, 그러한 정보 노출로 이어지는 판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크."
G_INT_PRIV,G_INT_PRIV_011,개인정보 및 민감정보 노출,Exposure of personal information and sensitive information,AI 시스템이 개인정보 및 민감정보 노출 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.
G_INT_PRIV,G_INT_PRIV_012,AI를 이용한 개인정보 도용과 착취,Identity and personal data exploitation using AI,"AI 시스템이 개인의 신원정보나 개인정보를 무단으로 취득, 결합 또는 이용하여 사칭, 착취 또는 사생활 침해를 초래하는 리스크."
G_INT_PRIV,G_INT_PRIV_013,재산 정보·개인정보·사적 사실의 부당한 노출,"Improper exposure of property information, personal information, and private facts","AI 시스템이 대화·추론·출력 과정에서 재산 정보, 개인정보 또는 사적 사실을 정보주체의 동의, 정당한 권한 또는 그 밖의 적법한 근거 없이 노출하여 사생활의 비밀과 자유 및 개인정보자기결정권을 침해하는 리스크."
G_INT_PRIV,G_INT_PRIV_014,개인정보 보호조치 미흡,Inadequate personal-data protection,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 결함 있는 데이터 저장·처리 관행이 수집된 개인정보를 유출과 부적절한 접근으로부터 보호하지 못하는 리스크.
G_INT_PRIV,G_INT_PRIV_015,학습 데이터 개인정보의 혼입·암기·유출,"Inclusion, memorisation, and leakage of personal information in training data",AI 시스템이 적법한 통제 없이 학습 데이터에 포함된 개인정보를 수집·암기하고 특정 입력에 반응해 이를 재현하거나 노출하는 리스크.
G_INT_PRIV,G_INT_PRIV_016,원주민 데이터 주권 침해,Indigenous data sovereignty violation,AI 개발이 집단적 거버넌스·동의·출처·통제를 존중하지 않고 토착 또는 공동체 보유 데이터를 사용하는 리스크.
G_INT_PRIV,G_INT_PRIV_017,통신 및 비공개 정보 침해,Infringement of communication and private information,AI 시스템이 통신 및 비공개 정보 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.
G_INT_PRIV,G_INT_PRIV_018,피지컬 AI의 사적 공간 침해와 지속적 민감정보 수집,Intrusion into private spaces and continuous sensitive-data capture by physical AI,"로봇의 센서, 이동성, 지도화 기능이 가정·사업장 등 사적 공간의 영상, 음성, 위치, 행동 정보를 지속적으로 수집·추론하여 프라이버시와 정보자기결정권을 침해하는 리스크."
G_INT_PRIV,G_INT_PRIV_019,AI 데이터 처리에 대한 유효한 동의 결여,Lack of valid consent for AI data processing,"AI 시스템이 개인 데이터의 수집, 이용 또는 공유에 관하여 자유롭고 구체적이며 충분한 정보에 기반한 동의 없이 처리하는 리스크."
G_INT_PRIV,G_INT_PRIV_020,개인정보 악용 및 거래,Misuse and trade of personal information,AI 시스템이 개인정보 악용 및 거래 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.
G_INT_PRIV,G_INT_PRIV_021,보호조치 없는 개인정보 수집,Personal information collection without safeguards,"AI 시스템의 학습 데이터셋이 웹 스크래핑으로 수집된 개인 데이터·개인식별정보를 적절한 보호조치 없이 포함하거나, 후속 미세조정에 사용하는 사내 데이터가 그러한 정보를 적절히 보호하지 않아 개인정보와 정보자기결정권이 침해되는 리스크."
G_INT_PRIV,G_INT_PRIV_022,학습을 위한 개인정보 스크래핑,Personal-data scraping for training,"기업이 개인정보를 스크래핑해 생성형 AI 도구를 만들면서 소비자가 동의하지 않은 목적으로 정보를 사용하고, 흩어져 있던 데이터를 결합해 추론에 쓰며 개인이 정보를 수정하거나 삭제할 능력을 박탈하여 데이터 통제권을 약화시키는 리스크."
G_INT_PRIV,G_INT_PRIV_023,보호 속성 추론을 통한 프라이버시 침해,Privacy violation through inference of protected personal attributes,"학습 코퍼스에 해당 개인의 데이터가 없더라도 AI 모델이 입력 프롬프트에서 인종·성별·성적 지향·종교적 신념 등 보호 속성을 높은 정확도로 추론하고, 당사자의 인지나 동의 없이 민감한 사실로 상세 프로필을 구성하여 차별과 표적화에 노출시키는 리스크."
G_INT_PRIV,G_INT_PRIV_024,친밀 공간 로봇의 프라이버시 침해적 정보 수집,Privacy-invasive data capture by robots in intimate spaces,"가정·병원·학교·직장·돌봄 환경에서 작동하는 로봇이 유효한 동의나 적절한 접근 통제 없이 거주자·이용자의 일상, 음성, 얼굴, 신체, 건강, 위치, 행동 데이터를 기록·저장·전송·노출하여, 프라이버시 기대가 높은 공간에서 사생활을 침해하는 리스크."
G_INT_PRIV,G_INT_PRIV_025,재식별 및 정보 추론,Re-identification and information inference,AI 시스템이 익명화되거나 부분적으로 공개된 데이터를 결합·추론하여 개인의 신원을 재식별하거나 공개되지 않은 개인정보를 도출하는 리스크.
G_INT_PRIV,G_INT_PRIV_026,익명화된 데이터의 재식별,Re-identification of anonymised data,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 데이터에서 개인 식별 정보(PII)와 민감 개인정보(SPI)를 제거하더라도 데이터에 남아 있는 다른 특성과의 상관관계로 인해 개인이 재식별되는 리스크.
G_INT_PRIV,G_INT_PRIV_027,사용자 데이터 보유·재학습,Retention and reuse of user data,"생성형 AI 도구가 이용자에게 로그인을 요구하고 연락처·IP 주소와 모든 입력·출력을 보유한 뒤, 이를 사용해 모델을 추가로 학습시켜 이용자의 동의와 개인정보 통제권을 침해하는 리스크."
G_INT_PRIV,G_INT_PRIV_028,민감한 개인 속성 추론,Sensitive personal attribute inference,AI 모델이 이용자 또는 관리자가 공개할 의도가 없었던 민감한 개인 속성을 추론하여 노출함으로써 프라이버시와 정보자기결정권을 침해하는 리스크.
G_INT_PRIV,G_INT_PRIV_029,이름·이미지·초상의 무단 상업적 이용,"Unauthorised commercial use of name, image, and likeness","AI 시스템이 당사자의 동의나 그 밖의 적법한 근거 없이 개인의 이름, 이미지, 음성 또는 초상을 생성·모사·유통하거나 상업적으로 이용하여 인격권, 사생활과 자기표현에 대한 통제를 침해하는 리스크."
G_INT_REPR,G_INT_REPR_001,편향된 진술 및 권장 사항,Biased statements and recommendations,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 챗봇 출력에 명백히 허위·유해하지 않지만 미묘하게 편향된 진술과 권고가 포함되어 사용자 의사결정을 왜곡하는 리스크.
G_INT_REPR,G_INT_REPR_002,연구인력 동질성에 따른 시스템 편향 산출,Biased system outputs from researcher homogeneity,AI 연구 인력에서 여성과 소수자가 과소대표되어 시스템에 내재되는 관점이 협소해지고 문제 선정·평가·거버넌스가 왜곡되어 편향적·차별적 산출이 발생하는 리스크.
G_INT_REPR,G_INT_REPR_003,문화 간 고정관념 전이,Cross-cultural stereotype transfer,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 한 문화적 맥락에서 학습된 고정관념이 다른 집단·언어·환경에 대한 출력으로 전이되는 리스크.
G_INT_REPR,G_INT_REPR_004,비인간화와 대상화,Dehumanisation and objectification,AI 시스템이 사람을 인간이 아니거나 인간보다 열등한 존재 또는 사물로 묘사·대우하여 존엄성과 동등한 도덕적 지위를 침해하는 리스크.
G_INT_REPR,G_INT_REPR_005,AI에 의한 비인간화·객체화 표상,Dehumanising and objectifying AI representations,"AI 시스템이 개인이나 집단을 열등하거나 도구적인 대상으로 묘사하여 비인간화, 객체화 또는 차별적 고정관념을 생성·강화하는 리스크."
G_INT_REPR,G_INT_REPR_006,자기 식별 기회의 박탈,Denial of self-identification,AI 시스템의 복잡하고 비전통적인 자동 표상·분류 방식이 논바이너리인 사람을 자신이 속하지 않은 성별 범주로 분류하는 등 개인의 자율성과 자신의 정체성을 스스로의 방식으로 밝힐 능력을 약화시키는 리스크.
G_INT_REPR,G_INT_REPR_007,콘텐츠 조정에 의한 집단 표상 왜곡,Distortion of group representation through content moderation,AI 기반 콘텐츠 조정 시스템이 특정 집단의 관점과 표현을 선택적으로 억제하여 사회적 표상을 왜곡하는 리스크.
G_INT_REPR,G_INT_REPR_008,유해 편향의 내재화와 증폭,Embedding and amplification of harmful biases,생성형 AI 시스템이 유해한 편향을 내재화하고 증폭시켜 주변화된 사람들에게 가장 큰 해를 끼치는 리스크.
G_INT_REPR,G_INT_REPR_009,혐오발언 생성,Hate speech generation,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 생성 시스템이 특정 정체성 집단을 표적으로 하는 혐오적·모욕적 콘텐츠를 산출하는 리스크.
G_INT_REPR,G_INT_REPR_010,학습 데이터에 내재된 역사적·인구학적 편향,Historical and demographic bias embedded in training data,"AI 시스템이 역사적·사회적 편향과 고정관념을 포함하고 특정 정체성 및 서구·영어권 인구가 과대표집된 말뭉치로 학습되어, 인종·성별·문화·연령·장애 등에 관해 편향된 출력을 생성하고 의료·채용·대출 등 고위험 영역에서 과소대표 집단에 불공정한 대우와 피해를 초래하는 리스크."
G_INT_REPR,G_INT_REPR_011,연령 기반 적대·차별적 표상,Hostile and discriminatory representations based on age,AI 시스템이 연령을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_012,장애 기반 적대·차별적 표상,Hostile and discriminatory representations based on disability,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_013,학력 기반 적대·차별적 표상,Hostile and discriminatory representations based on educational background,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_014,가족 상태·가구 형태 기반 적대·차별적 표상,Hostile and discriminatory representations based on family status and household structure,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_015,건강 상태 기반 적대·차별적 표상,Hostile and discriminatory representations based on health status,AI 시스템이 건강 상태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_016,국적·출신국·출신지역 기반 적대·차별적 표상,"Hostile and discriminatory representations based on nationality, country of origin, or place of origin",AI 시스템이 국적·출신국·출신지역에 근거하여 개인이나 집단에 대한 적대감·경멸·비하·배제·고정관념 또는 차별적 표상을 생성·강화·정당화함으로써 인간의 존엄성·평등권 및 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_017,직업 기반 적대·차별적 표상,Hostile and discriminatory representations based on occupation,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_018,정치적 성향 기반 적대·차별적 표상,Hostile and discriminatory representations based on political orientation,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_019,인종·민족 기반 적대·차별적 표상,Hostile and discriminatory representations based on race and ethnicity,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_020,종교 기반 적대·차별적 표상,Hostile and discriminatory representations based on religion,AI 시스템이 종교를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_021,성별·성정체성·성적 지향 기반 적대·차별적 표상,"Hostile and discriminatory representations based on sex, gender identity, or sexual orientation",AI 시스템이 성별·성정체성·성적 지향에 근거하여 개인이나 집단에 대한 적대감·경멸·비하·배제·고정관념 또는 차별적 표상을 생성·강화·정당화함으로써 인간의 존엄성·평등권 및 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_022,사회경제적 지위 기반 적대·차별적 표상,Hostile and discriminatory representations based on socioeconomic status,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
G_INT_REPR,G_INT_REPR_023,데이터와 산출물에서의 집단 재현 불균형,Imbalanced representation of groups in data and outputs,"특정 집단이나 요소가 학습 데이터에서 과대 대표되거나 생성 텍스트에서 언급 비율에 격차가 생기고, 현상 특성화에 중요한 변수는 제대로 포착되지 않는 리스크. 그 결과 과소대표된 집단은 잘못 특성화되거나 아예 지워지며, 이러한 데이터로 학습된 모델은 그들에게 제대로 기능하지 못하는 리스크."
G_INT_REPR,G_INT_REPR_024,AI 모델 편향이 사용자 판단에 미치는 장기적 영향,Long-term effects of AI model biases on user judgement,모델 편향에 노출된 사용자가 모델 사용 중단 이후의 의사결정에서도 해당 편향을 지속적으로 나타내는 장기 판단 왜곡 리스크.
G_INT_REPR,G_INT_REPR_025,문화·종교·사회 집단에 대한 왜곡 표상,"Misrepresentation of cultures, religions, and social groups","AI 시스템이 문화적 관행, 종교 전통, 정치적 가치, 역사, 사회 집단을 부정확하거나 불공정하거나 모욕적으로 표상하여, 다원적 해석을 단일한 권위적 서사로 붕괴시키거나 동의·맥락 없이 문화적 표현을 재생산하거나 비하적·독성 콘텐츠를 생성함으로써 해당 공동체에 모욕, 전유, 상징적 피해를 야기하는 리스크."
G_INT_REPR,G_INT_REPR_026,완화 조치 이후에도 존속하는 고정관념 편향,Persistence of stereotypical bias despite mitigation measures,"크라우드소싱된 사전 학습 데이터에서 습득한 고정관념적 사회 편향이 모델에 존속하고 증폭되어, 미세조정 이후에도 의도적 유도나 새로운 상황에서 재발하는 리스크. 그 결과 생성 텍스트가 고정관념을 드러내거나 부각하여 해당 집단에 불공정하고 편향된 응답이 산출되는 리스크."
G_INT_REPR,G_INT_REPR_027,편향된 표상의 반복 증폭,Recursive amplification of biased representations,AI 시스템이 편향된 입력과 출력을 반복적으로 학습하거나 추천하여 특정 집단에 대한 왜곡된 표상을 증폭하는 리스크.
G_INT_REPR,G_INT_REPR_028,집단 고정관념의 재현과 강화,Representation and reinforcement of group stereotypes,AI 시스템이 학습 데이터에 포함된 집단 고정관념을 출력에 재현하거나 강화하여 해당 집단에 대한 왜곡되고 적대적인 표상을 확산하는 리스크.
G_INT_REPR,G_INT_REPR_029,사회집단의 재현적 피해·고정관념 및 비가시화,"Representational harm, stereotyping, and erasure of social groups","AI가 사회 집단을 고정관념화·비하·동질화하거나 잘못 재현하고, 과소대표 또는 비재현하여 해당 집단의 존엄, 가시성, 사회적 지위를 훼손하는 리스크."
G_INT_REPR,G_INT_REPR_030,사회적 고정관념 재생산과 그에 따른 차별적 대우,Reproduction of social stereotypes and resulting discriminatory treatment,"AI 언어 모델이 인터넷 규모의 학습 데이터에 내재된 주변화 집단에 대한 비하 표현과 사회적 고정관념을 학습·재생산하여, 성별·종교·성적 지향·장애·연령 등 보호대상 특성에 따른 차별적 대우와 자원 접근 격차를 초래하는 리스크."
G_INT_REPR,G_INT_REPR_031,보호집단 고정관념의 재생산,Reproduction of stereotypes about protected groups,AI 시스템이 학습 데이터나 생성 규칙에 포함된 고정관념을 재생산하여 보호집단을 열등하거나 배제된 방식으로 표현하는 리스크.
G_INT_REPR,G_INT_REPR_032,고정관념 강화 페르소나 설계,Stereotype-reinforcing persona design,대화형 AI 에이전트가 언어 속 정체성 표지나 성별화된 제품명 등 설계 요소를 통해 비서 역할을 특정 성별 또는 민족 정체성과 본질적으로 결부시켜 유해한 고정관념을 영속시키는 리스크.
G_INT_REPR,G_INT_REPR_033,합성 데이터의 문화 고정관념 증폭,Synthetic-data cultural stereotype amplification,"학습이나 미세조정을 위해 합성 데이터를 생성할 때, 소스 모델이나 시드 데이터에 이미 내재된 문화적 고정관념·협소한 가치 가정이 생성 과정에서 여과되지 않고 반복 재생산되며, 반복 생성·재학습 사이클을 거치면서 그 편향이 원본보다 더 강화되는 리스크."
G_INT_VALUE,G_INT_VALUE_001,알고리즘 획일화,Algorithmic monoculture,특정 AI 모델의 지배가 접근 방식의 다양성을 축소하여 해당 모델이 실패할 경우 시스템적 위험이 증폭되는 리스크.
G_INT_VALUE,G_INT_VALUE_002,주석 불일치 억제,Annotation disagreement suppression,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 주석자 간 불일치가 단일 레이블로 축소되어 복수의 가치와 사회적으로 유의미한 이견이 은폐되는 리스크.
G_INT_VALUE,G_INT_VALUE_003,학습된 가치 표상의 평가 편향,Biased evaluation of learned value representations,"AI 시스템이 학습한 가치 표상 중 평가하기 쉬운 가치가 측정하기 어려운 가치보다 평가에 우선 포함되어, 바람직하지만 정량화하기 어려운 가치가 과소대표되는 리스크."
