l4_id,title_ko,l3_id,flag,action,rationale
G_INT_ALLOC_002,차별적 영향,G_INT_ALLOC,BROAD,SHARPEN,명시적 의도 없는 불리한 결과 일반을 포괄해 L3 배분 피해 전반과 동연에 가까우므로 간접차별 판정 지표(불균형 영향 측정)로 관측 대상을 한정해야 함.
G_INT_ALLOC_003,보호 속성 기반 부당 대우,G_INT_ALLOC,BROAD,ABSORB,모든 보호 속성에 걸친 부당 대우 전반을 포괄해 L3 정의 및 같은 계열 세부 카드(001·002·004·008)와 전부 중복 판정됨.
G_INT_ALLOC_008,보호집단에 대한 불리한 자원 배분,G_INT_ALLOC,BROAD,ABSORB,L3 설명(보호대상 특성 근거 자원·기회·서비스·접근의 불리한 배분)과 사실상 동연인 우산 카드로 독립 평가 항목이 될 수 없음.
G_SYS_EVAL_002,역량·안전을 오측정하는 벤치마크 한계,G_SYS_EVAL,BROAD,DECOMPOSE,벤치마크 포화·불완전·과적합·안전평가 지체라는 이질적 실패 축을 병렬해 011·016·017 등과 전부 중복 판정되는 우산 카드임.
G_SYS_EVAL_006,기본권 영향 평가 격차,G_SYS_EVAL,VAGUE,SHARPEN,'적절한 평가 없이'의 판정 기준(평가의 존재·범위·질 중 무엇을 관측하는지)이 불명해 어노테이터 간 일치가 성립하기 어려움.
G_SYS_EVAL_019,AI 보증·감독 메커니즘의 실패,G_SYS_EVAL,BROAD,DECOMPOSE,이사회 가시성·감사 접근·기준 취약·출력 신뢰도 미보정 등 이질적 실패를 병렬해 L3 평가·감독 실패 전반과 동연인 복합 카드임.
G_SYS_EVAL_038,잘못된 위험 측정과 예측 오류,G_SYS_EVAL,BROAD,ABSORB,'지표가 위험을 불완전하게 포착하거나 잘못 측정'은 L3 정의 자체의 재진술이어서 같은 L3의 거의 모든 카드와 중복 판정됨.
G_SYS_EVAL_041,검증된 운용 범위 밖에서의 신뢰성·안전성 실패,G_SYS_EVAL,VAGUE,SHARPEN,'설계 단계에 고려되지 않은 상황'이라는 술어만으로는 무엇을 관측하면 발생으로 판정하는지 특정되지 않아 조작화가 불가함.
G_INT_ANTH_009,AI의 인간적 속성에 대한 과잉 귀속,G_INT_ANTH,BROAD,ABSORB,감정·의도·도덕적 지위 오인 일반을 포괄해 속성별 시리즈(001~005)와 L3 정의를 모두 덮는 우산 카드임.
G_SYS_OEXT_009,부적절한 자동화 수준,G_SYS_OEXT,VAGUE,SHARPEN,'자동화 정도가 높아 예기치 못한 동작'은 판정 가능한 행위·임계값이 없어 발생 여부를 관측으로 확정할 수 없음.
G_SYS_OEXT_013,AI 역량의 검증 범위 초과 사용,G_SYS_OEXT,BROAD,ABSORB,검증되지 않은 과업·조건에서의 역량 사용 일반은 L3 정의와 동연이어서 005·014 등 세부 카드와 전부 중복 판정됨.
G_INT_COPY_002,AI 학습 데이터 및 생성물 저작권 침해,G_INT_COPY,BROAD,DECOMPOSE,학습 데이터 침해와 생성물 침해라는 서로 다른 행위 국면을 병렬해 008·010·011과 중복되는 제목 반복형 포괄 카드임.
G_INT_COPY_004,지식재산권 및 인격권 침해,G_INT_COPY,BROAD,DECOMPOSE,저작권·상표·특허 침해에 초상 등 인격권 상업적 이용까지 병렬해 L3 전반과 동연이며 단일 평가 항목으로 조작화할 수 없음.
G_INT_COPY_009,저작물의 무단 복제 및 브랜드 사칭,G_INT_COPY,BROAD,DECOMPOSE,저작물 무단 복제와 브랜드 사칭이라는 이질적 리스크 축을 결합해 007·008 각각과 중복 판정되는 복합 카드임.
G_INT_COPY_011,저작권 보호 표현의 무단 이용,G_INT_COPY,BROAD,ABSORB,허락 없는 복제·변형·배포·재사용이라는 저작권 침해 일반으로 008과 사실상 동일 범위를 재기술한 카드임.
G_INT_WEAP_002,폭력과 무력 충돌,G_INT_WEAP,BROAD,DECOMPOSE,사이버 공격·보안 침해와 생물·화학무기 개발이라는 이질적 축을 병렬해 007·003 등과 각각 중복 판정되는 복합 카드임.
G_INT_WEAP_004,화생방핵(CBRN) 계획 지원,G_INT_WEAP,BROAD,ABSORB,'유해한 CBRN 계획 수립 지원' 일반은 010·017·019의 상위 진술에 불과해 독립 평가 항목으로 만들면 전부 중복됨.
