Phase,Domain,Seed,Iterations,Final_Objective,Objective_Trace
PROVISIONAL_L3_DRAFTING_ANCHOR,General,20260826,4,0.8391543626785278,"[0.795587420463562, 0.8390214443206787, 0.8391520977020264, 0.8391543626785278]"
PROVISIONAL_L3_DRAFTING_ANCHOR,General,20260827,5,0.8391602039337158,"[0.7962088584899902, 0.839007556438446, 0.8391245007514954, 0.8391435146331787, 0.8391602039337158]"
PROVISIONAL_L3_DRAFTING_ANCHOR,General,20260828,4,0.8391888737678528,"[0.7964620590209961, 0.8389649987220764, 0.8391580581665039, 0.8391888737678528]"
PROVISIONAL_L3_DRAFTING_ANCHOR,General,20260829,4,0.8391770720481873,"[0.7949467301368713, 0.8389944434165955, 0.8391746878623962, 0.8391770720481873]"
PROVISIONAL_L3_DRAFTING_ANCHOR,General,20260830,4,0.8391105532646179,"[0.7959125638008118, 0.8389227986335754, 0.839083731174469, 0.8391105532646179]"
PROVISIONAL_L3_DRAFTING_ANCHOR,Agentic,20260826,3,0.8287788033485413,"[0.7804871201515198, 0.8285688161849976, 0.8287788033485413]"
PROVISIONAL_L3_DRAFTING_ANCHOR,Agentic,20260827,3,0.8287788033485413,"[0.7795451879501343, 0.8286914825439453, 0.8287788033485413]"
PROVISIONAL_L3_DRAFTING_ANCHOR,Agentic,20260828,3,0.8288120627403259,"[0.7800214886665344, 0.8286440372467041, 0.8288120627403259]"
PROVISIONAL_L3_DRAFTING_ANCHOR,Agentic,20260829,3,0.8287788033485413,"[0.7809119820594788, 0.8286914825439453, 0.8287788033485413]"
PROVISIONAL_L3_DRAFTING_ANCHOR,Agentic,20260830,3,0.8287788033485413,"[0.7809019088745117, 0.8284879326820374, 0.8287788033485413]"
PROVISIONAL_L3_DRAFTING_ANCHOR,Physical,20260826,4,0.787882387638092,"[0.7432036995887756, 0.7878446578979492, 0.7878527045249939, 0.787882387638092]"
PROVISIONAL_L3_DRAFTING_ANCHOR,Physical,20260827,3,0.7878866195678711,"[0.7417616844177246, 0.7877777218818665, 0.7878866195678711]"
PROVISIONAL_L3_DRAFTING_ANCHOR,Physical,20260828,3,0.787882387638092,"[0.7433986067771912, 0.7877475619316101, 0.787882387638092]"
PROVISIONAL_L3_DRAFTING_ANCHOR,Physical,20260829,3,0.7879064083099365,"[0.7413790822029114, 0.7878771424293518, 0.7879064083099365]"
PROVISIONAL_L3_DRAFTING_ANCHOR,Physical,20260830,3,0.787882387638092,"[0.7436665296554565, 0.7878040671348572, 0.787882387638092]"
