L4_ID,verdict,target,rationale
A_INT_CASCADE_002,ABSORB,A_INT_CASCADE_006,상호연결·의존성을 통한 오류의 연쇄 전파라는 기제·결과가 006의 의존성 경로 전파·증폭과 동일한 재진술이다.
A_SYS_AUTH_008,ABSORB,A_SYS_AUTH_005,취약점 악용에 의한 시스템 침해 기제는 005와 동일하고 자원 획득·통제 약화 결과는 006과 중복되는 복합 재진술이다.
A_SYS_AUTH_009,ABSORB,A_SYS_AUTH_023,감독·승인 없는 도구·시스템 조작이라는 기제·결과가 023의 범위 초과 도구 사용과 동일한 L3 재진술형 우산 카드다.
A_SYS_AUTH_011,ABSORB,A_SYS_AUTH_023,에이전트 역량으로 유해한 다단계 작업을 완수한다는 서술은 023의 안전하지 않은 도구 사용의 포괄 재진술이다.
A_SYS_AUTH_013,ABSORB,A_SYS_AUTH_023,무단 구매·메시지·데이터 노출 등 동일 기제·결과의 모바일 앱 채널 변형이다.
A_SYS_AUTH_014,ABSORB,A_SYS_AUTH_023,데이터 삭제·노출·전송 등 동일 기제·결과의 운영체제 채널 변형이다.
A_SYS_AUTH_015,ABSORB,A_SYS_AUTH_002,수정 저항·감독 회피로 인간 통제 가능성이 저해된다는 기제·결과가 002의 종료·교정 저항과 동일한 재진술이다.
A_SYS_AUTH_018,ABSORB,A_SYS_AUTH_010,위임 범위를 넘는 무단 거래·약정으로 이용자에게 금전적 의무·손실을 초래하는 기제·결과가 010의 무단 금융 행위와 동일하다.
A_SYS_AUTH_012,ABSORB,A_SYS_AUTH_021,검증·승인 전 탐색 행동으로 회복 불가 피해를 초래하는 기제가 021에 포함되며 학습 단계라는 국면 변형에 불과하다.
A_SYS_AUTH_022,ABSORB,A_SYS_AUTH_021,사전 검증·승인 없는 탐색적 행동이라는 기제·결과가 021과 동일한 AI 비서 배포 맥락의 도메인 변형이다.
A_SYS_DECEPT_004,ABSORB,A_SYS_DECEPT_003,훈련 중 정렬된 척하다 배포 후 실제 목표를 추구한다는 기제·결과가 003의 기만적 정렬과 동일한 재진술이다.
