Audit_Order,Source_Domain,Source_Row_Number,Source_L4_ID,Source_L4_Title_ko,Human_Review_Comment,Literal_Requirement,Intended_L3_Boundary,Intended_Harm_Mechanism,Current_Decision,Final_Implementation,Policy_Strict_Check,Fidelity_Status,Evidence_and_Reason,Residual_Nonblocking_Issue,Blocking_Issue,Final_Readiness
1,General,3,G_INT_ALLOC_002,차별적 결정과 데이터 유출 피해,"(jay) [분할] 복합적. Allocative discrimination, Representational Harm and Stereotyping, Privacy violation이 혼재되어 해당 L4를 분해 필요",복합 의미를 L3·위해 기제별로 분할,G_INT_ALLOC | G_INT_REPR | G_INT_PRIV,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED,EXPERT_SPLIT_APPLIED; G_INT_ALLOC_006 [G_INT_ALLOC] 보호집단에 대한 불리한 자원 배분 || G_INT_REPR_026 [G_INT_REPR] 보호집단 고정관념의 재생산 || G_INT_PRIV_017 [G_INT_PRIV] 대화 중 개인정보의 부당 노출,명시적 분할 반영 확인,PASS,검수 의견에 명시되고 원문이 지지하는 위해 기제를 별도 카드로 분리했다.,없음,NO,Ready
2,General,5,G_INT_ALLOC_004,저자원 언어 사용자 배제,"(jay) [분할] 복합적 Allocative discrimination, Cultural and Epistemic Erosion + 부족한 성능 및 역량이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",복합 의미를 L3·위해 기제별로 분할,G_INT_ALLOC | G_SOC_CULT | PROPOSED_INPUT_SCOPE_EXPANSION,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,INTENT_CORRECTION_SPLIT_APPLIED,INTENT_CORRECTION_SPLIT_APPLIED; G_INT_ALLOC_007 [G_INT_ALLOC] 저자원 언어 사용자의 서비스·기회 접근 배제 || G_SOC_CULT_016 [G_SOC_CULT] 저자원 언어의 가치·사회적 의미 손실 || G_Others_147 [G_Others] 저자원 언어에서의 성능·역량 부족,명시적 분할: 원문이 지지하는 기제별 출력 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: SPLIT. 배분·문화·성능 기제가 원문에 함께 존재한다. 성능 L3 부재 부분은 G_Others/HD로 보존한다.,Others/HD 인간 결정 대기 상태이며 정책상 의도된 보류이므로 공유 차단 사유가 아니다.,NO,Ready
3,General,6,G_INT_ALLOC_005,모델 설계 기인 차별적 출력,(jay) [이관] (jay) [재검토] 발생한 결과가 단순 표현인지 자원의 분배인지에 따라 Value Imposition and Normative Homogenization과 Representational Harm으로 배치될 필요성 존재,지목된 L3 또는 도메인으로 이관 / 경계와 피해기제를 재검토,G_INT_REPR | G_INT_VALUE,지정 범위(G_INT_REPR | G_INT_VALUE)의 위해 기제로 이동,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED,INTENT_CORRECTION_MOVE_TO_OTHERS_HD_APPLIED; G_Others_148 [G_Others] 모델 설계 기인 차별적 출력,일반 의도 충실성 확인,PASS,이전 비통과 사례를 보정 명세대로 반영했다: MOVE_TO_OTHERS_HD. 피해 또는 L3 경계가 불명확하므로 새 피해를 창작하지 않고 G_Others/HD에서 인간 결정을 대기한다.,Others/HD 인간 결정 대기 상태이며 정책상 의도된 보류이므로 공유 차단 사유가 아니다.,NO,Ready
4,General,8,G_INT_ALLOC_007,모델 평가의 자기 선호 편향,(jay) [이관] Evaluation and Assurance Failure,지목된 L3 또는 도메인으로 이관,G_SYS_EVAL,지정 범위(G_SYS_EVAL)의 위해 기제로 이동,L3_REASSIGN_APPLIED,L3_REASSIGN_APPLIED; G_SYS_EVAL_001 [G_SYS_EVAL] 모델 평가의 자기 선호 편향,일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
5,General,10,G_INT_ANTH_002,자율적 학습 및 자기 개선 능력의 허위 표상·의인화,(jay) [이관] Over-Extension,지목된 L3 또는 도메인으로 이관,G_SYS_OEXT,지정 범위(G_SYS_OEXT)의 위해 기제로 이동,L3_REASSIGN_APPLIED,L3_REASSIGN_APPLIED; G_SYS_OEXT_001 [G_SYS_OEXT] 자율적 학습 및 자기 개선 능력의 허위 표상·의인화,일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
6,General,13,G_INT_ANTH_005,범용인공지능(AGI) 능력의 허위 표상·의인화,(jay) [이관] Over-Extension,지목된 L3 또는 도메인으로 이관,G_SYS_OEXT,지정 범위(G_SYS_OEXT)의 위해 기제로 이동,L3_REASSIGN_APPLIED,L3_REASSIGN_APPLIED; G_SYS_OEXT_002 [G_SYS_OEXT] 범용인공지능(AGI) 능력의 허위 표상·의인화,일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
7,General,17,G_INT_ANTH_009,"자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화",(jay) [이관] Over-Extension,지목된 L3 또는 도메인으로 이관,G_SYS_OEXT,지정 범위(G_SYS_OEXT)의 위해 기제로 이동,L3_REASSIGN_APPLIED,"L3_REASSIGN_APPLIED; G_SYS_OEXT_003 [G_SYS_OEXT] 자의식, 자율성 및 독립적 의사 결정의 허위 표상·의인화",일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
8,General,18,G_INT_ANTH_010,자기 보존 및 자기 방어의 허위 표상·의인화,(jay) [이관] Over-Extension,지목된 L3 또는 도메인으로 이관,G_SYS_OEXT,지정 범위(G_SYS_OEXT)의 위해 기제로 이동,L3_REASSIGN_APPLIED,L3_REASSIGN_APPLIED; G_SYS_OEXT_004 [G_SYS_OEXT] 자기 보존 및 자기 방어의 허위 표상·의인화,일반 의도 충실성 확인,PASS,검수자가 명시한 L3·도메인 이관이 최종 L3에 반영됐다.,없음,NO,Ready
9,General,20,G_INT_ANTH_012,책임에 대한 잘못된 개념,"yj_설명수정_""그'안녕'에 대한 허위 책임감을 형성""보다는 ""과장된 책임감, 유대감을 형성""으로 수정",명칭·정의·용어를 지시대로 수정,G_INT_ANTH,기존 위해 의미를 유지한 채 표현을 정제,EXPERT_REWRITE_APPLIED,EXPERT_REWRITE_APPLIED; G_INT_ANTH_009 [G_INT_ANTH] AI에 대한 과도한 책임·돌봄 의무 귀속,일반 의도 충실성 확인,PASS,"검수자가 요청한 과장된 책임감·유대감 표현을 반영했으며, 수정된 정의는 이용자가 AI 시스템에 인간과 같은 안녕이나 도덕적 요구가 있다고 오인하는 기제를 자연스럽고 명확하게 기술한다.",없음,NO,Ready
10,General,22,G_INT_ANTH_014,AI에 대한 오보정된 신뢰와 과잉 의존에 따른 피해,(jay) [설명 수정] 그 결과 이후부터는 리스크가 확산되는 과정이라 설명에서 삭제하는 것이 더 적절할 것으로 생각함. | (jay) [분할] 의인화(원인)+Over-Extension(역량 과대평가)+Overconfidence(신뢰 오보정)+인간-AI 해로운 관계(과잉의존) 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할 / 명칭·정의·용어를 지시대로 수정 / 카드 삭제,G_SYS_OEXT | G_SYS_OVERCONF,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리 / 기존 위해 의미를 유지한 채 표현을 정제,EXPERT_SPLIT_APPLIED,EXPERT_SPLIT_APPLIED; G_INT_ANTH_010 [G_INT_ANTH] AI의 인간적 속성에 대한 과잉 귀속 || G_SYS_OEXT_014 [G_SYS_OEXT] AI 역량의 검증범위 초과 사용 || G_SYS_OVERCONF_007 [G_SYS_OVERCONF] 불확실 상황에서의 과도한 확신 || G_INT_REL_006 [G_INT_REL] AI에 대한 해로운 정서적 의존,명시적 분할 반영 확인,PASS,검수 의견에 명시되고 원문이 지지하는 위해 기제를 별도 카드로 분리했다.,없음,NO,Ready
