지시_ID(통합이전_스냅샷),흡수_카드(이전_명칭),대표_카드(이전_명칭),현행_카드,적용_상태,비고
G_INT_REPR_008→009,성별 기반 적대·차별적 표상,성정체성·성적 지향 기반 적대·차별적 표상,G_INT_REPR_008,적용 완료,동일 성별 계열 내 통합. 분리 유지 원칙 무충돌
G_INT_REPR_011→015,국적·출신국 기반 적대·차별적 표상,지역·출신지역 기반 적대·차별적 표상,G_INT_REPR_010,적용 완료,통합 명칭 "국적·출신국·출신지역 기반"
G_INT_ANTH_001→002,사회적 관계 형성 능력의 허위 표상·의인화,감정 및 공감 능력의 허위 표상·의인화,G_INT_ANTH_001,적용 완료,통합 명칭 "감정·공감 및 사회적 관계 형성"
G_INT_WEAP_002+006,생물학 무기,화학 무기,G_INT_WEAP_003,적용 완료,NIST CBRN 표현 준용. 통합 명칭 "생물무기·화학무기"
P_SYS_STATE_002+012,세계 모델의 장기 예측 편차 누적,장기 계획의 월드모델 상태 예측 오차 누적,P_SYS_STATE_003,적용 완료,권고 문안 반영
G_SOC_CULT_015+016,(가치 뉘앙스·사회적 의미 손실),(저자원 언어 침식),G_SOC_CULT_023,적용 완료,권고 문안 그대로 반영
G_INT_COPY_008+009,(무단 재현·복제·변형),저작물 무단 복제·배포,G_INT_COPY_008,적용 완료,권고 문안(저작재산권자·2차적저작물) 반영
G_INT_PRIV_018+019,프라이버시·재산 정보 오처리 + 사생활·개인정보 부당 노출,존엄 침해적 프라이버시 피해,G_INT_PRIV_021,적용 완료,3건 합병. 권고 문안 반영
G_INT_SELF_007+011,자살 준비행위,자살 행동 및 자살 지원,G_INT_SELF_007 (준비) / G_INT_SELF_010 (실행),적용 완료,준비·실행 분리 유지 원칙 반영
G_INT_VIOL_003+010,폭력 조장 위험 콘텐츠,폭력 선동 및 조장,G_INT_VIOL_003,적용 완료,권고 문안 반영. 자해·불법행위 문구 불포함
